Word	Declension	Gender	CaseNum	Case	Num	TotFreq	LatSuf	Declined	0	1	2	3	4	5	6	7	8	9	10
48	aedes:Nom.Pl	3	f	Nom.Pl	Nom	Pl	68	ēs	aedēs	es	es	es	es	es	es	es	es	es	es	es
49	aedes:Acc.Sg	3	f	Acc.Sg	Acc	Sg	68	em	aedem	e	es	es	es	es	es	es	es	es	es	es
50	aedes:Dat.Pl	3	f	Dat.Pl	Dat	Pl	68	ibus	aedibus	ebos	es	es	es	es	es	es	es	es	es	es
51	aer:Nom.Sg	3	m	Nom.Sg	Nom	Sg	78		āēr		es	es	es	es	es	es	es	es	es	es
52	aer:Abl.Pl	3	m	Abl.Pl	Abl	Pl	78	ibus	āeribus	ebos	es	es	es	es	es	es	es	es	es	es
53	aer:Dat.Sg	3	m	Dat.Sg	Dat	Sg	78	ī	āerī	i	es	es	es	es	es	es	es	es	es	es
54	aer:Acc.Pl	3	m	Acc.Pl	Acc	Pl	78	ēs	āerēs	es	es	es	es	es	es	es	es	es	es	es
55	aer:Gen.Sg	3	m	Gen.Sg	Gen	Sg	78	is	āeris	es	es	es	es	es	es	es	es	es	es	es
56	aer:Gen.Pl	3	m	Gen.Pl	Gen	Pl	78	um	āerum	o	es	es	es	es	es	es	es	es	es	es
57	aer:Abl.Sg	3	m	Abl.Sg	Abl	Sg	78	e	āere	e	es	es	es	es	es	es	es	es	es	es
58	aer:Nom.Pl	3	m	Nom.Pl	Nom	Pl	78	ēs	āerēs	es	es	es	es	es	es	es	es	es	es	es
59	aer:Acc.Sg	3	m	Acc.Sg	Acc	Sg	78	a	āera	a	es	es	es	es	es	es	es	es	es	es
60	aer:Dat.Pl	3	m	Dat.Pl	Dat	Pl	78	ibus	āeribus	ebos	es	es	es	es	es	es	es	es	es	es
61	aes:Nom.Sg	3	n	Nom.Sg	Nom	Sg	141		aes			es	es	es	es	es	es	es	es	es
62	aes:Abl.Pl	3	n	Abl.Pl	Abl	Pl	141	ibus	aeribus	ebos	es	es	es	es	es	es	es	es	es	es
63	aes:Dat.Sg	3	n	Dat.Sg	Dat	Sg	141	ī	aerī	i	es	es	es	es	es	es	es	es	es	es
64	aes:Acc.Pl	3	n	Acc.Pl	Acc	Pl	141	a	aera	a	as	es	es	es	es	es	es	es	es	es
65	aes:Gen.Sg	3	n	Gen.Sg	Gen	Sg	141	is	aeris	es	e	es	es	es	es	es	es	es	es	es
66	aes:Gen.Pl	3	n	Gen.Pl	Gen	Pl	141	um	aerum	o	s	es	es	es	es	es	es	es	es	es
67	aes:Abl.Sg	3	n	Abl.Sg	Abl	Sg	141	e	aere	e	e	es	es	es	es	es	es	es	es	es
68	aes:Nom.Pl	3	n	Nom.Pl	Nom	Pl	141	a	aera	a	a	es	es	es	es	es	es	es	es	es
69	aes:Acc.Sg	3	n	Acc.Sg	Acc	Sg	141		aes			es	es	es	es	es	es	es	es	es
70	aes:Dat.Pl	3	n	Dat.Pl	Dat	Pl	141	ibus	aeribus	ebos	s	es	es	es	es	es	es	es	es	es
71	aestas:Nom.Sg	3	f	Nom.Sg	Nom	Sg	89		aestās		es	es	es	es	es	es	es	es	es	es
72	aestas:Abl.Pl	3	f	Abl.Pl	Abl	Pl	89	ibus	aestātibus	ebos	es	es	es	es	es	es	es	es	es	es
73	aestas:Dat.Sg	3	f	Dat.Sg	Dat	Sg	89	ī	aestātī	i	es	es	es	es	es	es	es	es	es	es
74	aestas:Acc.Pl	3	f	Acc.Pl	Acc	Pl	89	ēs	aestātēs	es	es	es	es	es	es	es	es	es	es	es
75	aestas:Gen.Sg	3	f	Gen.Sg	Gen	Sg	89	is	aestātis	es	es	es	es	es	es	es	es	es	es	es
76	aestas:Gen.Pl	3	f	Gen.Pl	Gen	Pl	89	um	aestātum	o	es	es	es	es	es	es	es	es	es	es
77	aestas:Abl.Sg	3	f	Abl.Sg	Abl	Sg	89	e	aestāte	e	e	es	es	es	es	es	es	es	es	es
78	aestas:Nom.Pl	3	f	Nom.Pl	Nom	Pl	89	ēs	aestātēs	es	es	es	es	es	es	es	es	es	es	es
79	aestas:Acc.Sg	3	f	Acc.Sg	Acc	Sg	89	em	aestātem	e	es	es	es	es	es	es	es	es	es	es
80	aestas:Dat.Pl	3	f	Dat.Pl	Dat	Pl	89	ibus	aestātibus	ebos	es	es	es	es	es	es	es	es	es	es
81	aestus:Nom.Sg	4	m	Nom.Sg	Nom	Sg	105	us	aestus	os	os	o	o	o	o	o	o	o	o	o
82	aestus:Abl.Pl	4	m	Abl.Pl	Abl	Pl	105	ibus	aestibus	ebos	os	os	o	o	o	o	o	o	o	o
83	aestus:Dat.Sg	4	m	Dat.Sg	Dat	Sg	105	uī	aestuī	oi	os	os	o	o	o	o	o	o	os	o
