Word	Declension	Gender	Case	TotFreq	Declined	0	1	2	3	4	5	6	7	8	9	10
aer:Abl.Pl	3	m	Abl.Pl	78	āeribus	ibus	ibus	ibus	is	is	is	is	is	is	is	is
aer:Dat.Sg	3	m	Dat.Sg	78	āerī	ī	ū	ei	ī	ī	ī	ī	e	e	e	e
aer:Acc.Pl	3	m	Acc.Pl	78	āerēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
aer:Gen.Sg	3	m	Gen.Sg	78	āeris	is	īs	īs	ī	ī	ī	ī	e	e	e	e
aer:Gen.Pl	3	m	Gen.Pl	78	āerum	um	īs	īs	īs	īs	īs	ies	ies	ies	ies	ies
aer:Abl.Sg	3	m	Abl.Sg	78	āere	e	e	e	e	e	e	e	e	e	e	e
aer:Nom.Pl	3	m	Nom.Pl	78	āerēs	ēs	ies	ies	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
aer:Acc.Sg	3	m	Acc.Sg	78	āera	a	em	em	em	em	em	em	em	em	em	em
aer:Dat.Pl	3	m	Dat.Pl	78	āeribus	ibus	ibus	īs	īs	īs	īs	ies	ies	ies	ies	ies
aes:Nom.Sg	3	n	Nom.Sg	141	aes											
aes:Abl.Pl	3	n	Abl.Pl	141	aeribus	ibus	ibus	ibus	i	is	is	is	i	i	i	i
aes:Dat.Sg	3	n	Dat.Sg	141	aerī	ī	ū	ī	ī	ī	ī	ī	e	e	e	e
aes:Acc.Pl	3	n	Acc.Pl	141	aera	a	a	a	a	a	a	a	a	a	a	e
aes:Gen.Sg	3	n	Gen.Sg	141	aeris	is	īs	īs	ī	ī	ī	ī	e	e	e	e
aes:Gen.Pl	3	n	Gen.Pl	141	aerum	um	i	is	is	is	īs	i	i	i	i	i
aes:Abl.Sg	3	n	Abl.Sg	141	aere	e	e	e	e	e	e	e	e	e	e	e
aes:Nom.Pl	3	n	Nom.Pl	141	aera	a	a	a	a	a	a	a	a	a	a	e
aes:Acc.Sg	3	n	Acc.Sg	141	aes					e	em	em	em	em	em	em
aes:Dat.Pl	3	n	Dat.Pl	141	aeribus	ibus	ibus	is	is	is	īs	is	i	i	i	i
aestas:Nom.Sg	3	f	Nom.Sg	89	aestās											
aestas:Abl.Pl	3	f	Abl.Pl	89	aestātibus	ibus	ibus	iu	is	is	is	is	is	is	is	is
aestas:Dat.Sg	3	f	Dat.Sg	89	aestātī	ī	iu	ei	ei	ī	ī	ī	e	e	e	e
aestas:Acc.Pl	3	f	Acc.Pl	89	aestātēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
aestas:Gen.Sg	3	f	Gen.Sg	89	aestātis	is	īs	ī	ī	ī	ī	ī	e	e	e	e
aestas:Gen.Pl	3	f	Gen.Pl	89	aestātum	um	īs	īs	īs	īs	īs	ies	ies	ies	ies	ies
aestas:Abl.Sg	3	f	Abl.Sg	89	aestāte	e	e	e	e	e	e	e	e	e	e	e
aestas:Nom.Pl	3	f	Nom.Pl	89	aestātēs	ēs	īs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
aestas:Acc.Sg	3	f	Acc.Sg	89	aestātem	em	em	em	em	em	em	em	em	em	em	em
aestas:Dat.Pl	3	f	Dat.Pl	89	aestātibus	ibus	ibus	īs	īs	īs	īs	ies	ies	ies	ies	ies
aestus:Nom.Sg	4	m	Nom.Sg	105	aestus	us	us	u	u	u	u	u	u	u	u	u
aestus:Abl.Pl	4	m	Abl.Pl	105	aestibus	ibus	ibus	is	is	is	is	is	is	is	is	is
aestus:Dat.Sg	4	m	Dat.Sg	105	aestuī	uī	ū	ū	ū	ū	ui	ui	uo	u	u	u
aestus:Acc.Pl	4	m	Acc.Pl	105	aestūs	ūs	īs	īs	ies	ies	ēs	ies	ēs	ēs	ies	ies
aestus:Gen.Sg	4	m	Gen.Sg	105	aestūs	ūs	ūs	ui	ui	ui	ui	ui	uo	u	u	u
aestus:Gen.Pl	4	m	Gen.Pl	105	aestuum	uum	us	īs	is	īs	īs	ies	ies	ies	ies	ies
aestus:Abl.Sg	4	m	Abl.Sg	105	aestū	ū	ū	o	u	u	u	u	u	u	u	u
aestus:Nom.Pl	4	m	Nom.Pl	105	aestūs	ūs	uis	īs	ies	ies	ēs	ies	ēs	ēs	ies	ies
aestus:Acc.Sg	4	m	Acc.Sg	105	aestum	um	um	um	um	um	um	um	um	um	um	um
aestus:Dat.Pl	4	m	Dat.Pl	105	aestibus	ibus	ibus	īs	īs	īs	īs	ies	ies	ies	ies	ies
aetas:Nom.Sg	3	f	Nom.Sg	418	aetās											
aetas:Abl.Pl	3	f	Abl.Pl	418	aetātibus	ibus	ibus	ibu	is	is	is	is	is	is	is	is
aetas:Dat.Sg	3	f	Dat.Sg	418	aetātī	ī	ī	ei	ei	ī	ī	ī	e	e	e	e
aetas:Acc.Pl	3	f	Acc.Pl	418	aetātēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
aetas:Gen.Sg	3	f	Gen.Sg	418	aetātis	is	īs	ī	ī	ī	ī	ī	e	e	e	e
aetas:Gen.Pl	3	f	Gen.Pl	418	aetātum	um	īs	is	īs	īs	īs	ies	ies	ies	ies	ies
aetas:Abl.Sg	3	f	Abl.Sg	418	aetāte	e	e	e	e	e	e	e	e	e	e	e
aetas:Nom.Pl	3	f	Nom.Pl	418	aetātēs	ēs	ies	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
aetas:Acc.Sg	3	f	Acc.Sg	418	aetātem	em	em	em	em	em	em	em	em	em	em	em
aetas:Dat.Pl	3	f	Dat.Pl	418	aetātibus	ibus	ibus	is	īs	īs	īs	ies	ies	ies	ies	ies
aevum:Nom.Sg	2	n	Nom.Sg	91	aevum	um	u	u	u	u	u	u	u	u	u	u
aevum:Abl.Pl	2	n	Abl.Pl	91	aevīs	īs	uis	is	is	is	is	is	i	i	i	i
aevum:Dat.Sg	2	n	Dat.Sg	91	aevō	ō	ō	ō	ō	ō	uo	uo	uo	uo	uo	uo
aevum:Acc.Pl	2	n	Acc.Pl	91	aeva	a	a	a	a	a	a	a	a	a	a	a
aevum:Gen.Sg	2	n	Gen.Sg	91	aevī	ī	ui	uo	uo	uo	ō	uo	uo	uo	uo	uo
aevum:Gen.Pl	2	n	Gen.Pl	91	aevōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum	i	i	i	i	i
aevum:Abl.Sg	2	n	Abl.Sg	91	aevō	ō	ō	ō	ō	ō	ō	ō	ō	ō	uo	uo
aevum:Nom.Pl	2	n	Nom.Pl	91	aeva	a	a	a	a	a	a	a	a	a	a	a
aevum:Acc.Sg	2	n	Acc.Sg	91	aevum	um	um	um	um	um	um	um	um	um	um	um
aevum:Dat.Pl	2	n	Dat.Pl	91	aevīs	īs	ūs	u	is	is	is	i	i	i	i	i
affectus:Nom.Sg	4	m	Nom.Sg	185	affectus	us	us	u	u	u	u	u	u	u	u	u
affectus:Abl.Pl	4	m	Abl.Pl	185	affectibus	ibus	ibus	is	is	is	is	is	is	is	is	is
affectus:Dat.Sg	4	m	Dat.Sg	185	affectuī	uī	ū	uo	ū	ū	ui	ui	uo	u	u	u
affectus:Acc.Pl	4	m	Acc.Pl	185	affectūs	ūs	īs	īs	ies	ies	ēs	ies	ēs	ēs	ies	ies
affectus:Gen.Sg	4	m	Gen.Sg	185	affectūs	ūs	ūs	ui	ui	ui	ui	ui	uo	u	u	u
affectus:Gen.Pl	4	m	Gen.Pl	185	affectuum	uum	us	īs	is	īs	īs	ies	ies	ies	ies	ies
affectus:Abl.Sg	4	m	Abl.Sg	185	affectū	ū	ū	u	u	u	u	u	u	u	u	u
affectus:Nom.Pl	4	m	Nom.Pl	185	affectūs	ūs	uis	īs	ies	ies	ēs	ies	ēs	ēs	ies	ies
affectus:Acc.Sg	4	m	Acc.Sg	185	affectum	um	um	um	um	um	um	um	um	um	um	um
affectus:Dat.Pl	4	m	Dat.Pl	185	affectibus	ibus	ibus	īs	īs	īs	īs	ies	ies	ies	ies	ies
ager:Nom.Sg	2	m	Nom.Sg	337	ager		us	u	u	u	u	u	u	u	u	u
ager:Abl.Pl	2	m	Abl.Pl	337	agrīs	īs	uis	īs	is	is	is	is	is	is	is	is
ager:Dat.Sg	2	m	Dat.Sg	337	agrō	ō	ō	ō	ō	ō	ue	uo	uo	uo	uo	uo
ager:Acc.Pl	2	m	Acc.Pl	337	agrōs	ōs	īs	īs	ies	ies	ies	ēs	ēs	ēs	ēs	ēs
ager:Gen.Sg	2	m	Gen.Sg	337	agrī	ī	ui	ue	uo	uo	uo	ue	uo	uo	uo	uo
ager:Gen.Pl	2	m	Gen.Pl	337	agrōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ues	ies	ies	ies	ies
ager:Abl.Sg	2	m	Abl.Sg	337	agrō	ō	ō	ō	ō	ō	ō	ō	ō	ō	uo	uo
ager:Nom.Pl	2	m	Nom.Pl	337	agrī	ī	īs	īs	ies	ies	ēs	ēs	ēs	ēs	ies	ies
ager:Acc.Sg	2	m	Acc.Sg	337	agrum	um	um	um	um	um	um	um	um	um	um	um
ager:Dat.Pl	2	m	Dat.Pl	337	agrīs	īs	uis	uis	is	īs	ies	ies	ies	ies	ies	ies
agger:Nom.Sg	3	m	Nom.Sg	76	agger											
agger:Abl.Pl	3	m	Abl.Pl	76	aggeribus	ibus	ibus	ibus	is	is	is	is	is	is	is	is
agger:Dat.Sg	3	m	Dat.Sg	76	aggerī	ī	ū	ei	ī	ī	ī	ī	e	e	e	e
agger:Acc.Pl	3	m	Acc.Pl	76	aggerēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
agger:Gen.Sg	3	m	Gen.Sg	76	aggeris	is	īs	īs	ī	ī	ī	ī	e	e	e	e
agger:Gen.Pl	3	m	Gen.Pl	76	aggerum	um	is	īs	īs	īs	īs	ies	ies	ies	ies	ies
