Word	Declension	Gender	TotFreq	Declined	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
acies:Nom.Sg	5	f	328	aciēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
acies:Abl.Pl	5	f	328	aciēbus	ēbus	ēbus	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
acies:Dat.Sg	5	f	328	aciēī	ēī	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
acies:Acc.Pl	5	f	328	aciēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
acies:Gen.Sg	5	f	328	aciēī	ēī	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
acies:Gen.Pl	5	f	328	aciērum	ērum	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
acies:Abl.Sg	5	f	328	aciē	ē	em	em	em	am	am	am	ōrum	ō	ō	ō	ō	ō	ō	ō	ō
acies:Nom.Pl	5	f	328	aciēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
acies:Acc.Sg	5	f	328	aciem	em	em	em	em	ō	ō	ō	ō	ō	ō	ō	ō	ō	ō	ō	ō
acies:Dat.Pl	5	f	328	aciēbus	ēbus	ium	ō	ō	ō	ō	ō	ō	ō	ō	ō	ō	ō	ō	ō	ō
aditus:Nom.Sg	4	m	107	aditus	us	us	us	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ū
aditus:Abl.Pl	4	m	107	aditibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus
aditus:Dat.Sg	4	m	107	adituī	uī	uī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ū
aditus:Acc.Pl	4	m	107	aditūs	ūs	us	us	us	a	a	a	a	a	a	a	a	a	a	a	a
aditus:Gen.Sg	4	m	107	aditūs	ūs	us	us	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ū
aditus:Gen.Pl	4	m	107	adituum	uum	ū	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ū
