Word	Declined	0	1	2	3	4	5	6	7	8	9	10
acies:Nom.Sg	aciēs	ēs	ēs	ēs	ēs	ēs	em	ēs	ēs	ēs	ēs	ēs
acies:Abl.Pl	aciēbus	ēbus	ibus	uum	ērum	ibus	ibus	uum	uum	um	ibus	ibus
acies:Dat.Sg	aciēī	ēī	īs	ūs	ō	e	ō	ō	ō	ō	ō	ō
acies:Acc.Pl	aciēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
acies:Gen.Sg	aciēī	ēī	ae	em	ō	e	ō	ō	ō	ō	ō	ō
acies:Gen.Pl	aciērum	ērum	ō	ō	ō	ō	ō	ō	ō	ō	ō	ō
acies:Abl.Sg	aciē	ē	e	e	ō	ō	ō	ō	ō	ō	ō	ō
acies:Nom.Pl	aciēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
acies:Acc.Sg	aciem	em	em	em	um	um	um	um	um	um	um	um
acies:Dat.Pl	aciēbus	ēbus	ibus	ibus	ibus	ibus	ibus	ibus	ēī	um	ibus	ibus
aditus:Nom.Sg	aditus	us	us	us	ēī	ēī	ērum	ēī	ēī	ēī	ēs	ēs
aditus:Abl.Pl	aditibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus
aditus:Dat.Sg	adituī	uī	ī	ī	ī	ūs	ūs	ūs	ūs	is	ō	ō
aditus:Acc.Pl	aditūs	ūs	ūs	us	ēī	ēī	ēī	ēī	ēs	ēs	ēs	ēs
aditus:Gen.Sg	aditūs	ūs	ūs	us	ēī	ēī	ēī	ēī	ēs	ēs	ēs	ēs
aditus:Gen.Pl	adituum	uum	ū	ī	ī	uī	uum	uum	uum	um	ibus	ibus
aditus:Abl.Sg	aditū	ū	ū	ū	ī	um	uum	um	um	um	ēs	um
aditus:Nom.Pl	aditūs	ūs	ūs	ūs	ēī	ēī	ēī	ēī	ēs	ēs	ēs	ēs
aditus:Acc.Sg	aditum	um	um	um	um	um	um	um	um	um	um	um
