Word	Declined	0	1	2	3	4	5	6	7	8	9	10
acies:Nom.Sg	aciēs	ēs	ēs	ēs	em	em	em	em	em	em	em	em
acies:Abl.Pl	aciēbus	ēbus	em	ibus	ibus	ibus	ibus	em	ibus	ūs	ōs	ōs
acies:Dat.Sg	aciēī	ēī	ērum	ūs	ūs	ōs	ōs	ōs	ōs	ōs	ōs	ūs
acies:Acc.Pl	aciēs	ēs	ēs	ēs	em	em	em	em	em	em	em	em
acies:Gen.Sg	aciēī	ēī	ūs	ūs	ūs	ōs	ōs	ōs	ōs	ōs	ōs	ūs
acies:Gen.Pl	aciērum	ērum	ā	us	ūs	ōs	ōs	ōs	ōs	ūs	ōs	ō
acies:Abl.Sg	aciē	ē	ūs	ūs	ūs	ūs	ōs	ōs	ōs	ūs	ōs	ō
acies:Nom.Pl	aciēs	ēs	ēs	ēs	em	em	em	em	em	em	em	em
acies:Acc.Sg	aciem	em	em	em	em	em	em	em	ēs	em	em	em
acies:Dat.Pl	aciēbus	ēbus	em	ērum	ērum	ibus	ā	ibus	ōs	ōs	ōs	ōs
aditus:Nom.Sg	aditus	us	ūs	ūs	ūs	ōs	ōs	ōs	ōs	ōs	ōs	ōs
aditus:Abl.Pl	aditibus	ibus	ibus	ibus	ibus	ibus	ibus	ōs	ā	ā	ā	ā
aditus:Dat.Sg	adituī	uī	um	um	ōs	ōs	ōs	ōs	ōs	ōs	ōs	ōs
aditus:Acc.Pl	aditūs	ūs	ūs	ūs	ūs	ōs	ōs	ōs	ōs	ōs	ōs	ōs
aditus:Gen.Sg	aditūs	ūs	ūs	ūs	ūs	ōs	ōs	ōs	ōs	ōs	ōs	ōs
aditus:Gen.Pl	adituum	uum	uum	um	ōs	ōs	ōs	ōs	ōs	ōs	ōs	ōs
aditus:Abl.Sg	aditū	ū	ī	ī	ōs	ōs	ōs	ōs	ōs	ōs	ōs	ōs
aditus:Nom.Pl	aditūs	ūs	ūs	ūs	ūs	ōs	ōs	ōs	ōs	ōs	ōs	ōs
aditus:Acc.Sg	aditum	um	um	um	um	um	um	um	um	um	um	um
aditus:Dat.Pl	aditibus	ibus	ibus	ibus	ibus	ibus	ibus	ōs	ā	ā	ā	ā
adulter:Nom.Sg	adulter	NULL	NULL	NULL	ōs	ōs	ōs	ōs	ōs	ōs	ōs	ōs
adulter:Abl.Pl	adulterīs	īs	ārum	ā	ā	ā	ā	ā	ā	ā	ā	ā
adulter:Dat.Sg	adulterō	ō	ō	ō	ō	ō	ō	ō	ō	ō	ō	ae
adulter:Acc.Pl	adulterōs	ōs	ūs	ūs	ūs	ōs	ōs	ōs	es	ūs	ōs	ōs
adulter:Gen.Sg	adulterī	ī	ī	ī	ōs	ōs	ōs	ōs	ōs	ōs	ōs	ōs
adulter:Gen.Pl	adulterōrum	ōrum	am	ō	ō	ō	ō	ō	ō	ō	ō	ae
adulter:Abl.Sg	adulterō	ō	ō	ō	ō	ō	ō	ō	ō	ō	ō	ae
adulter:Nom.Pl	adulterī	ī	ī	ī	ōs	ōs	ōs	ōs	ōs	ōs	ōs	ōs
adulter:Acc.Sg	adulterum	um	um	um	um	uum	um	um	um	um	um	um
adulter:Dat.Pl	adulterīs	īs	ārum	ā	ā	ā	ā	ā	ā	ā	ā	ā
adventus:Nom.Sg	adventus	us	ūs	ūs	ūs	ūs	ōs	ōs	ōs	ōs	ōs	ōs
adventus:Abl.Pl	adventibus	ibus	ibus	ibus	ibus	ibus	ibus	ōs	ā	ā	ā	ā
adventus:Dat.Sg	adventuī	uī	uī	um	ōs	ōs	ōs	ōs	ōs	ōs	ōs	ōs
adventus:Acc.Pl	adventūs	ūs	ūs	ūs	ūs	ūs	ōs	ōs	ōs	ōs	ōs	ōs
adventus:Gen.Sg	adventūs	ūs	ūs	ūs	ūs	ūs	ōs	ōs	ōs	ōs	ōs	ōs
adventus:Gen.Pl	adventuum	uum	ium	ēs	ōs	ōs	ōs	ōs	ōs	ōs	ōs	ōs
adventus:Abl.Sg	adventū	ū	ī	ī	ōs	ōs	ōs	ōs	ōs	ōs	ōs	ōs
adventus:Nom.Pl	adventūs	ūs	ūs	ūs	ūs	ūs	ōs	ōs	ōs	ōs	ōs	ōs
adventus:Acc.Sg	adventum	um	um	um	um	um	um	um	um	um	um	um
adventus:Dat.Pl	adventibus	ibus	ibus	ibus	ibus	ibus	ibus	ōs	ōs	es	ā	ā
aedes:Nom.Sg	aedēs	ēs	ēs	ēs	em	em	em	em	em	em	em	em
aedes:Abl.Pl	aedibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ā	ā	ā	ā
aedes:Dat.Sg	aedī	ī	ī	ī	ōs	ōs	ōs	ōs	ōs	ōs	ōs	ōs
aedes:Acc.Pl	aedēs	ēs	ēs	ēs	em	em	em	em	em	em	em	em
aedes:Gen.Sg	aedis	is	is	ā	ā	ā	ā	ā	ā	ā	ā	ā
aedes:Gen.Pl	aedium	ium	ium	ūs	ūs	ōs	ōs	ōs	ōs	ōs	ōs	ōs
aedes:Abl.Sg	aede	e	e	ūs	ūs	ūs	ūs	ūs	ūs	ūs	ūs	ūs
aedes:Nom.Pl	aedēs	ēs	ēs	ēs	em	em	em	em	em	em	em	em
aedes:Acc.Sg	aedem	em	em	em	em	em	em	em	em	em	em	em
aedes:Dat.Pl	aedibus	ibus	ibus	ibus	ibus	ibus	ibus	ōs	ā	ā	ā	ā
aer:Nom.Sg	āēr	NULL	NULL	NULL	ōs	ōs	ōs	ōs	ōs	ōs	ōs	ōs
aer:Abl.Pl	āeribus	ibus	ibus	ibus	ibus	ibus	ibus	ā	ā	ā	ā	ā
aer:Dat.Sg	āerī	ī	ī	ī	ōs	ōs	ōs	ōs	ōs	ōs	ōs	ōs
aer:Acc.Pl	āerēs	ēs	ēs	ēs	em	em	em	em	em	em	em	em
aer:Gen.Sg	āeris	is	ā	ā	ā	ā	ā	ā	ā	ā	ā	ā
aer:Gen.Pl	āerum	um	um	um	um	um	um	um	um	um	um	um
aer:Abl.Sg	āere	e	ae	ūs	ūs	ūs	ūs	ūs	ūs	ūs	ūs	ūs
aer:Nom.Pl	āerēs	ēs	ēs	ēs	em	em	em	em	em	em	em	em
aer:Acc.Sg	āera	a	a	a	a	a	a	a	a	a	a	a
aer:Dat.Pl	āeribus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ōs	ā	ā	ā
aes:Nom.Sg	aes	NULL	NULL	NULL	ōs	ōs	ōs	ōs	ōs	ōs	ōs	ōs
aes:Abl.Pl	aeribus	ibus	ibus	ibus	ibus	ibus	ibus	ōs	ā	ā	ā	ā
aes:Dat.Sg	aerī	ī	ī	ī	ōs	ōs	ōs	ōs	ōs	ōs	ōs	ōs
aes:Acc.Pl	aera	a	a	a	a	a	a	a	a	a	a	a
aes:Gen.Sg	aeris	is	is	ā	ā	ā	ā	ā	ā	ā	ā	ā
aes:Gen.Pl	aerum	um	um	um	um	um	um	um	um	um	um	um
aes:Abl.Sg	aere	e	ae	ae	ūs	ūs	ūs	ūs	ūs	ūs	ūs	ūs
aes:Nom.Pl	aera	a	a	a	a	a	a	a	a	a	a	a
aes:Acc.Sg	aes	NULL	NULL	NULL	ōs	ōs	ōs	ōs	ōs	ōs	ōs	ōs
aes:Dat.Pl	aeribus	ibus	ibus	ibus	ibus	ibus	ibus	ōs	ā	ā	ā	ā
aestas:Nom.Sg	aestās	NULL	NULL	NULL	NULL	ōs	ōs	ōs	ōs	ōs	ōs	ōs
aestas:Abl.Pl	aestātibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ā	ā	ā	ā
aestas:Dat.Sg	aestātī	ī	ī	ī	ōs	ōs	ōs	ōs	ōs	ōs	ōs	ōs
aestas:Acc.Pl	aestātēs	ēs	ēs	ēs	em	em	em	em	em	em	em	em
aestas:Gen.Sg	aestātis	is	ā	ā	ā	ā	ā	ā	ā	ā	ā	ā
aestas:Gen.Pl	aestātum	um	um	um	um	um	um	um	um	um	um	um
aestas:Abl.Sg	aestāte	e	ae	ūs	ūs	ūs	ūs	ūs	ūs	ūs	ūs	ūs
aestas:Nom.Pl	aestātēs	ēs	ēs	ēs	em	em	em	em	em	em	em	em
aestas:Acc.Sg	aestātem	em	em	em	em	em	em	em	em	em	em	em
aestas:Dat.Pl	aestātibus	ibus	ibus	ibus	ibus	ibus	ibus	ōs	ā	ā	ā	ā
aestus:Nom.Sg	aestus	us	ūs	ūs	ūs	ōs	ōs	ōs	ōs	ōs	ōs	ōs
aestus:Abl.Pl	aestibus	ibus	ibus	ibus	ibus	ibus	ibus	ōs	ā	ā	ā	ā
aestus:Dat.Sg	aestuī	uī	um	um	ōs	ōs	ōs	ōs	ōs	ōs	ōs	ōs
aestus:Acc.Pl	aestūs	ūs	ūs	ūs	ūs	ōs	ōs	ōs	ōs	ōs	ōs	ōs
aestus:Gen.Sg	aestūs	ūs	ūs	ūs	ūs	ōs	ōs	ōs	ōs	ōs	ōs	ōs
aestus:Gen.Pl	aestuum	uum	um	um	ōs	ōs	ōs	ōs	ōs	ōs	ōs	ōs
aestus:Abl.Sg	aestū	ū	ī	ī	ōs	ōs	ōs	ōs	ōs	ōs	ōs	ōs
aestus:Nom.Pl	aestūs	ūs	ūs	ūs	ūs	ūs	ōs	ōs	ōs	ōs	ōs	ōs
aestus:Acc.Sg	aestum	um	um	um	um	um	um	um	um	um	um	um
aestus:Dat.Pl	aestibus	ibus	ibus	ibus	ibus	ibus	ibus	ōs	ōs	ōs	ā	ā
aetas:Nom.Sg	aetās	NULL	NULL	NULL	NULL	ōs	ōs	ōs	ōs	ōs	ōs	ōs
aetas:Abl.Pl	aetātibus	ibus	ibus	ibus	ibus	ibus	ibus	ā	ā	ā	ā	ā
aetas:Dat.Sg	aetātī	ī	ī	ī	ōs	ōs	ōs	ōs	ōs	ōs	ōs	ōs
aetas:Acc.Pl	aetātēs	ēs	ēs	ēs	em	em	em	em	em	em	em	em
aetas:Gen.Sg	aetātis	is	ā	ā	ā	ā	ā	ā	ā	ā	ā	ā
aetas:Gen.Pl	aetātum	um	um	um	um	um	um	um	um	um	um	um
aetas:Abl.Sg	aetāte	e	ae	ae	ūs	ūs	ūs	ūs	ūs	ūs	ūs	ūs
aetas:Nom.Pl	aetātēs	ēs	ēs	ēs	em	em	em	em	em	em	em	em
aetas:Acc.Sg	aetātem	em	em	em	em	em	em	em	em	em	em	em
aetas:Dat.Pl	aetātibus	ibus	ibus	ibus	ibus	ibus	ibus	ā	ā	ā	ā	ā
aevum:Nom.Sg	aevum	um	um	um	um	um	um	um	um	um	um	um
aevum:Abl.Pl	aevīs	īs	ārum	ā	ā	ā	ā	ā	ā	ā	ā	ā
aevum:Dat.Sg	aevō	ō	ō	ō	ō	ō	ō	ō	ō	ō	ō	ō
aevum:Acc.Pl	aeva	a	a	a	a	a	a	a	a	a	a	a
aevum:Gen.Sg	aevī	ī	ī	ī	ī	ōs	ōs	ōs	ōs	ōs	ōs	ōs
aevum:Gen.Pl	aevōrum	ōrum	am	ō	ō	ō	ō	ō	ō	ō	ō	ō
aevum:Abl.Sg	aevō	ō	ō	ō	ō	ō	ō	ō	ō	ō	ō	ō
aevum:Nom.Pl	aeva	a	a	a	a	a	a	a	a	a	a	a
aevum:Acc.Sg	aevum	um	um	um	um	um	um	um	um	um	um	um
aevum:Dat.Pl	aevīs	īs	ārum	ā	ā	ā	ā	ā	ā	ā	ā	ā
affectus:Nom.Sg	affectus	us	ūs	ūs	ūs	ōs	ōs	ōs	ōs	ōs	ōs	ōs
affectus:Abl.Pl	affectibus	ibus	ibus	ibus	ibus	ibus	ibus	ōs	ā	ā	ā	ā
affectus:Dat.Sg	affectuī	uī	um	um	ōs	ōs	ōs	ōs	ōs	ōs	ōs	ōs
affectus:Acc.Pl	affectūs	ūs	ūs	ūs	ūs	ōs	ōs	ōs	ōs	ōs	ōs	ōs
affectus:Gen.Sg	affectūs	ūs	ūs	ūs	ūs	ōs	ōs	ōs	ōs	ōs	ōs	ōs
affectus:Gen.Pl	affectuum	uum	um	um	ōs	ōs	ōs	ōs	ōs	ōs	ōs	ōs
affectus:Abl.Sg	affectū	ū	ī	ī	ōs	ōs	ōs	ōs	ōs	ōs	ōs	ōs
affectus:Nom.Pl	affectūs	ūs	ūs	ūs	ūs	ōs	ōs	ōs	ōs	ōs	ōs	ōs
affectus:Acc.Sg	affectum	um	um	um	um	um	um	um	um	um	um	um
affectus:Dat.Pl	affectibus	ibus	ibus	ibus	ibus	ibus	ibus	ōs	ōs	ōs	ā	ā
ager:Nom.Sg	ager	NULL	ūs	ūs	ūs	ōs	ōs	ōs	īs	ā	ōs	NULL
ager:Abl.Pl	agrīs	īs	ārum	ā	ā	ā	ā	ā	ā	ā	ā	ā
ager:Dat.Sg	agrō	ō	ō	ō	ō	ō	ō	ō	ō	ō	ō	ō
ager:Acc.Pl	agrōs	ōs	ūs	ūs	ūs	ōs	ōs	ōs	ōs	ōs	ōs	ūs
ager:Gen.Sg	agrī	ī	ī	ī	ōs	ōs	ōs	ōs	ōs	ōs	ōs	ōs
ager:Gen.Pl	agrōrum	ōrum	ōrum	ō	ō	ō	ō	ō	ō	ō	ō	ō
ager:Abl.Sg	agrō	ō	ō	ō	ō	ō	ō	ō	ō	ō	ō	ō
ager:Nom.Pl	agrī	ī	ī	ī	ī	ōs	ōs	ōs	ōs	ōs	ōs	ōs
ager:Acc.Sg	agrum	um	um	um	um	um	um	um	um	um	um	um
ager:Dat.Pl	agrīs	īs	ā	ā	ā	ā	ā	ā	ā	ā	ā	ā
agger:Nom.Sg	agger	NULL	NULL	NULL	ōs	ōs	ōs	ōs	ōs	ōs	ōs	ōs
agger:Abl.Pl	aggeribus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ā	ā	ā	ā
agger:Dat.Sg	aggerī	ī	ī	ī	ōs	ōs	ōs	ōs	ōs	ōs	ōs	ōs
agger:Acc.Pl	aggerēs	ēs	ēs	ēs	em	em	em	em	em	em	em	em
agger:Gen.Sg	aggeris	is	is	ā	ā	ā	ā	ā	ā	ā	ā	ā
agger:Gen.Pl	aggerum	um	um	um	um	um	um	um	um	um	um	um
agger:Abl.Sg	aggere	e	ae	ūs	ūs	ūs	ūs	ūs	ūs	ūs	ūs	ūs
agger:Nom.Pl	aggerēs	ēs	ēs	ēs	em	em	em	em	em	em	em	em
agger:Acc.Sg	aggerem	em	em	em	em	em	em	em	em	em	em	em
agger:Dat.Pl	aggeribus	ibus	ibus	ibus	ibus	ibus	ibus	ōs	ā	ā	ā	ā
agmen:Nom.Sg	agmen	NULL	NULL	NULL	ōs	ōs	ōs	ōs	ōs	ōs	ōs	ōs
agmen:Abl.Pl	agminibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ā	ā	ā	ā
agmen:Dat.Sg	agminī	ī	ī	ī	ōs	ōs	ōs	ōs	ōs	ōs	ōs	ōs
agmen:Acc.Pl	agmina	a	a	a	a	a	a	a	a	a	a	a
agmen:Gen.Sg	agminis	is	is	ā	ā	ā	ā	ā	ā	ā	ā	ā
agmen:Gen.Pl	agminum	um	um	um	um	um	um	um	um	um	um	um
agmen:Abl.Sg	agmine	e	e	ae	ae	ūs	ūs	ūs	ūs	ūs	ūs	ūs
agmen:Nom.Pl	agmina	a	a	a	a	a	a	a	a	a	a	a
