Word	Declined	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14
aer:Abl.Pl	āeribus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus
aer:Dat.Sg	āerī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī
aer:Acc.Pl	āerēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
aer:Gen.Sg	āeris	is	is	is	is	is	is	is	is	ō	ō	ō	ō	ō	ō	ō
aer:Gen.Pl	āerum	um	um	um	um	um	um	um	um	um	um	um	um	um	um	um
aer:Abl.Sg	āere	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e
aer:Nom.Pl	āerēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
aer:Acc.Sg	āera	a	a	a	a	a	e	e	ae	ium	a	a	a	a	a	a
aer:Dat.Pl	āeribus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus
aes:Nom.Sg	aes	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
aes:Abl.Pl	aeribus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus
aes:Dat.Sg	aerī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī
aes:Acc.Pl	aera	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a
aes:Gen.Sg	aeris	is	is	is	is	is	is	is	is	ō	ō	ō	ō	ō	ō	ō
aes:Gen.Pl	aerum	um	um	um	um	um	um	um	um	um	um	um	um	um	um	um
aes:Abl.Sg	aere	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e
aes:Nom.Pl	aera	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a
aes:Acc.Sg	aes	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
aes:Dat.Pl	aeribus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus
aestas:Nom.Sg	aestās	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
aestas:Abl.Pl	aestātibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus
aestas:Dat.Sg	aestātī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī
aestas:Acc.Pl	aestātēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
aestas:Gen.Sg	aestātis	is	is	is	is	is	is	is	is	ō	ō	ō	ō	ō	ō	ō
aestas:Gen.Pl	aestātum	um	um	um	um	um	um	um	um	um	um	um	um	um	um	um
aestas:Abl.Sg	aestāte	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e
aestas:Nom.Pl	aestātēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
aestas:Acc.Sg	aestātem	em	uum	uum	uum	uum	uum	uum	uum	uum	uum	uum	uum	uum	uum	uum
