Word	Declined	0	1	2	3	4	5	6	7	8	9	10
aes:Dat.Sg	aerī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī
aes:Acc.Pl	aera	a	a	a	a	a	a	a	a	a	a	a
aes:Gen.Sg	aeris	is	is	is	is	is	is	is	is	is	is	īs
aes:Gen.Pl	aerum	um	um	um	um	um	um	um	um	um	um	um
aes:Abl.Sg	aere	e	e	e	e	e	e	e	e	e	e	e
aes:Nom.Pl	aera	a	a	a	a	a	a	a	a	a	a	a
aes:Acc.Sg	aes	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
aes:Dat.Pl	aeribus	ibus	ibus	ibus	uī	uī	ibus	ibus	ibus	ibus	ibus	ibus
aestas:Nom.Sg	aestās	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
aestas:Abl.Pl	aestātibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus
aestas:Dat.Sg	aestātī	ī	ī	ū	ī	ī	ī	ī	ī	ī	ī	ī
aestas:Acc.Pl	aestātēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
aestas:Gen.Sg	aestātis	is	is	is	is	is	is	is	is	is	is	īs
aestas:Gen.Pl	aestātum	um	um	um	um	um	um	um	um	um	um	um
aestas:Abl.Sg	aestāte	e	e	e	e	e	e	e	e	e	e	e
aestas:Nom.Pl	aestātēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
aestas:Acc.Sg	aestātem	em	uum	uum	um	um	um	um	um	um	um	um
aestas:Dat.Pl	aestātibus	ibus	ibus	ibus	uī	uī	ibus	ibus	ibus	ibus	ibus	ibus
aestus:Nom.Sg	aestus	us	ōs	ī	ī	uī	ibus	ibus	ibus	ī	ī	ī
aestus:Abl.Pl	aestibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus
aestus:Dat.Sg	aestuī	uī	um	ū	ū	ī	ī	ī	ī	ī	ī	ī
aestus:Acc.Pl	aestūs	ūs	ōs	ī	us	us	us	us	us	ī	ī	ī
aestus:Gen.Sg	aestūs	ūs	ūs	ī	ēī	ēī	ibus	ērum	ērum	ī	ī	ī
aestus:Gen.Pl	aestuum	uum	um	ū	ī	ī	ī	ī	ī	ī	ī	ī
aestus:Abl.Sg	aestū	ū	ū	ū	ū	NULL	NULL	NULL	NULL	NULL	ī	ī
aestus:Nom.Pl	aestūs	ūs	ūs	ōs	us	us	us	ērum	us	ī	ī	ī
aestus:Acc.Sg	aestum	um	um	um	um	um	um	um	um	um	um	um
aestus:Dat.Pl	aestibus	ibus	ibus	ibus	uī	ī	ibus	ibus	ibus	ibus	ibus	ibus
aetas:Nom.Sg	aetās	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
aetas:Abl.Pl	aetātibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus
aetas:Dat.Sg	aetātī	ī	ī	ū	ī	ī	ī	ī	ī	ī	ī	ī
aetas:Acc.Pl	aetātēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
aetas:Gen.Sg	aetātis	is	is	is	is	is	is	is	is	is	is	īs
aetas:Gen.Pl	aetātum	um	um	um	um	um	um	um	um	um	um	um
aetas:Abl.Sg	aetāte	e	e	e	e	e	e	e	e	e	e	e
aetas:Nom.Pl	aetātēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
