Word	Declined	0	1
agmen:Nom.Sg	agmen	NULL	NULL
agmen:Abl.Pl	agminibus	ibus	ibus
agmen:Dat.Sg	agminī	ī	ī
agmen:Acc.Pl	agmina	a	a
agmen:Gen.Sg	agminis	is	is
agmen:Gen.Pl	agminum	um	ēs
agmen:Abl.Sg	agmine	e	e
agmen:Nom.Pl	agmina	a	a
agmen:Acc.Sg	agmen	NULL	NULL
agmen:Dat.Pl	agminibus	ibus	ibus
ala:Nom.Sg	āla	a	a
ala:Abl.Pl	ālīs	īs	īs
ala:Dat.Sg	ālae	ae	a
ala:Acc.Pl	ālās	ās	ās
ala:Gen.Sg	ālae	ae	a
ala:Gen.Pl	ālārum	ārum	ā
ala:Abl.Sg	ālā	ā	ā
ala:Nom.Pl	ālae	ae	a
ala:Acc.Sg	ālam	am	am
ala:Dat.Pl	ālīs	īs	īs
altum:Nom.Sg	altum	um	um
altum:Abl.Pl	altīs	īs	īs
altum:Dat.Sg	altō	ō	ō
altum:Acc.Pl	alta	a	a
altum:Gen.Sg	altī	ī	ī
altum:Gen.Pl	altōrum	ōrum	ēs
altum:Abl.Sg	altō	ō	em
altum:Nom.Pl	alta	a	a
altum:Acc.Sg	altum	um	um
altum:Dat.Pl	altīs	īs	īs
amica:Nom.Sg	amīca	a	a
amica:Abl.Pl	amīcīs	īs	īs
amica:Dat.Sg	amīcae	ae	a
amica:Acc.Pl	amīcās	ās	ās
amica:Gen.Sg	amīcae	ae	a
amica:Gen.Pl	amīcārum	ārum	ās
amica:Abl.Sg	amīcā	ā	ās
amica:Nom.Pl	amīcae	ae	a
amica:Acc.Sg	amīcam	am	ōrum
amica:Dat.Pl	amīcīs	īs	īs
amicus:Nom.Sg	amīcus	us	us
amicus:Abl.Pl	amīcīs	īs	īs
amicus:Dat.Sg	amīcō	ō	ō
amicus:Acc.Pl	amīcōs	ōs	ūs
amicus:Gen.Sg	amīcī	ī	ī
amicus:Gen.Pl	amīcōrum	ōrum	ōrum
amicus:Abl.Sg	amīcō	ō	ō
amicus:Nom.Pl	amīcī	ī	ī
amicus:Acc.Sg	amīcum	um	um
amicus:Dat.Pl	amīcīs	īs	īs
amnis:Nom.Sg	amnis	is	īs
amnis:Abl.Pl	amnibus	ibus	ibus
amnis:Dat.Sg	amnī	ī	ī
amnis:Acc.Pl	amnēs	ēs	ēs
amnis:Gen.Sg	amnis	is	is
amnis:Gen.Pl	amnium	ium	ium
amnis:Abl.Sg	amne	e	e
amnis:Nom.Pl	amnēs	ēs	ēs
amnis:Acc.Sg	amnem	em	em
amnis:Dat.Pl	amnibus	ibus	ibus
amor:Nom.Sg	amor	NULL	NULL
amor:Abl.Pl	amōribus	ibus	ibus
amor:Dat.Sg	amōrī	ī	ī
amor:Acc.Pl	amōrēs	ēs	ēs
amor:Gen.Sg	amōris	is	is
amor:Gen.Pl	amōrum	um	um
amor:Abl.Sg	amōre	e	e
amor:Nom.Pl	amōrēs	ēs	ēs
amor:Acc.Sg	amōrem	em	em
amor:Dat.Pl	amōribus	ibus	ibus
anima:Nom.Sg	anima	a	a
anima:Abl.Pl	animīs	īs	īs
anima:Dat.Sg	animae	ae	a
anima:Acc.Pl	animās	ās	ās
anima:Gen.Sg	animae	ae	a
anima:Gen.Pl	animārum	ārum	ā
anima:Abl.Sg	animā	ā	ā
anima:Nom.Pl	animae	ae	a
anima:Acc.Sg	animam	am	am
anima:Dat.Pl	animīs	īs	īs
animal:Nom.Sg	animal	NULL	NULL
animal:Abl.Pl	animālibus	ibus	ibus
animal:Dat.Sg	animālī	ī	ī
animal:Acc.Pl	animālia	ia	a
animal:Gen.Sg	animālis	is	īs
animal:Gen.Pl	animālium	ium	a
animal:Abl.Sg	animālī	ī	ī
animal:Nom.Pl	animālia	ia	a
animal:Acc.Sg	animal	NULL	NULL
animal:Dat.Pl	animālibus	ibus	ibus
animus:Nom.Sg	animus	us	us
animus:Abl.Pl	animīs	īs	īs
animus:Dat.Sg	animō	ō	ō
animus:Acc.Pl	animōs	ōs	ōs
animus:Gen.Sg	animī	ī	ī
animus:Gen.Pl	animōrum	ōrum	ēs
animus:Abl.Sg	animō	ō	ō
animus:Nom.Pl	animī	ī	ī
animus:Acc.Sg	animum	um	um
animus:Dat.Pl	animīs	īs	īs
annus:Nom.Sg	annus	us	us
annus:Abl.Pl	annīs	īs	īs
annus:Dat.Sg	annō	ō	ō
annus:Acc.Pl	annōs	ōs	ōs
annus:Gen.Sg	annī	ī	ī
annus:Gen.Pl	annōrum	ōrum	ēs
annus:Abl.Sg	annō	ō	ō
annus:Nom.Pl	annī	ī	ī
annus:Acc.Sg	annum	um	um
annus:Dat.Pl	annīs	īs	īs
aqua:Nom.Sg	aqua	a	a
