Word	Declension	Gender	Case	TotFreq	Declined	0	1	2	3	4	5	6	7	8	9	10
aetas:Abl.Pl	3	f	Abl.Pl	418	aetātibus	ibus	is	es	es	es	es	es	es	es	es	es
aetas:Dat.Sg	3	f	Dat.Sg	418	aetātī	ī	e	e	e	em	em	em	em	em	em	em
aetas:Acc.Pl	3	f	Acc.Pl	418	aetātēs	ēs	es	es	e	e	e	e	e	e	e	e
aetas:Gen.Sg	3	f	Gen.Sg	418	aetātis	is	i	i	e	e	e	e	e	e	e	e
aetas:Gen.Pl	3	f	Gen.Pl	418	aetātum	um	u	e	e	e	es	es	es	es	es	es
aetas:Abl.Sg	3	f	Abl.Sg	418	aetāte	e	e	e	e	e	e	e	e	e	e	e
aetas:Nom.Pl	3	f	Nom.Pl	418	aetātēs	ēs	is	es	es	es	es	es	es	es	es	es
aetas:Acc.Sg	3	f	Acc.Sg	418	aetātem	em	em	em	em	em	em	em	em	em	em	em
aetas:Dat.Pl	3	f	Dat.Pl	418	aetātibus	ibus	is	e	e	e	e	e	e	e	e	e
aevum:Nom.Sg	2	n	Nom.Sg	91	aevum	um	u	u	u	u	u	u	u	u	u	u
aevum:Abl.Pl	2	n	Abl.Pl	91	aevīs	īs	is	s	s	s	es	es	es	es	es	es
aevum:Dat.Sg	2	n	Dat.Sg	91	aevō	ō			m	m	m	m	m	m		m
aevum:Acc.Pl	2	n	Acc.Pl	91	aeva	a										
aevum:Gen.Sg	2	n	Gen.Sg	91	aevī	ī										
aevum:Gen.Pl	2	n	Gen.Pl	91	aevōrum	ōrum	mrum		e	es	es	es	es	es	es	es
aevum:Abl.Sg	2	n	Abl.Sg	91	aevō	ō	ō	ō	ō	ō	ō					
aevum:Nom.Pl	2	n	Nom.Pl	91	aeva	a			s	s	s	s	s	s	s	s
aevum:Acc.Sg	2	n	Acc.Sg	91	aevum	um	um	um	um	um	um	um	um	um	um	um
aevum:Dat.Pl	2	n	Dat.Pl	91	aevīs	īs	i	e	e	e	e	e	e	e	es	e
affectus:Nom.Sg	4	m	Nom.Sg	185	affectus	us	u	u	u	u	u	u	u	u	u	u
affectus:Abl.Pl	4	m	Abl.Pl	185	affectibus	ibus	is	us	s	s		s	s	s	s	s
affectus:Dat.Sg	4	m	Dat.Sg	185	affectuī	uī	u	u	um	um	um	um	um	um	um	um
affectus:Acc.Pl	4	m	Acc.Pl	185	affectūs	ūs	us	us	u	u	u	u	u	u	u	u
affectus:Gen.Sg	4	m	Gen.Sg	185	affectūs	ūs	us	u	u	u	u	u	u	u	u	u
affectus:Gen.Pl	4	m	Gen.Pl	185	affectuum	uum	urum	i	i			s	s	s	s	s
affectus:Abl.Sg	4	m	Abl.Sg	185	affectū	ū	ū	u	u	u	u	u	u	u	u	u
