Word	Declension	Gender	Case	TotFreq	Declined	0	1	2	3	4	5	6	7	8	9	10
aes:Dat.Sg	3	n	Dat.Sg	141	aerī	ī	ī	e	ī	ī	ī	ī	ī	e	e	e
aes:Acc.Pl	3	n	Acc.Pl	141	aera	a	a	a	a	a	a		e	e	e	e
aes:Gen.Sg	3	n	Gen.Sg	141	aeris	is	ī	ī	ī	ī	ī					
aes:Gen.Pl	3	n	Gen.Pl	141	aerum	um	m	uum	ubus							
aes:Abl.Sg	3	n	Abl.Sg	141	aere	e	e	e	e	e	e	e	e	e	e	e
aes:Nom.Pl	3	n	Nom.Pl	141	aera	a	a	a	a							
aes:Acc.Sg	3	n	Acc.Sg	141	aes		m	m	m	em	em	em	em	em	em	em
aes:Dat.Pl	3	n	Dat.Pl	141	aeribus	ibus										
aestas:Nom.Sg	3	f	Nom.Sg	89	aestās											
aestas:Abl.Pl	3	f	Abl.Pl	89	aestātibus	ibus	ibus	ibus	ibus	is						
aestas:Dat.Sg	3	f	Dat.Sg	89	aestātī	ī	ī	ī	e	e	e	e	e	e	e	e
aestas:Acc.Pl	3	f	Acc.Pl	89	aestātēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ē	e	e	e
aestas:Gen.Sg	3	f	Gen.Sg	89	aestātis	is	ī	ī	ī							
aestas:Gen.Pl	3	f	Gen.Pl	89	aestātum	um	uum	ubus	ubus							
aestas:Abl.Sg	3	f	Abl.Sg	89	aestāte	e	e	e	e	e	e	e	e	e	e	e
aestas:Nom.Pl	3	f	Nom.Pl	89	aestātēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs				
aestas:Acc.Sg	3	f	Acc.Sg	89	aestātem	em	em	em	em	em	em	em	em	em	em	em
aestas:Dat.Pl	3	f	Dat.Pl	89	aestātibus	ibus	ibus	ibus	ibus							
aestus:Nom.Sg	4	m	Nom.Sg	105	aestus	us	ū	ū	ū	ū	um	um	um	um	um	um
aestus:Abl.Pl	4	m	Abl.Pl	105	aestibus	ibus	ubus	ubus	ubus							
aestus:Dat.Sg	4	m	Dat.Sg	105	aestuī	uī	ū	ū	ū	um	um	um	ī	ī	ī	ī
