Word	Declension	Gender	CaseNum	Case	Num	TotFreq	LatSuf	Declined	0	1	2	3	4	5	6	7	8	9	10
1	acies:Nom.Sg	5	f	Nom.Sg	Nom	Sg	328	ēs	aciēs	es	es	e	e	e	e	e	es	es	es	es
2	acies:Abl.Pl	5	f	Abl.Pl	Abl	Pl	328	ēbus	aciēbus	ebos	es	es	es	es	es	es	es	es	es	es
3	acies:Dat.Sg	5	f	Dat.Sg	Dat	Sg	328	ēī	aciēī	ei	e	es	es	es	es	es	es	es	es	es
4	acies:Acc.Pl	5	f	Acc.Pl	Acc	Pl	328	ēs	aciēs	es	es	es	es	es	es	es	es	es	es	es
5	acies:Gen.Sg	5	f	Gen.Sg	Gen	Sg	328	ēī	aciēī	ei	es	es	es	es	es	es	es	es	es	es
6	acies:Gen.Pl	5	f	Gen.Pl	Gen	Pl	328	ērum	aciērum	ero	es	es	es	es	es	es	es	es	es	es
7	acies:Abl.Sg	5	f	Abl.Sg	Abl	Sg	328	ē	aciē	e	e	e	e	e	e	e	es	es	es	es
8	acies:Nom.Pl	5	f	Nom.Pl	Nom	Pl	328	ēs	aciēs	es	es	es	es	es	es	es	es	es	es	es
9	acies:Acc.Sg	5	f	Acc.Sg	Acc	Sg	328	em	aciem	e	e	e	e	e	e	e	es	es	es	es
10	acies:Dat.Pl	5	f	Dat.Pl	Dat	Pl	328	ēbus	aciēbus	ebos	es	es	es	es	es	es	es	es	es	es
11	aditus:Nom.Sg	4	m	Nom.Sg	Nom	Sg	107	us	aditus	os	os	os	o	o	o	o	o	o	o	o
12	aditus:Abl.Pl	4	m	Abl.Pl	Abl	Pl	107	ibus	aditibus	ebos	s	s	s	s	s	es	es	es	es	es
13	aditus:Dat.Sg	4	m	Dat.Sg	Dat	Sg	107	uī	adituī	oi	os	us	s							
14	aditus:Acc.Pl	4	m	Acc.Pl	Acc	Pl	107	ūs	aditūs	us	us	us	s	s	s	es	es	es	es	es
15	aditus:Gen.Sg	4	m	Gen.Sg	Gen	Sg	107	ūs	aditūs	us	us	us	us							
16	aditus:Gen.Pl	4	m	Gen.Pl	Gen	Pl	107	uum	adituum	u	s	es	es	es	es	es	es	es	es	es
17	aditus:Abl.Sg	4	m	Abl.Sg	Abl	Sg	107	ū	aditū	u	o	o	o	o	o	o	o	o	o	o
18	aditus:Nom.Pl	4	m	Nom.Pl	Nom	Pl	107	ūs	aditūs	us	us	us	us	s	s			e	e	es
19	aditus:Acc.Sg	4	m	Acc.Sg	Acc	Sg	107	um	aditum	o	o	o	o	o	o	o	o	o	o	o
20	aditus:Dat.Pl	4	m	Dat.Pl	Dat	Pl	107	ibus	aditibus	ebos	s	es	es	es	es	es	es	es	es	es
21	adulter:Nom.Sg	2	mh	Nom.Sg	Nom	Sg	55		adulter		os	o	o	o	o	o	o	o	o	o
