Word	Declension	Gender	Case	TotFreq	Declined	0	1	2	3	4	5	6	7	8	9	10
aer:Acc.Pl	3	m	Acc.Pl	78	āerēs	ēs	ēs	ēs	ēs	eis	eis	eis	eis	eis	eis	eis
aer:Gen.Sg	3	m	Gen.Sg	78	āeris	is	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs
aer:Gen.Pl	3	m	Gen.Pl	78	āerum	um	mu	mu	mu	imu	imu	imu	iu	iu	iu	iu
aer:Abl.Sg	3	m	Abl.Sg	78	āere	e	e	e	e	e	e	e	e	e	e	e
aer:Nom.Pl	3	m	Nom.Pl	78	āerēs	ēs	ēs	ēs	ēs	īs	īs	īs	īs	īs	īs	īs
aer:Acc.Sg	3	m	Acc.Sg	78	āera	a	em	em	em	em	em	em	em	em	em	em
aer:Dat.Pl	3	m	Dat.Pl	78	āeribus	ibus	ibus	iu	iu	iu	iu	iu	iu	iu	iu	iu
aes:Nom.Sg	3	n	Nom.Sg	141	aes											
aes:Abl.Pl	3	n	Abl.Pl	141	aeribus	ibus	ibus	iu	iu	iu	iu	iu	iu	iu	iu	u
aes:Dat.Sg	3	n	Dat.Sg	141	aerī	ī	i	e	e	e	īs	īs	īs	īs	īs	īs
aes:Acc.Pl	3	n	Acc.Pl	141	aera	a	a	a	a	a	a	as	as	as	as	as
aes:Gen.Sg	3	n	Gen.Sg	141	aeris	is	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs
aes:Gen.Pl	3	n	Gen.Pl	141	aerum	um	mu	mu	mu	mu	imu	imu	iu	iu	iu	u
aes:Abl.Sg	3	n	Abl.Sg	141	aere	e	e	e	e	e	e	e	e	e	e	e
aes:Nom.Pl	3	n	Nom.Pl	141	aera	a	a	a	as	as	as	s	s	s	s	s
aes:Acc.Sg	3	n	Acc.Sg	141	aes		m	m	m	m	m	m	m	m	m	m
aes:Dat.Pl	3	n	Dat.Pl	141	aeribus	ibus	ibus	u	u	u	u	u	u	u	u	u
aestas:Nom.Sg	3	f	Nom.Sg	89	aestās											
aestas:Abl.Pl	3	f	Abl.Pl	89	aestātibus	ibus	ibus	iu	iu	iu	iu	iu	iu	iu	iu	iu
aestas:Dat.Sg	3	f	Dat.Sg	89	aestātī	ī	i	e	e	e	eis	īs	īs	īs	īs	īs
aestas:Acc.Pl	3	f	Acc.Pl	89	aestātēs	ēs	ēs	ēs	ēs	eis	eis	eis	eis	eis	eis	eis
aestas:Gen.Sg	3	f	Gen.Sg	89	aestātis	is	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs
aestas:Gen.Pl	3	f	Gen.Pl	89	aestātum	um	mu	mu	mu	imu	imu	imu	iu	iu	iu	iu
aestas:Abl.Sg	3	f	Abl.Sg	89	aestāte	e	e	e	e	e	e	e	e	e	e	e
aestas:Nom.Pl	3	f	Nom.Pl	89	aestātēs	ēs	ēs	ēs	ēs	īs	īs	īs	īs	īs	īs	īs
aestas:Acc.Sg	3	f	Acc.Sg	89	aestātem	em	em	em	em	em	em	em	em	em	em	em
aestas:Dat.Pl	3	f	Dat.Pl	89	aestātibus	ibus	ibus	iu	iu	iu	iu	iu	iu	iu	iu	iu
aestus:Nom.Sg	4	m	Nom.Sg	105	aestus	us	u	u	u	u	u	u	u	u	u	u
aestus:Abl.Pl	4	m	Abl.Pl	105	aestibus	ibus	ibus	iu	uu	uu	umu	umu	uu	u	ou	
aestus:Dat.Sg	4	m	Dat.Sg	105	aestuī	uī	u	u			u		u	u	u	u
aestus:Acc.Pl	4	m	Acc.Pl	105	aestūs	ūs	us	us	us	us	us		u	o	o	
aestus:Gen.Sg	4	m	Gen.Sg	105	aestūs	ūs	ūs	us	us	us	us	us	u	u	u	
aestus:Gen.Pl	4	m	Gen.Pl	105	aestuum	uum	uu	mu	mu	imu	imu	imu	iu	iu	iu	iu
aestus:Abl.Sg	4	m	Abl.Sg	105	aestū	ū	ū	ō	ō	ō	ō	ō	ō	ō	ō	ō
aestus:Nom.Pl	4	m	Nom.Pl	105	aestūs	ūs	us	us	us	us	us	us	u	u	o	
aestus:Acc.Sg	4	m	Acc.Sg	105	aestum	um	um	um	um	um	u	u	u	u	u	u
aestus:Dat.Pl	4	m	Dat.Pl	105	aestibus	ibus	ibus	iu	iu	iu	iu	iu	iu	iu	iu	iu
aetas:Nom.Sg	3	f	Nom.Sg	418	aetās											
aetas:Abl.Pl	3	f	Abl.Pl	418	aetātibus	ibus	ibus	iu	iu	iu	iu	iu	iu	iu	iu	iu
aetas:Dat.Sg	3	f	Dat.Sg	418	aetātī	ī	i	e	e	e	eis	īs	īs	īs	īs	īs
aetas:Acc.Pl	3	f	Acc.Pl	418	aetātēs	ēs	ēs	ēs	ēs	eis	eis	eis	eis	eis	eis	eis
aetas:Gen.Sg	3	f	Gen.Sg	418	aetātis	is	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs
aetas:Gen.Pl	3	f	Gen.Pl	418	aetātum	um	mu	mu	mu	imu	imu	imu	iu	iu	iu	iu
aetas:Abl.Sg	3	f	Abl.Sg	418	aetāte	e	e	e	e	e	e	e	e	e	e	e
aetas:Nom.Pl	3	f	Nom.Pl	418	aetātēs	ēs	ēs	ēs	ēs	īs	īs	īs	īs	īs	īs	īs
aetas:Acc.Sg	3	f	Acc.Sg	418	aetātem	em	em	em	em	em	em	em	em	em	em	em
aetas:Dat.Pl	3	f	Dat.Pl	418	aetātibus	ibus	ibus	iu	iu	iu	iu	iu	iu	iu	iu	iu
