Word	Declension	Gender	Case	TotFreq	LatSuf	Declined	0	1	2	3	4	5	6	7	8	9	10
aer:Acc.Sg	3	m	Acc.Sg	78	a	āera	a	ea	ea	ea	ea	ea	ea	ea	ea	ea	ea
aer:Dat.Pl	3	m	Dat.Pl	78	ibus	āeribus	eui	eiu	ei	ei	ei	ei	e	e	e	e	e
aes:Nom.Sg	3	n	Nom.Sg	141		aes											
aes:Abl.Pl	3	n	Abl.Pl	141	ibus	aeribus	eui	e					e	e	e	e	e
aes:Dat.Sg	3	n	Dat.Sg	141	ī	aerī	i	e	e								
aes:Acc.Pl	3	n	Acc.Pl	141	a	aera	a						e	e	e	e	e
aes:Gen.Sg	3	n	Gen.Sg	141	is	aeris	ei	e	e								
aes:Gen.Pl	3	n	Gen.Pl	141	um	aerum	u	eu	e	ei	ei	i	e	e	e	e	e
aes:Abl.Sg	3	n	Abl.Sg	141	e	aere	ea	e									
aes:Nom.Pl	3	n	Nom.Pl	141	a	aera	a						e	e	e	e	e
aes:Acc.Sg	3	n	Acc.Sg	141		aes											
aes:Dat.Pl	3	n	Dat.Pl	141	ibus	aeribus	eui	e	e	ei	ei	e	e	e	e	e	e
aestas:Nom.Sg	3	f	Nom.Sg	89		aestās							e				
aestas:Abl.Pl	3	f	Abl.Pl	89	ibus	aestātibus	eui	e	e	e	e	e	e	e	e	e	e
aestas:Dat.Sg	3	f	Dat.Sg	89	ī	aestātī	i	e	e	ea	ea	ea	ea	ea	ea	ea	ea
aestas:Acc.Pl	3	f	Acc.Pl	89	ēs	aestātēs	ei	ei	ei	e	e	e	e	e	e	e	e
aestas:Gen.Sg	3	f	Gen.Sg	89	is	aestātis	ei	e	e	e	e	e	e	e	e	e	e
aestas:Gen.Pl	3	f	Gen.Pl	89	um	aestātum	u	eu	ei	ei	ei	ei	e	e	e	e	e
aestas:Abl.Sg	3	f	Abl.Sg	89	e	aestāte	ea	ea	ea	ea	ea	ea	ea	ea	ea	ea	ea
aestas:Nom.Pl	3	f	Nom.Pl	89	ēs	aestātēs	ei	i	i	e	e	e	e	e	e	e	e
aestas:Acc.Sg	3	f	Acc.Sg	89	em	aestātem	ea	ea	ea	ea	ea	ea	ea	ea	ea	ea	ea
aestas:Dat.Pl	3	f	Dat.Pl	89	ibus	aestātibus	eui	ei	ei	ei	ei	ei	e	e	e	e	e
aestus:Nom.Sg	4	m	Nom.Sg	105	us	aestus	ui	ui	u	u	u	u	u	u	u	u	u
aestus:Abl.Pl	4	m	Abl.Pl	105	ibus	aestibus	eui	i	i								
aestus:Dat.Sg	4	m	Dat.Sg	105	uī	aestuī	ui	u	u	u	u	u	u	u	u	u	u
aestus:Acc.Pl	4	m	Acc.Pl	105	ūs	aestūs	ui	i	i								
aestus:Gen.Sg	4	m	Gen.Sg	105	ūs	aestūs	ui	u	u	u	u	u	u	u	u	u	u
