Word	Declension	Gender	Case	TotFreq	LatSuf	Declined	0	1	2	3	4	5	6	7	8	9	10
aer:Acc.Sg	3	m	Acc.Sg	78	a	āera	a	e	e	e	e	e	e	e	e	e	e
aer:Dat.Pl	3	m	Dat.Pl	78	ibus	āeribus	ebos	es	es	es	es	es	es	es	es	es	es
aes:Nom.Sg	3	n	Nom.Sg	141		aes											
aes:Abl.Pl	3	n	Abl.Pl	141	ibus	aeribus	ebos	es	es	e	as	as	as	as	as	as	as
aes:Dat.Sg	3	n	Dat.Sg	141	ī	aerī	i	e	e	e	e	es	es	es	es	es	es
aes:Acc.Pl	3	n	Acc.Pl	141	a	aera	a	a	a	a	as	as	as	as	as	as	as
aes:Gen.Sg	3	n	Gen.Sg	141	is	aeris	es	e	e	e	e	es	es	es	es	es	es
aes:Gen.Pl	3	n	Gen.Pl	141	um	aerum	o	as	as	e	es	es	es	es	es	es	es
aes:Abl.Sg	3	n	Abl.Sg	141	e	aere	e	e	e	e	e	e	e				
aes:Nom.Pl	3	n	Nom.Pl	141	a	aera	a	a	a	a	as	as	as	as	as	as	as
aes:Acc.Sg	3	n	Acc.Sg	141		aes											
aes:Dat.Pl	3	n	Dat.Pl	141	ibus	aeribus	ebos	a	as	e	es	es	es	es	es	es	es
aestas:Nom.Sg	3	f	Nom.Sg	89		aestās											
aestas:Abl.Pl	3	f	Abl.Pl	89	ibus	aestātibus	ebos	es	es	es	es	es	es	es	es	es	es
aestas:Dat.Sg	3	f	Dat.Sg	89	ī	aestātī	i	e	es	es	es	es	es	es	es	es	es
aestas:Acc.Pl	3	f	Acc.Pl	89	ēs	aestātēs	es	es	es	es	es	es	es	es	es	es	es
aestas:Gen.Sg	3	f	Gen.Sg	89	is	aestātis	es	es	es	es	es	es	es	es	es	es	es
aestas:Gen.Pl	3	f	Gen.Pl	89	um	aestātum	o	es	es	es	es	es	es	es	es	es	es
aestas:Abl.Sg	3	f	Abl.Sg	89	e	aestāte	e	e	e	e	e	e	e	e	e	e	e
aestas:Nom.Pl	3	f	Nom.Pl	89	ēs	aestātēs	es	es	es	es	es	es	es	es	es	es	es
aestas:Acc.Sg	3	f	Acc.Sg	89	em	aestātem	e	e	e	e	e	e	e	e	e	e	e
aestas:Dat.Pl	3	f	Dat.Pl	89	ibus	aestātibus	ebos	es	es	es	es	es	es	es	es	es	es
aestus:Nom.Sg	4	m	Nom.Sg	105	us	aestus	os	os	os	o	o	o	o	o	o	o	o
aestus:Abl.Pl	4	m	Abl.Pl	105	ibus	aestibus	ebos	s	s	s	s	s	es	es	es	es	es
aestus:Dat.Sg	4	m	Dat.Sg	105	uī	aestuī	oi	os	us	s							
aestus:Acc.Pl	4	m	Acc.Pl	105	ūs	aestūs	us	us	us	s	s	s	es	es	es	es	es
aestus:Gen.Sg	4	m	Gen.Sg	105	ūs	aestūs	us	us	us	us							
aestus:Gen.Pl	4	m	Gen.Pl	105	uum	aestuum	u	s	es	es	es	es	es	es	es	es	es
aestus:Abl.Sg	4	m	Abl.Sg	105	ū	aestū	u	o	o	o	o	o	o	o	o	o	o
aestus:Nom.Pl	4	m	Nom.Pl	105	ūs	aestūs	us	us	us	us	s	s			e	e	es
aestus:Acc.Sg	4	m	Acc.Sg	105	um	aestum	o	o	o	o	o	o	o	o	o	o	o
aestus:Dat.Pl	4	m	Dat.Pl	105	ibus	aestibus	ebos	s	es	es	es	es	es	es	es	es	es
aetas:Nom.Sg	3	f	Nom.Sg	418		aetās		e									
aetas:Abl.Pl	3	f	Abl.Pl	418	ibus	aetātibus	ebos	es	es	es	es	es	es	es	es	es	es
aetas:Dat.Sg	3	f	Dat.Sg	418	ī	aetātī	i	e	es	es	es	es	es	es	es	es	es
aetas:Acc.Pl	3	f	Acc.Pl	418	ēs	aetātēs	es	es	es	es	es	es	es	es	es	es	es
aetas:Gen.Sg	3	f	Gen.Sg	418	is	aetātis	es	es	es	es	es	es	es	es	es	es	es
aetas:Gen.Pl	3	f	Gen.Pl	418	um	aetātum	o	es	es	es	es	es	es	es	es	es	es
aetas:Abl.Sg	3	f	Abl.Sg	418	e	aetāte	e	e	e	e	e	e	e	e	e	e	e
aetas:Nom.Pl	3	f	Nom.Pl	418	ēs	aetātēs	es	es	es	es	es	es	es	es	es	es	es
aetas:Acc.Sg	3	f	Acc.Sg	418	em	aetātem	e	e	e	e	e	e	e	e	e	e	e
aetas:Dat.Pl	3	f	Dat.Pl	418	ibus	aetātibus	ebos	es	es	es	es	es	es	es	es	es	es
aevum:Nom.Sg	2	n	Nom.Sg	91	um	aevum	o	o	o	o	o	o	o	o	o	o	o
aevum:Abl.Pl	2	n	Abl.Pl	91	īs	aevīs	is	e	e			a	a	a	a	as	as
aevum:Dat.Sg	2	n	Dat.Sg	91	ō	aevō	o	o	e	e	e	e					
aevum:Acc.Pl	2	n	Acc.Pl	91	a	aeva	a	a	a	a	a	a	a	a	a	as	as
aevum:Gen.Sg	2	n	Gen.Sg	91	ī	aevī	i	i									
aevum:Gen.Pl	2	n	Gen.Pl	91	ōrum	aevōrum	oro	s		e	es	es	es	es	es	es	es
aevum:Abl.Sg	2	n	Abl.Sg	91	ō	aevō	o	o	o	o	o	o	o	o	o	o	o
aevum:Nom.Pl	2	n	Nom.Pl	91	a	aeva	a	a	a	a		a	a	a	a	a	a
aevum:Acc.Sg	2	n	Acc.Sg	91	um	aevum	o	o	o	o	o	o	o	o	o	o	o
aevum:Dat.Pl	2	n	Dat.Pl	91	īs	aevīs	is		a	e	es	es	es	es	es	es	es
affectus:Nom.Sg	4	m	Nom.Sg	185	us	affectus	os	os	o	o	o	o	o	o	o	o	o
affectus:Abl.Pl	4	m	Abl.Pl	185	ibus	affectibus	ebos	s	s	s	s	es	es	es	es	es	es
