Word	Declension	Gender	Case	TotFreq	LatSuf	Declined	0	1	2	3	4	5	6	7	8	9	10
aedes:Dat.Pl	3	f	Dat.Pl	68	ibus	aedibus	eboi	ei	ei	ei	ei	ei	ei	ei	ei	ei	ei
aer:Nom.Sg	3	m	Nom.Sg	78		āēr		e	e	e	e	e	e	e	e	e	e
aer:Abl.Pl	3	m	Abl.Pl	78	ibus	āeribus	eboi	ei	ei	ei	ei	ei	ei	ei	ei	ei	ei
aer:Dat.Sg	3	m	Dat.Sg	78	ī	āerī	i	e	e	e	e	e	e	e	e	e	e
aer:Acc.Pl	3	m	Acc.Pl	78	ēs	āerēs	ei	ei	ei	ei	ei	ei	ei	ei	ei	ei	ei
aer:Gen.Sg	3	m	Gen.Sg	78	is	āeris	ei	e	e	e	e	e	e	e	e	e	e
aer:Gen.Pl	3	m	Gen.Pl	78	um	āerum	o	ei	ei	ei	ei	ei	ei	ei	ei	ei	ei
aer:Abl.Sg	3	m	Abl.Sg	78	e	āere	e	e	e	e	e	e	e	e	e	e	e
aer:Nom.Pl	3	m	Nom.Pl	78	ēs	āerēs	ei	ei	ei	ei	ei	ei	ei	ei	ei	ei	ei
aer:Acc.Sg	3	m	Acc.Sg	78	a	āera	a	e	e	e	e	e	e	e	e	e	e
aer:Dat.Pl	3	m	Dat.Pl	78	ibus	āeribus	eboi	ei	ei	ei	ei	ei	ei	ei	ei	ei	ei
aes:Nom.Sg	3	n	Nom.Sg	141		aes			e	e	e	e	e	e	e	e	e
aes:Abl.Pl	3	n	Abl.Pl	141	ibus	aeribus	eboi	ei	ei	ei	ei	ei	ei	ei	ei	ei	ei
aes:Dat.Sg	3	n	Dat.Sg	141	ī	aerī	i	e	e	e	e	e	e	e	e	e	e
aes:Acc.Pl	3	n	Acc.Pl	141	a	aera	a	ai	e	e	ei	ei	ei	ei	ei	ei	ei
aes:Gen.Sg	3	n	Gen.Sg	141	is	aeris	ei	e	e	e	e	e	e	e	e	e	e
aes:Gen.Pl	3	n	Gen.Pl	141	um	aerum	o	e	e	ei	ei	ei	ei	ei	ei	ei	ei
aes:Abl.Sg	3	n	Abl.Sg	141	e	aere	e	e	e	e	e	e	e	e	e	e	e
aes:Nom.Pl	3	n	Nom.Pl	141	a	aera	a	a	ei	ei	ei	ei	ei	ei	ei	ei	ei
aes:Acc.Sg	3	n	Acc.Sg	141		aes			e	e	e	e	e	e	e	e	e
aes:Dat.Pl	3	n	Dat.Pl	141	ibus	aeribus	eboi	e	e	ei	ei	ei	ei	ei	ei	ei	ei
aestas:Nom.Sg	3	f	Nom.Sg	89		aestās		e	e	e	e	e	e	e	e	e	e
aestas:Abl.Pl	3	f	Abl.Pl	89	ibus	aestātibus	eboi	ei	ei	ei	ei	ei	ei	ei	ei	ei	ei
aestas:Dat.Sg	3	f	Dat.Sg	89	ī	aestātī	i	e	e	e	e	e	e	e	e	e	e
aestas:Acc.Pl	3	f	Acc.Pl	89	ēs	aestātēs	ei	ei	ei	ei	ei	ei	ei	ei	ei	ei	ei
aestas:Gen.Sg	3	f	Gen.Sg	89	is	aestātis	ei	e	e	e	e	e	e	e	e	e	e
aestas:Gen.Pl	3	f	Gen.Pl	89	um	aestātum	o	ei	ei	ei	ei	ei	ei	ei	ei	ei	ei
aestas:Abl.Sg	3	f	Abl.Sg	89	e	aestāte	e	e	e	e	e	e	e	e	e	e	e
aestas:Nom.Pl	3	f	Nom.Pl	89	ēs	aestātēs	ei	ei	ei	ei	ei	ei	ei	ei	ei	ei	ei
aestas:Acc.Sg	3	f	Acc.Sg	89	em	aestātem	e	e	e	e	e	e	e	e	e	e	e
aestas:Dat.Pl	3	f	Dat.Pl	89	ibus	aestātibus	eboi	ei	ei	ei	ei	ei	ei	ei	ei	ei	ei
aestus:Nom.Sg	4	m	Nom.Sg	105	us	aestus	oi	oi	oi	oi	oi	oi	oi	oi	oi	o	o
aestus:Abl.Pl	4	m	Abl.Pl	105	ibus	aestibus	eboi	i	oi	oi	oi	i	ei	ei	ei	ei	ei
aestus:Dat.Sg	4	m	Dat.Sg	105	uī	aestuī	oi	i	oi	ei	ei	ei	ei	ei	ei	ei	ei
aestus:Acc.Pl	4	m	Acc.Pl	105	ūs	aestūs	ui	oi	oi	oi	oi	i	ei	ei	ei	ei	ei
aestus:Gen.Sg	4	m	Gen.Sg	105	ūs	aestūs	ui	ui	oi	ei	ei	ei	ei	ei	ei	ei	ei
aestus:Gen.Pl	4	m	Gen.Pl	105	uum	aestuum	u	oi	oi	ei	ei	ei	ei	ei	ei	ei	ei
aestus:Abl.Sg	4	m	Abl.Sg	105	ū	aestū	u	oi	oi	oi	oi	oi	oi	oi	oi	o	o
aestus:Nom.Pl	4	m	Nom.Pl	105	ūs	aestūs	ui	oi	oi	oi	oi	i	ei	ei	ei	ei	ei
aestus:Acc.Sg	4	m	Acc.Sg	105	um	aestum	o	oi	oi	oi	oi	oi	oi	oi	oi	o	o
aestus:Dat.Pl	4	m	Dat.Pl	105	ibus	aestibus	eboi	i	i	ei	ei	ei	ei	ei	ei	ei	ei
aetas:Nom.Sg	3	f	Nom.Sg	418		aetās		e	e	e	e	e	e	e	e	e	e
aetas:Abl.Pl	3	f	Abl.Pl	418	ibus	aetātibus	eboi	ei	ei	ei	ei	ei	ei	ei	ei	ei	ei
aetas:Dat.Sg	3	f	Dat.Sg	418	ī	aetātī	i	e	e	e	e	e	e	e	e	e	e
aetas:Acc.Pl	3	f	Acc.Pl	418	ēs	aetātēs	ei	ei	ei	ei	ei	ei	ei	ei	ei	ei	ei
aetas:Gen.Sg	3	f	Gen.Sg	418	is	aetātis	ei	e	e	e	e	e	e	e	e	e	e
aetas:Gen.Pl	3	f	Gen.Pl	418	um	aetātum	o	ei	ei	ei	ei	ei	ei	ei	ei	ei	ei
