Latin	LatGender	LatDec	nomsg	nompl	gensg	genpl	accsg	accpl	English	RomGender	RomSg	RomPl	OldRom	OldestRom	OrigLang	UnsureCog?	ChangedMean	SlWordt	SlavGender	SlNote	NewWord?	PageNo	LatinExist?	NounExist?	MultipleNouns?	Is Second Noun a homophone?	MaxFreq	MaxFreq10k	MinFreq	MinFreq10k
arca	f	1	arca	arcae	arcae	arcārum	arcam	arcās	chest, box	f	arcă	arce			i, l		ark	*orky, *korbъ, *korba, *korbьji	f, m, f, f			788131	Yes	Yes	No		328	5.282	139	2.239
area	f	1	ārea	āreae	āreae	āreārum	āream	āreās	area, ground	f	arie	arii			l							29610	Yes	Yes	No		75	1.208	36	0.58
arena	f	1	arēna	arēnae	arēnae	arēnārum	arēnam	arēnās	sand	f	arină	arine			l			*pěsъkъ	m			72683	Yes	Yes	No		34	0.548	34	0.548
argentum	n	2	argentum	argenta	argentī	argentōrum	argentum	argenta	silver	n	argint	arginți			l			*sьrebro	n			50369	Yes	Yes	No		275	4.429	275	4.429
aries	m	3	ariēs	arietēs	arietis	arietum	arietem	arietēs	ram		-							*ovьnъ	m	(natural gender)		39517	Yes	Yes	No		317	5.105	41	0.66
arma	n	2	-	arma	-	armōrum	-	arma	weapons	f	armă	arme			l			*orǫdьje	n			39237	Yes	Yes	No		226	3.64	8	0.129
asina	f	1	asina	asinai	asinai	asinā	asinam	asinās	female donkey	f	asină	asine			l							1048134	Yes	No	No		73	1.176	21	0.338
atrium	n	2	ātrium	ātria	ātriī	ātriōrum	ātrium	ātria	hall, room with hearth	n	atrium	atriumuri			l							59973	Yes	Yes	No		222	3.575	52	0.837
auricula	f	1	auricula	auriculae	auriculae	auriculārum	auriculam	auriculās	ear	f	ureche	urechi			l			*uxo	n		*	469952	Yes	Yes	No		18	0.29	18	0.29
aurum	n	2	aurum	aura	aurī	aurōrum	aurum	aura	gold	n	aur	aururi			l			*zolto	n			205988	Yes	Yes	No		1,606	25.864	151	2.432
baculum	n	2	baculum	bacula	baculī	baculōrum	baculum	bacula	stick, staff		-											56594	Yes	Yes	No		20	0.322	18	0.29
baptismum	n	2	baptismum	baptisma	baptismī	baptismōrum	baptismum	baptisma	baptism	n	botez	botezuri			l?	*						2225853	Yes	Yes	No		?	?	?	?
barba	f	1	barba	barbae	barbae	barbārum	barbam	barbās	beard	f	barbă	bărbi			l			*borda	f			217330	Yes	Yes	Yes	No	36	0.58	4	0.064
basilica	f	1	basilica	basilicae	basilicae	basilicārum	basilicam	basilicās	portico, basilica	f, f	bazilică, biserică	bazilici, biserici			f, l		biserică might be from this? = church			no psl. word		71421	Yes	Yes	No		9	0.145	0	0
basis	f	3	basis	basēs	basis	basium	basim/basem*	basīs/basēs*	basis, foundation	f	bază	baze			f, r			*osnova	f			7953	Yes	Yes	No		?	?	?	?
basium	n	2	bāsium	bāsia	bāsiī	bāsiōrum	bāsium	bāsia	kiss													313232	Yes	Yes	No		11	0.177	11	0.177
bellum	n	2	bellum	bella	bellī	bellōrum	bellum	bella	war	f	-							*bornь, *ortь, *vojьna	f, f, f			50615	Yes	Yes	No		501	8.068	0	0
bestia	f	1	bēstia	bēstiae	bēstiae	bēstiārum	bēstiam	bēstiās	beast, animal	f	bestie	bestii			i, l			*zvěrь	m			38534	Yes	Yes	Yes	No	255	4.107	71	1.143
bonum	m	2	bonus	bonī	bonī	bonōrum	bonum	bonōs	good	n	bun	bunuri			l			*dobro	n	(abstract)		46174	Yes	Yes	No		1,807	29.101	0	0
bos	m	3	bōs	bovēs	bovis	boum	bovem	bovēs	cow	m	bou	boi			l		ox	*bykъ, *korva, *govędo	m, f, n	*korva 'cow', *bykъ 'bull', *govędo 'head of cattle'		40174	Yes	Yes	No		329	5.298	127	2.045
brachium	n	2	brachium	brachia	brachiī	brachiōrum	brachium	brachia	arm	n	braţ	brațe			l			*rǫka	f			896089	Yes	Yes	No		99	1.594	99	1.594
bucca	f	1	bucca	buccae	buccae	buccārum	buccam	buccās	cheek, jaw, mouth	f	bucă	buci		buca	l		cheek	*olnita	f		*	691632	Yes	Yes	No		?	?	?	?
cadaver	n	3	cadāver	cadāvera	cadāveris	cadāverum	cadāver	cadāvera	corpse	n	cadavru	cadavre			f			*navъ, *navь	m, f			41012	Yes	Yes	No		58	0.934	58	0.934
caelum	n	2	caelum	caela	caelī	caelōrum	caelum	caela	heaven	n	cer	ceruri			l			*nebo	n			49679	Yes	Yes	Yes	Yes (other meaning is chisel, but same definition)	3,029	48.781	1	0.016
caepa	f	1	caepa	caepae	caepae	caepārum	caepam	caepās	onion	f	ceapă	cepe			l			*lukъ	m		*	1986448	Yes	Yes	No		1	0.016	1	0.016
caligo	f	3	cālīgō	cālīginēs	cālīginis	cālīginum	cālīginem	cālīginēs	mist, vapor, fog	f	ceaţă	cețuri				*		*mьgla	f			1124365	Yes	Yes	No		50	0.805	26	0.419
calix	m	3	calix	calicēs	calicis	calicum	calicem	calicēs	cup, goblet	n, f	caliciu, ceașcă	calicii			f, l; r		calyx (part of flower; cuplike structure); cup	*čaša	f			48547	Yes	Yes	No		61	0.982	61	0.982
camelus	m	2	camēlus	camēlī	camēlī	camēlōrum	camēlum	camēlōs	camel	f	cămilă 	cămile			s					no psl. word		40082	Yes	Yes	No		88	1.417	55	0.886
campus	m	2	campus	campī	campī	campōrum	campum	campōs	plain, field	f, n	câmpie, câmp	câmpii, câmpuri			?; l		field, plain; field	*polje	n			81853	Yes	Yes	No		153	2.464	0	0
canis	m	3	canis	canēs	canis	canum	canem	canēs	dog	m	câine	câini			l			*pьsъ, *suka	m, f	(natural gender - male and female dog, respectively) (the lat. word can also be f!)		39096	Yes	Yes	No		187	3.012	0	0
canistrum	n	2	canistrum	canistra	canistrī	canistrōrum	canistrum	canistra	basket	f, n	canistră, coș	canistre, coșuri			g		canistră means canister	*košь	m			2645228	Yes	Yes	No		13	0.209	13	0.209
cannabis	f	3	cannabis	cannabēs	cannabis	cannabium	cannabim/cannabem	cannabīs/cannabēs	canvas, linen, hemp	f	cânepă	cânepi	cînepă	canepa	l			*poltьno	m	linen	*	57341	Yes	Yes	No		?	?	?	?
canticum	n	2	canticum	cantica	canticī	canticōrum	canticum	cantica	song, musical monologue	n	cântec 	cântece			l	from latin canticum		*pěsnь	f			2159039	Yes	Yes	No		178	2.867	0	0
capillus	m	2	capillus	capillī	capillī	capillōrum	capillum	capillōs	hair		-							*volsъ, *kyka, *kъkъ	m, f, m			474318	Yes	Yes	No		38	0.612	38	0.612
capistrum	n	2	capistrum	capistra	capistrī	capistrōrum	capistrum	capistra	halter, muzzle	n	căpăstru	căpestre	căpestru	capestru	l			*uzda	f	bridle	*	2110270	Yes	Yes	No		?	?	?	?
capra	f	1	capra	caprae	caprae	caprārum	capram	caprās	she-goat	f	capră	capre			l			*koza	f			65892	Yes	Yes	No		51	0.821	33	0.531
caput	n	3	caput	capita	capitis	capitum	caput	capita	head	n, m, n	cap	capete, capi, capuri			l			*golva	f			179688	Yes	Yes	No		1,100	17.715	310	4.992
carbo	m	3	carbō	carbōnēs	carbōnis	carbōnum	carbōnem	carbōnēs	coal	m	cărbune   	cărbuni			l			*ǫglь	m			1988980	Yes	Yes	No		31	0.499	1	0.016
carcer	m	3	carcer	carcerēs	carceris	carcerum	carcerem	carcerēs	prison	f	carcera	carcere			l, i							237877	Yes	Yes	No		124	1.997	58	0.934
carrus	m	2	carrus	carrī	carrī	carrōrum	carrum	carrōs	chariot, wagon	n	car	care			l	latin carrus	wagon	*vozъ	m			242516	Yes	Yes	No		1	0.016	1	0.016
caseus	m	2	cāseus	cāseī	cāseī	cāseōrum	cāseum	cāseōs	cheese	n	caș	cașuri		cáʃiu	l			*syrъ	m		*	579580	Yes	Yes	No		3	0.048	3	0.048
castella	n	2	castellum	castella	castellī	castellōrum	castellum	castella	castles	n	castel	castele			l			*gordъ	m			95508	Yes	Yes	No		30	0.483	30	0.483
castra	n	2	-	castra	-	castrōrum	-	castra	camp	n	castru	castre			l	borrowing?	roman fortification					364413	Yes	Yes	No		995	16.024	0	0
casus	m	4	cāsus	cāsūs	cāsūs	cāsuum	cāsum	cāsūs	fall	f	caz	cazuri			l		case	*padъ	m	(abstract)		68921	Yes	Yes	No		751	12.095	176	2.834
causa	f	1	causa	causae	causae	causārum	causam	causās	cause, reason, motive	f	cauză	cauze			l, f			*pričina, *povodъ, *dovodъ	f, m, m			68358	Yes	Yes	No		157	2.528	157	2.528
cedrus	f	2	cedrus	cedrī	cedrī	cedrōrum	cedrum	cedrōs	cedar, juniper	m	cedru	cedri			f, l			*kedrъ	m	a very, very late loanword, post-psl.		1854953	Yes	Yes	No		68	1.095	45	0.725
census	m	4	cēnsus	cēnsūs	cēnsūs	cēnsuum	cēnsum	cēnsūs	census	n	recensământ 	recensăminte			f	?				no psl. word		73705	Yes	Yes	No		19	0.306	0	0
centurio	mh	3	centuriō	centuriōnēs	centuriōnis	centuriōnum	centuriōnem	centuriōnēs	captain	m	centurion	centurioni			l	??	roman centurion		m	(natural gender)		1540456	Yes	Yes	No		60	0.966	36	0.58
cerasus	f	2	cerasus	cerasī	cerasī	cerasōrum	cerasum	cerasōs	cherry	f	cireașă	cireși		ceréʃie	l			*sermъša; *sermuša	f	ramson, bird-cherry	*	3116810	Yes	Yes	No		?	?	?	?
chorus	m	2	chorus	chorī	chorī	chorōrum	chorum	chorōs	dance	n	cor	coruri			l		choir, chorus	*likъ	m			53170	Yes	Yes	No		44	0.709	44	0.709
ciconia	f	1	cicōnia	cicōniae	cicōniae	cicōniārum	cicōniam	cicōniās	stork													173278	Yes	Yes	No		1	0.016	1	0.016
cinis	m	3	cinis	cinerēs	cineris	cinerum	cinerem	cinerēs	ashes	f	cenuşă	cenușe			l			*pepelъ	m			49858	Yes	Yes	No		78	1.256	48	0.773
circuitus	m	4	circuitus	circuitūs	circuitūs	circuituum	circuitum	circuitūs	revolution	n	circuit	circuituri			f, l	?	circuit = circuit			(abstract)		2422704	Yes	Yes	No		524	8.439	0	0
circus	m	2	circus	circī	circī	circōrum	circum	circōs	circle	n, n	cerc, circ	cercuri, circuri			l; f, l	?		*krǫgъ, *kolo	m, n			105333	Yes	Yes	No		28	0.451	0	0
civitas	f	3	cīvitās	cīvitātēs	cīvitātis	cīvitātum	cīvitātem	cīvitātēs	citizenship, state													210316	Yes	Yes	No		1,161	18.698	1,161	18.698
clamor	m	3	clāmor	clāmōrēs	clāmōris	clāmōrum	clāmōrem	clāmōrēs	cry		-							*klikъ	m			61414	Yes	Yes	No		111	1.788	45	0.725
clangor	m	3	clangor	clangōrēs	clangōris	clangōrum	clangōrem	clangōrēs	noise		-							*zvonъ, *šumъ	m, m			269890	Yes	Yes	No		18	0.29	10	0.161
coetus	m	4	coetus	coetūs	coetūs	coetuum	coetum	coetūs	sexual union		-									(abstract)		1206534	Yes	Yes	No		68	1.095	0	0
cognatio	f	3	cognātiō	cognātiōnēs	cognātiōnis	cognātiōnum	cognātiōnem	cognātiōnēs	blood-relationship, kindred													2478430	Yes	Yes	No		161	2.593	161	2.593
cognatus	No info	No info	No info	No info	No info	No info	No info	No info	kinsman, relation (male)	m	cumnat	cumnați			l		brother in law	*šurь	m	brother-in-law (wife's brother)	*	924376	Yes	No	No		82	1.321	0	0
collis	m	3	collis	collēs	collis	collium	collem	collīs/collēs*	hill	f	colină	coline			f			*xъlmъ, *bergъ	m, m			480232	Yes	Yes	No		126	2.029	63	1.015
color	m	3	color	colōrēs	colōris	colōrum	colōrem	colōrēs	color	f	culoare	culori			l, f							1520	Yes	Yes	No		65	1.047	14	0.225
columba	f	1	columba	columbae	columbae	columbārum	columbam	columbās	dove, pigeon		-							*golǫbь	m			265843	Yes	Yes	No		52	0.837	42	0.676
columna	f	1	columna	columnae	columnae	columnārum	columnam	columnās	column, pillar	f, f	coloană, columnă	coloane, columne			f; l			*stъlръ	m			262531	Yes	Yes	No		141	2.271	103	1.659
commotio	f	3	commōtiō	commōtiōnēs	commōtiōnis	commōtiōnum	commōtiōnem	commōtiōnēs	rousing, excitement, agitation, commotion		-									(abstract)		2692523	Yes	Yes	No		21	0.338	21	0.338
concilium	n	2	concilium	concilia	conciliī	conciliōrum	concilium	concilia	council	n	consiliu	consili			l, f			*sъvětъ	m			474076	Yes	Yes	No		49	0.789	23	0.37
coniuga	fh	1	coniuga	coniugai	coniugai	coniugārum	coniugam	coniugās	wife		-							*žena	f	(natural gender)		602105	Yes	No	No		28	0.451	8	0.129
conspectus	m	4	cōnspectus	cōnspectūs	cōnspectūs	cōnspectuum	cōnspectum	cōnspectūs	look, sight, view	n	conspect	conspecte			l, g	borrowing?	surveying (notes, land)	*vidъ	m			201492	Yes	Yes	No		865	13.931	1	0.016
convictus	m	4	convictus	convictūs	convictūs	convictūm	convictum	convictūs	intimacy											(abstract)		2338917	Yes	No	No		4	0.064	0	0
cor	n	3	cor	corda	cordis	cordium/cordum*	cor	corda	heart	n	cord	corduri			l	borrowing?	not the main word, inimă = heart, heart attack = atac de cord	*sьrdьce	n			27600	Yes	Yes	No		2,817	45.367	43	0.693
cornu	n	4	cornū	cornua	cornūs	cornuum	cornū	cornua	horn, wing	n	corn	coarne			l		horn	*kridlo	n			39013	Yes	Yes	No		135	2.174	41	0.66
corona	f	1	corōna	corōnae	corōnae	corōnārum	corōnam	corōnās	garland, wreath	f	coroană   	coroane			l		crown, wreath	*věnьcь	m			60142	Yes	Yes	No		228	3.672	0	0
corpus	n	3	corpus	corpora	corporis	corporum	corpus	corpora	body	n	corp	corpuri			f, l			*tělo	n			38350	Yes	Yes	No		256	4.123	212	3.414
cortina	f	1	cortīna	cortīnae	cortīnae	cortīnārum	cortīnam	cortīnās	kettle		-							*kotьlъ	m			214231	Yes	Yes	No		18	0.29	18	0.29
corvus	m	2	corvus	corvī	corvī	corvōrum	corvum	corvōs	raven	m	corb	corbi			l			*krukъ; *vornъ	m, m		*	48889	Yes	Yes	No		10	0.161	10	0.161
costa	f	1	costa	costae	costae	costārum	costam	costās	rib	f	coastă	coaste		coasta	l			*rebro	n		*	53389	Yes	Yes	No		4	0.064	2	0.032
crater	m	3	crātēr	crātērēs	crātēris	crātērum	crātērem	crātērēs	mixing vessel, punch bowl	n	crater	cratere			f		crater	*sǫdъ, *krin(ic)a	m, f			61485	Yes	Yes	No		?	?	?	?
cribrum	n	2	crībrum	crībra	crībrī	crībrōrum	crībrum	crībra	sieve	n	ciur	ciururi			l			*sito	n		*	2994228	Yes	Yes	No		3	0.048	1	0.016
crimen	n	3	crīmen	crīmina	crīminis	crīminum	crīmen	crīmina	crime	f	crimă	crime			f		murder, outrage, crime					216209	Yes	Yes	No		15	0.242	13	0.209
crusta	f	1	crusta	crustae	crustae	crustārum	crustam	crustās	shell	f	crustă	cruste			l		crust of bread	*luska, *luskъ	f, m			1439313	Yes	Yes	No		?	?	?	?
crux	f	3	crux	crucēs	crucis	crucum	crucem	crucēs	cross	f	cruce	cruci			l			*krьstъ	m			60191	Yes	Yes	No		34	0.548	34	0.548
cubiculum	n	2	cubiculum	cubicula	cubiculī	cubiculōrum	cubiculum	cubicula	chamber													38178	Yes	Yes	No		40	0.644	40	0.644
cucumis	m	3	cucumis	cucumerēs	cucumeris	cucumerum	cucumerem	cucumerēs	cucumber											probably no psl. word, all sl. words appear recent		1764461	Yes	Yes	Yes	No	1	0.016	1	0.016
cucurbita	f	1	cucurbita	cucurbitae	cucurbitae	cucurbitārum	cucurbitam	cucurbitās	gourd	f	curcubetă	curcubete			l				?		*	1319139	Yes	Yes	No		?	?	?	?
culpa	f	1	culpa	culpae	culpae	culpārum	culpam	culpās	fault	f	culpă	culpe			l		fault	*blędь, *blǫdъ	f, m			246485	Yes	Yes	No		16	0.258	2	0.032
cultus	m	4	cultus	cultūs	cultūs	cultuum	cultum	cultūs	labor, culture, care, cultivation	f	cultură	culturi			f, l		crop	*gojь	m	?		501880	Yes	Yes	No		77	1.24	2	0.032
cuneus	m	2	cuneus	cuneī	cuneī	cuneōrum	cuneum	cuneōs	wedge		-							*klinъ	m			270523	Yes	Yes	No		24	0.387	0	0
cura	f	1	cūra	cūrae	cūrae	cūrārum	cūram	cūrās	care	f	cură	curi			f, l		cure, diet	*gojь	m	?		236034	Yes	Yes	No		73	1.176	23	0.37
cursus	m	4	cursus	cursūs	cursūs	cursuum	cursum	cursūs	way, journey, voyage	n, f	curs, cursă	cursuri, curse			l; f	?		*pǫtь	m	mainly in the metaphorical sense		474079	Yes	Yes	No		38	0.612	0	0
custodia	f	1	custōdia	custōdiae	custōdiae	custōdiārum	custōdiam	custōdiās	custody	f	custodie	custodii			l	borrowing?				(abstract)		211696	Yes	Yes	No		155	2.496	31	0.499
daemonia	n	2	daemonium	daemonia	daemoniī	daemoniōrum	daemonium	daemonia	devils	m	demon	demoni			grk			*běsъ	m	singular		2399816	Yes	Yes	Yes	No	82	1.321	82	1.321
debitor	mh	3	dēbitor	dēbitōrēs	dēbitōris	dēbitōrum	dēbitōrem	dēbitōrēs	debtor	n	debitor	debitori			f, l	borrowing?			m	(natural gender)		325773	Yes	Yes	No		10	0.161	10	0.161
decor	m	3	decor	decōrēs	decōris	decōrum	decōrem	decōrēs	elegance, grace, beauty	n	decor	decoruri			f	borrowing?	decor					255143	Yes	Yes	No		205	3.301	6	0.097
dens	m	3	dēns	dentēs	dentis	dentium	dentem	dentēs*/dentīs	tooth	m	dinte	dinți			l			*zǫbъ	m			46469	Yes	Yes	No		63	1.015	63	1.015
deserta	n	2	-	dēserta	-	dēsertōrum	-	dēserta	desert	n	deșert	deșerturi			l, f			*pustyni	f	singular		1366752	Yes	No	No		1,049	16.894	0	0
deus	mh	2	deus	dī	deī	deōrum	deum	deōs	god	m	zeu	zei			l			*bogъ	m			67662	Yes	Yes	No		6,451	103.891	3,491	56.221
diabolus	m	2	diabolus	diabolī	diabolī	diabolōrum	diabolum	diabolōs	devil	m	diavol	diavoli			s			*dьjavolъ, *vorgь	m	(natural gender) most sl. languages use the loanword from gr. diabolos for this christian concept; some ssl. languages use *vorgъ 'enemy'		47359	Yes	Yes	No		39	0.628	39	0.628
dies	m	5	diēs	diēs	diēī	diērum	diem	diēs	day	f	zi	zile			l			*dьnь	m			1662	Yes	Yes	No		6,762	108.9	1,662	26.766
digitus	m	2	digitus	digitī	digitī	digitōrum	digitum	digitōs	finger	n	deget	degete			l			*palьcь; *pьrstъ	m, m		*	71043	Yes	Yes	No		70	1.127	26	0.419
discipulus	m	2	discipulus	discipulī	discipulī	discipulōrum	discipulum	discipulōs	student	m	discipol	discipoli			l		disciple, follower		m	(natural gender)		66442	Yes	Yes	No		337	5.427	185	2.979
doctrina	f	1	doctrīna	doctrīnae	doctrīnae	doctrīnārum	doctrīnam	doctrīnās	learning	f	doctrină	doctrine			f, l	borrowing?	doctrine			(abstract)		785498	Yes	Yes	No		113	1.82	113	1.82
dolor	m	3	dolor	dolōrēs	dolōris	dolōrum	dolōrem	dolōrēs	pain	f	durere	dureri			l			*bolь	f			105038	Yes	Yes	No		164	2.641	96	1.546
domina	fh	1	domina	dominae	dominae	dominārum	dominam	dominās	lady	f	doamnă	doamne			l			*žena	f	(natural gender)		269769	Yes	Yes	No		47	0.757	14	0.225
dominus	mh	2	dominus	dominī	dominī	dominōrum	dominum	dominōs	lord, master	m	domn	domni			l		gentleman (also lord, master)	*gospodь, *gospodinъ	m, m	(natural gender)		47431	Yes	Yes	No		10,591	170.565	6,296	101.395
domus	f	4	domus	domūs	domūs*/domī	domuum*/domōrum	domum	domūs*/domōs	house	n	dom	domuri			f		dome	*domъ	m			204715	Yes	Yes	No		2,615	42.114	1,509	24.302
draco	m	3	dracō	dracōnēs	dracōnis	dracōnum	dracōnem	dracōnēs	serpent, dragon	m	dragon	dragoni			f			*zmьjь	m			46288	Yes	Yes	No		86	1.385	0	0
dux	mh	3	dux	ducēs	ducis	ducum	ducem	ducēs	leader, guide	m	duce	duci			f, l				m	(natural gender)		106458	Yes	Yes	No		358	5.765	170	2.738
ecclesia	f	1	ecclēsia	ecclēsiae	ecclēsiae	ecclēsiārum	ecclēsiam	ecclēsiās	church		-							*cьrky	f			1037359	Yes	Yes	No		164	2.641	164	2.641
epistola	f	1	epistola	epistolae	epistolae	epistolārum	epistolam	epistolās	letter	f	epistolă   	epistole			l		letters of paul = epistles of paul, used to mean letters	*pisьmo, *pismę	n, n			45920	Yes	Yes	No		?	?	?	?
equa	f	1	equa	equae	equae	equārum	equam	equās	mare	f	iapă	iepe		iapa	l				f		*	649649	Yes	Yes	No		60	0.966	0	0
equus	m	2	equus	equī	equī	equōrum	equum	equōs	horse		-							*konjь	m			179686	Yes	Yes	No		235	3.785	113	1.82
exaltatio	f	3	exaltātiō	exaltātiōnēs	exaltātiōnis	exaltātiōnum	exaltātiōnem	exaltātiōnēs	pride, promotion	f	exaltație	exaltații			?	borrowing?				(abstract)		2625569	Yes	Yes	No		6	0.097	6	0.097
exemplum	n	2	exemplum	exempla	exemplī	exemplōrum	exemplum	exempla	example	n	exemplu	exemple			f, l			*priměrъ, *prikladъ	m, m			45922	Yes	Yes	No		43	0.693	39	0.628
exercitus	m	4	exercitus	exercitūs	exercitūs	exercituum	exercitum	exercitūs	army	n	exercițiu	exerciții			f, l		exercise, military routine	*pъlkъ, *ortь	m, f			211702	Yes	Yes	No		1,300	20.936	301	4.848
fabula	f	1	fābula	fābulae	fābulae	fābulārum	fābulam	fābulās	story	f	fabulă	fabule			l			*basnь	f			270606	Yes	Yes	No		13	0.209	7	0.113
facies	f	5	faciēs	faciēs	faciēī	faciērum	faciem	faciēs	form, figure, shape	f	față	fețe			l		face	*obrazъ, *obličьje	m, n			462167	Yes	Yes	No		1,154	18.585	694	11.177
factum	n	2	factum	facta	factī	factōrum	factum	facta	deed, act	f, n	faptă/fapt	fapte, fapte			l; l		faptă = deed, fapt = event, fact	*dělo	n			185802	Yes	Yes	No		2,256	36.332	0	0
faenum	n	2	faenum	faena	faenī	faenōrum	faenum	faena	hay	n	fân	fânuri	fîn	fen	l			*sěno	n		*	667251	Yes	Yes	No		46	0.741	46	0.741
fallacia	f	1	fallācia	fallāciae	fallāciae	fallāciārum	fallāciam	fallāciās	fallacy		-							*blędь, *blǫdъ	f, m			497374	Yes	Yes	No		7	0.113	7	0.113
