Latin	LatGender	LatDec	nomsg	nompl	gensg	genpl	accsg	accpl	English	RomGender	RomSg	RomPl	OldRom	OldestRom	OrigLang	UnsureCog?	ChangedMean	SlWordt	SlavGender	SlNote	NewWord?	PageNo	LatinExist?	NounExist?	MultipleNouns?	Is Second Noun a homophone?	MaxFreq	MaxFreq10k	MinFreq	MinFreq10k
fama	f	1	fāma	fāmae	fāmae	fāmārum	fāmam	fāmās	report, rumor	f	faimă   	faime			l		fame, renown, repute	*sluxъ	m			224030	Yes	Yes	No		53	0.854	23	0.37
fames	f	3	famēs	famēs	famis	famum	famem	famēs	famine	f	foame   	-			l		hunger	*goldъ	m			269965	Yes	Yes	No		155	2.496	125	2.013
familia	f	1	familia	familiae	familiae	familiārum	familiam	familiās	family	f	familie	familii			l, f			*rodъ, *sěmьja	m, f			5140	Yes	Yes	No		254	4.091	254	4.091
famula	fh	1	famula	famulae	famulae	famulārum	famulam	famulās	maid		-							*děva, *děvica	f, f	(natural gender)		67422	Yes	Yes	No		58	0.934	0	0
farina	f	1	farīna	farīnae	farīnae	farīnārum	farīnam	farīnās	flour	f	făină	făini			l			*mǫka, *boršьno	f, n			60304	Yes	Yes	No		19	0.306	19	0.306
femina	fh	1	fēmina	fēminae	fēminae	fēminārum	fēminam	fēminās	woman	f	femeie; femelă 	femeii; femele			l; f, l			*žena	f	(natural gender)		59352	Yes	Yes	No		57	0.918	27	0.435
ferrum	n	2	ferrum	ferra	ferrī	ferrōrum	ferrum	ferra	iron	n	fier	fieruri			l			*želězo	n			46809	Yes	Yes	No		102	1.643	56	0.902
festuca	f	1	festūca	festūcae	festūcae	festūcārum	festūcam	festūcās	straw		-							*solma	f			2585329	Yes	Yes	No		6	0.097	6	0.097
festum	n	2	fēstum	fēsta	fēstī	fēstōrum	fēstum	fēsta	feast	f	festivitate	festivități			f, l	borrowing?	festivities	*porzdьnikъ, *svęto	m, n			564354	Yes	Yes	No		110	1.772	0	0
ficus	m	2	fīcus	fīcī	fīcī	fīcōrum	fīcum	fīcōs	fig tree		-							*smoky	f	maybe ssl. only; this is a very late loanword from germanic		204946	Yes	Yes	No		50	0.805	50	0.805
fides	f	5	fidēs	fidēs	fideī	fidērum	fidem	fidēs	faith		-							*věra	f			196089	Yes	Yes	Yes	Yes (second meaning 3rd declension and means "chord")	864	13.914	0	0
figura	f	1	figūra	figūrae	figūrae	figūrārum	figūram	figūrās	shape	f	figură	figuri			f, l					(abstract)		213822	Yes	Yes	No		23	0.37	5	0.081
filia	fh	1	fīlia	fīliae	fīliae	fīliārum	fīliam	fīliās	daughter	f	fiică   	fiice			l			*dъkti	f	(natural gender)		50448	Yes	Yes	No		1,844	29.697	544	8.761
filius	mh	2	fīlïus	fīlïī	fīlïī	fīlïōrum	fīlïum	fīlïōs	son	m	fiu	fii			l			*synъ	m	(natural gender)		47079	Yes	Yes	No		6,382	102.78	4,656	74.983
finis	m	3	fīnis	fīnēs	fīnis	fīnium	fīnem	fīnīs/fīnēs*	boundary, limit	n	final	finaluri			f, l			*konьcь, *krajь	m, m			101471	Yes	Yes	No		164	2.641	36	0.58
fiscella	f	1	fiscella	fiscellae	fiscellae	fiscellārum	fiscellam	fiscellās	basket		-							*košь	m			1641651	Yes	Yes	No		2	0.032	2	0.032
flamma	f	1	flamma	flammae	flammae	flammārum	flammam	flammās	flame	f, n	flacără, foc				l; l	*	flame; fire	*polmy	m			53406	Yes	Yes	No		160	2.577	0	0
flos	m	3	flōs	flōrēs	flōris	flōrum	flōrem	flōrēs	flower	f	floare	flori			l			*květъ	m			27564	Yes	Yes	No		60	0.966	23	0.37
flumen	n	3	flūmen	flūmina	flūminis	flūminum	flūmen	flūmina	river		-							*rěka	f			593144	Yes	Yes	No		158	2.545	158	2.545
fluvius	m	2	fluvïus	fluvïī	fluvïī	fluvïōrum	fluvïum	fluvïōs	river	n	fluviu	fluvii			l		big river, small river = râu	*rěka	f			579629	Yes	Yes	No		78	1.256	78	1.256
fluxus	m	2	fluxus	fluxī	fluxī	fluxōrum	fluxum	fluxōs	flow, current of air	n	flux	fluxuri			f		high tide (borrowing?)	*tokъ	m	(abstract)		1640631	Yes	Yes	No		34	0.548	0	0
folium	n	2	folium	folia	foliī	foliōrum	folium	folia	sheet, leaf	f	foaie	foi			l			*listъ	m	leaf	*	49666	Yes	Yes	No		37	0.596	11	0.177
follis	m	3	follis	follēs	follis	follium	follem	follēs*/follīs	pair of bellows													268314	Yes	Yes	No		?	?	?	?
fons	m	3	fōns	fontēs	fontis	fontium	fontem	fontēs*/fontīs	fountain	f	fântână	fântâni			l	*		*jьzvorъ, *krinica	m, f			48829	Yes	Yes	No		99	1.594	99	1.594
foramen	n	3	forāmen	forāmina	forāminis	forāminum	forāmen	forāmina	opening		-											237107	Yes	Yes	No		16	0.258	16	0.258
fores	f	3	foris	forēs	foris	forium	forem	forēs*/forīs	doors		-							*vorta, *dvьrь	n, f	*vorta is a plurale tantum (neuter plural)		269780	Yes	Yes	Yes	No	662	10.661	0	0
forma	f	1	fōrma	fōrmae	fōrmae	fōrmārum	fōrmam	fōrmās	form	f	formă	forme			f, l					(abstract)		79292	Yes	Yes	No		58	0.934	0	0
formica	f	1	formīca	formīcae	formīcae	formīcārum	formīcam	formīcās	ant	f	furnică	furnici			l			*morvi	f		*	39285	Yes	Yes	No		2	0.032	2	0.032
forum	n	2	forum	fora	forī	forōrum	forum	fora	forum, court, marketplace	n	for	foruri			l, f		body, forum	*dvorъ	m			74780	Yes	Yes	No		546	8.793	0	0
fragmentum	n	2	fragmentum	fragmenta	fragmentī	fragmentōrum	fragmentum	fragmenta	fragment	n	fragment	fragmente			f, l							1445593	Yes	Yes	No		12	0.193	12	0.193
frater	mh	3	frāter	frātrēs	frātris	frātrum	frātrem	frātrēs	brother	m	frate	frați			l			*bratrъ	m	(natural gender)		38231	Yes	Yes	No		1,090	17.554	1,090	17.554
fraxinus	f	2	fraxinus	fraxinī	fraxinī	fraxinōrum	fraxinum	fraxinōs	ash-tree	m	frasin	frasini			l			*asenь; *asenъ	m, m		*	2043983	Yes	Yes	No		?	?	?	?
fremitus	m	4	fremitus	fremitūs	fremitūs	fremituum	fremitum	fremitūs	murmur	n	freamăt	freamăte			l		murmur of the wind	*šьpъtъ	m			97639	Yes	Yes	No		17	0.274	9	0.145
frenum	n	2	frēnum	frēna	frēnī	frēnōrum	frēnum	frēna	bridle, harness, rein	n	frâu	frâie	frîu (frîn)	fren	l			*uzda	f	bridle	*	245237	Yes	Yes	No		22	0.354	0	0
fretum	n	2	fretum	freta	fretī	fretōrum	fretum	freta	strait, sound, channel													1021556	Yes	Yes	No		34	0.548	0	0
frons	f	3	frons	frondēs	frondis	frondium	frondem	frondēs/frondīs	leafy branch, foliage, leaves, frond		frunză	frunze	frunze		l			*listъ	m	leaf	*	487818	Yes	Yes	Yes	Above	52	0.419	48	0.773
frons	f	3	frōns	frontēs	frontis	frontium	frontem	frontēs/frontīs	forehead	f	frunte	frunți			l			*čelo	n			487818	Yes	Yes	Yes	Below	52	0.837	48	0.773
frux	f	3	frūx	frūgēs	frūgis	frūgum	frūgem	frūgēs	fruit	n, f	fruct, fructă	fructe			l			*ovotjь, *ovotje	m, n			2520138	Yes	Yes	No		48	0.773	46	0.741
fuga	f	1	fuga	fugae	fugae	fugārum	fugam	fugās	flight, running away	f	fugă	fugi			l							39227	Yes	Yes	No		42	0.676	24	0.387
fulgur	n	3	fulgur	fulgura	fulguris	fulgurum	fulgur	fulgura	lightning	n	fulger	fulgere			l			*mъldni	f		*	472464	Yes	Yes	No		24	0.387	8	0.129
fumus	m	2	fūmus	fūmī	fūmī	fūmōrum	fūmum	fūmōs	smoke, steam, vapor, fume	n	fum	fumuri			l			*dymъ; *čadjь; čadja; čadъ	m; m, f, m	smoke, soot; smoke, soot; smoke, fumes; smoke	*	48967	Yes	Yes	No		59	0.95	41	0.66
fundus	m	2	fundus	fundī	fundī	fundōrum	fundum	fundōs	bottom	n	fund	funduri			l			*dъno	n			102803	Yes	Yes	No		16	0.258	3	0.048
funiculus	m	2	fūniculus	fūniculī	fūniculī	fūniculōrum	fūniculum	fūniculōs	cord	f	funie	funii			l	*	rope, cord	*povorzъ	m			975733	Yes	Yes	No		50	0.805	42	0.676
funis	m	3	fūnis	fūnēs	fūnis	fūnium	fūnem	fūnēs*/fūnīs	rope	f	funie	funii			l			*povorzъ	m			640160	Yes	Yes	No		28	0.451	28	0.451
furnus	m	2	furnus	furnī	furnī	furnōrum	furnum	furnōs	oven	n	furnal	furnale			?	*		*pektь	f			2232562	Yes	Yes	No		3	0.048	3	0.048
furor	m	3	furor	furōrēs	furōris	furōrum	furōrem	furōrēs	fury	f	furoare	furori			f, l	?	anger (furoare = stirring anger)	*gněvъ, *ěrostь	m, f	(abstract)		79497	Yes	Yes	No		334	5.379	136	2.19
furtum	n	2	fūrtum	fūrta	fūrtī	fūrtōrum	fūrtum	fūrta	theft, robbery	n	furt	furturi			l			*tatьba	f	(abstract)		472714	Yes	Yes	No		30	0.483	14	0.225
gaudium	n	2	gaudium	gaudia	gaudiī	gaudiōrum	gaudium	gaudia	joy									*radostь	f	(abstract)		270607	Yes	Yes	No		147	2.367	147	2.367
gens	f	3	gēns	gentēs	gentis	gentium	gentem	gentēs/gentīs	race, clan, house	f	ginte	ginți			?		tribe, clan	*rodъ, *kolěno	m, n			81671	Yes	Yes	No		1,148	18.488	696	11.209
genus	n	3	genus	genera	generis	generum	genus	genera	race	n	gen	genuri			l		gender, kind	*rodъ, *kolěno	m, n			28437	Yes	Yes	Yes	No	311	5.009	0	0
gladius	m	2	gladïus	gladïī	gladïī	gladïōrum	gladïum	gladïōs	sword		-							*mečь	m			200863	Yes	Yes	No		875	14.092	89	1.433
gloria	f	1	glōria	glōriae	glōriae	glōriārum	glōriam	glōriās	glory	f	glorie	glorii			l, i		(slava is used too)	*slava	f			56893	Yes	Yes	No		733	11.805	271	4.364
gradus	m	4	gradus	gradūs	gradūs	graduum	gradum	gradūs	step, pace, walk	n, n	grad	grade, graduri			f, l, g		degree, military honor	*xodъ, *korkъ	m, m			269797	Yes	Yes	No		53	0.854	53	0.854
granum	n	2	grānum	grāna	grānī	grānōrum	grānum	grāna	grain, spelt	m	grâu	grâuri			l			*pyrь	m	spelt'		205691	Yes	Yes	No		11	0.177	11	0.177
gratia	f	1	grātia	grātiae	grātiae	grātiārum	grātiam	grātiās	favor, grace	f	grație	grații			l		(moving with) grace, catholic divine grace			(abstract)		239847	Yes	Yes	No		870	14.011	1	0.016
grex	m	3	grex	gregēs	gregis	gregum	gregem	gregēs	flock, herd, swarm		-							*stado, *jato	n, n			1399867	Yes	Yes	No		290	4.67	86	1.385
gula	f	1	gula	gulae	gulae	gulārum	gulam	gulās	throat, neck	n	guler	gulere			hung		collar	*gъrdlo	n	the words for 'neck' are *šija (f), *vyja (f)		74067	Yes	Yes	No		?	?	?	?
gustus	m	4	gustus	gustūs	gustūs	gustuum	gustum	gustūs	tasting	n	gust	gusturi			l			*vъkusъ	m	(abstract)		65493	Yes	Yes	No		5	0.081	5	0.081
gyrus	m	2	gȳrus	gȳrī	gȳrī	gȳrōrum	gȳrum	gȳrōs	circle, ring		-							*krǫgъ, *kolo	m, n			486859	Yes	Yes	No		79	1.272	51	0.821
herba	f	1	herba	herbae	herbae	herbārum	herbam	herbās	plant	f	iarbă	ierburi			l							103338	Yes	Yes	No		50	0.805	50	0.805
homo	mh	3	homō	hominēs	hominis	hominum	hominem	hominēs	man	m	om	oameni			l			*čelověkъ	m			38541	Yes	Yes	No		1,711	27.555	1,711	27.555
hora	f	1	hōra	hōrae	hōrae	hōrārum	hōram	hōrās	hour	f	oră 	ore			l, i			*časъ	m	time (ocs time, moment, hour; bulg. hour)		50716	Yes	Yes	No		294	4.735	1	0.016
horrea	n	2	horreum	horrea	horreī	horreōrum	horreum	horrea	granary, barn, storage house									*evinъ; *evьja; *evьnja	m, f, f	granary, drying shed		2586588	Yes	Yes	No		48	0.773	2	0.032
hospes	mh	3	hospes	hospitēs	hospitis	hospitum	hospitem	hospitēs	host										m	(natural gender)		269803	Yes	Yes	No		15	0.242	11	0.177
hospes	fh	3	hospes	hospitēs	hospitis	hospitum	hospitem	hospitēs	host										f	(natural gender)		269803	Yes	Yes	No		15	0.242	11	0.177
hostis	mh	3	hostis	hostēs	hostis	hostium	hostem	hostēs/hostīs	stranger, foreigner, enemy		-								m	(natural gender)		214047	Yes	Yes	No		?	?	?	?
hostis	fh	3	hostis	hostēs	hostis	hostium	hostem	hostēs/hostīs	stranger, foreigner, enemy		-								fh	(natural gender)		214047	Yes	Yes	No		?	?	?	?
humus	f	2	humus	humī	humī	humōrum	humum	humōs	earth, ground, soil		-							*zemlja, *pьrstь	f, f			60438	Yes	Yes	No		57	0.918	33	0.531
hyacinthus	m	2	hyacinthus	hyacinthī	hyacinthī	hyacinthōrum	hyacinthum	hyacinthōs	hyacinth	m	iacint	iacinți			f					no psl. word		2638114	Yes	Yes	No		36	0.58	36	0.58
hypocrita	fh	1	hypocrita	hypocritae	hypocritae	hypocritārum	hypocritam	hypocritās	hypocrite	f	ipocrită	ipocrite			f				f	(natural gender)		2586606	Yes	Yes	No		27	0.435	27	0.435
hypocrita	mh	1	hypocrita	hypocritae	hypocritae	hypocritārum	hypocritam	hypocritās	hypocrite	m	ipocrit	ipocriți			f				m	(natural gender)		2586606	Yes	Yes	No		27	0.435	27	0.435
ignis	m	3	ignis	ignēs	ignis	ignium	ignem	ignīs/ignēs*	fire		-							*ognjь, *(v)atra	m, f			33565	Yes	Yes	No		908	14.623	208	3.35
incensum	m	4	incensus	incensūs	incensūs	incensuum	incensum	incensūs	incense, setting fire to		-							*kadidlo	n			2340871	Yes	Yes	No		346	5.572	0	0
industria	f	1	industria	industriae	industriae	industriārum	industriam	industriās	industry	f	industrie	industrii			f, l							96149	Yes	Yes	No		24	0.387	0	0
infernum	n	2	infernum	inferna	infernii	infernōrum	infernum	inferna	hell	n	infern	infernuri			l			*pьkъlъ, *pьkъlo	m, n			1737590	Yes	No	No		67	1.079	67	1.079
inimicus	m	2	inimīcus	inimīcī	inimīcī	inimīcōrum	inimīcum	inimīcōs	hostile	m	inamic	inamici			l		enemy		m	(natural gender)		546529	Yes	Yes	No		415	6.683	389	6.265
injuria	f	1	injūria	injūriai	injūriai	injūriārum	injūriam	injūriās	injury, in an unjust manner	f	injurie	injurii			l		offense	*ězva	f	wound		181227	Yes	No	No		70	1.127	0	0
intestina	n	2	-	intestīna	-	intestinōrum	-	intestīna	gut	n	intestin	intestine			f, l		guts	*ǫtroba	f			615342	Yes	Yes	No		27	0.435	0	0
ira	f	1	īra	īrae	īrae	īrārum	īram	īrās	anger		-							*gněvъ, *ěrostь	m, f	(abstract)		48839	Yes	Yes	No		280	4.509	274	4.413
jugum	n	2	jugum	juga	jugī	jugōrum	jugum	juga	yoke, a pair	n	jug	juguri			l			*jьgo, *arьmъ, *arьmo	n, m, n			2897993	Yes	Yes	No		200	3.221	0	0
jumentum	n	2	jūmentum	jūmenta	jūmentī	jūmentōrum	jūmentum	jūmenta	beast (?)													4158040	Yes	Yes	No		134	2.158	134	2.158
jus	n	3	jūs	jūra	jūris	jūrum	jūs	jūra	right, maintain		-							*zakonъ, *pravo	m, n			50163	Yes	Yes	No		80	1.288	0	0
justitia	f	1	jūstitia	jūstitiae	jūstitiae	jūstitiārum	jūstitiam	jūstitiās	righteousness, the whole of the laws	f	justiție	justiți			f, l					(abstract)		4167754	Yes	Yes	No		533	8.584	267	4.3
labium	n	2	labium	labia	labiī	labiōrum	labium	labia	lip		-							*ustьna	f			40227	Yes	Yes	No		272	4.38	38	0.612
labor	m	3	labor	labōrēs	labōris	labōrum	labōrem	labōrēs	labor		-							*orbota, *trudъ, *dělo	f, m, n	(abstract)		33726	Yes	Yes	No		213	3.43	63	1.015
lac	n	3	lac	lacta	lactis	lactum	lac	lacta	milk	m	lapte	-			l			*melko	n			60520	Yes	Yes	No		100	1.61	22	0.354
lacrima	f	1	lacrima	lacrimae	lacrimae	lacrimārum	lacrimam	lacrimās	tear	f	lacrimă 	lacrimi, lacrime			l			*slьza	f	singular (the eng. gloss is plural for some reason, although the lat. is sing.)		53145	Yes	Yes	No		67	1.079	41	0.66
lacuna	f	1	lacūna	lacūnae	lacūnae	lacūnārum	lacūnam	lacūnās	pond	f	lagună	lagune			i		lagoon	*loky, *luža	f, f			60521	Yes	Yes	No		2	0.032	0	0
lacus	m	4	lacus	lacūs	lacūs	lacuum	lacum	lacūs	lake, pond	n	lac	lacuri			l			*ezero, *ezerь	n, m			53143	Yes	Yes	No		41	0.66	41	0.66
laganum	n	2	laganum	lagana	laganī	laganōrum	laganum	lagana	wafer (cake of flour and oil eaten by poor)											no psl. word		2647626	Yes	Yes	No		8	0.129	8	0.129
lampada	f	1	lampada	lampadae	lampadae	lampadārum	lampadam	lampadās	torch	f	lampă	lămpi			g, r, f		lamp	*lučь	m/f			288154	Yes	Yes	No		30	0.483	12	0.193
lana	f	1	lāna	lānae	lānae	lānārum	lānam	lānās	wool	f	lână 	lâni			l			*vьlna	f			258259	Yes	Yes	No		15	0.242	11	0.177
languor	m	3	languor	languōrēs	languōris	languōrum	languōrem	languōrēs	sluggishness	f	langoare	langori			?			*lěnostь	f	(abstract)		236142	Yes	Yes	No		26	0.419	26	0.419
lapis	m	3	lapis	lapidēs	lapidis	lapidum	lapidem	lapidēs	stone		-							*kamy, *skala	m, f			51652	Yes	Yes	No		70	1.127	0	0
lardum	n	2	lardum	larda	lardī	lardōrum	lardum	larda	lard, fat	n	lard				l			*tukъ	m	fat	*	474311	Yes	Yes	No		?	?	?	?
latro	mh	3	latrō	latrōnēs	latrōnis	latrōnum	latrōnem	latrōnēs	robber, mercenary soldier		-							*tatь	m	(natural gender) 'thief'		314223	Yes	Yes	No		50	0.805	29	0.467
lector	mh	3	lēctor	lēctōrēs	lēctōris	lēctōrum	lēctōrem	lēctōrēs	reader	m	lector	lectori			g, f, l		lecturer		m	(natural gender)		92882	Yes	Yes	No		13	0.209	4	0.064
lectus	m	2	lectus	lectī	lectī	lectōrum	lectum	lectōs	bed		-							*lože	n			270512	Yes	Yes	No		211	3.398	0	0
lex	f	3	lēx	lēgēs	lēgis	lēgum	lēgem	lēgēs	law	f	lege	legi			l			*zakonъ, *pravo	m, n			38697	Yes	Yes	No		1,210	19.487	122	1.965
libellus	m	2	libellus	libellī	libellī	libellōrum	libellum	libellōs	pamphlet, manuscript											no psl. word		66508	Yes	Yes	No		8	0.129	8	0.129
liber	m	2	liber	librī	librī	librōrum	librum	librōs	book, the official gazette		-							*čędo, *dětę	n, n			38698	Yes	Yes	Yes		388	6.249	84	6.249
liber	mh	2	līber	līberī	līberī	līberōrum	līberum	līberōs	child													38698	Yes	Yes	Yes		?	?	?	?
ligatura	f	1	ligātūra	ligātūrai	ligātūrai	ligātūrārum	ligātūram	ligātūrās	band	f	legătură	legături			l		connection, bundle, link, band					903887	Yes	Yes	No		8	0.129	0	0
lignum	n	2	lignum	ligna	lignī	lignōrum	lignum	ligna	firewood	n	lemn	lemne			l		individual piece of wood	*drъvo	n			313802	Yes	Yes	No		331	5.331	331	5.331
limes	m	3	līmes	līmitēs	līmitis	līmitum	līmitem	līmitēs	path, passage, road	f	limită	limite			f, l		limit, boundary	*medja, *stьdza	f, f	the lat. word meant 'path (between fields)' as well as 'border, limit'. the sl. for 'border' is *medja, and 'path' is *stьdza		387910	Yes	Yes	No		?	?	?	?
lingua	f	1	lingua	linguae	linguae	linguārum	linguam	linguās	tongue	f	limbă   	limbi			l		language, tongue	*ęzykъ	m			40225	Yes	Yes	No		220	3.543	220	3.543
livor	m	3	līvor	līvōrēs	līvōris	līvōrum	līvōrem	līvōrēs	bruise													934797	Yes	Yes	No		9	0.145	9	0.145
locus	m	2	locus	locī	locī	locōrum	locum	locōs	place, spot	n	loc	locuri			l			*město	n			69529	Yes	Yes	No		1,149	18.504	421	6.78
lucerna	f	1	lucerna	lucernae	lucernae	lucernārum	lucernam	lucernās	lamp													558221	Yes	Yes	No		67	1.079	67	1.079
lucusta	f	1	lucusta	lucustae	lucustae	lucustārum	lucustam	lucustās	locust	f	lăcustă	lăcuste			l		grasshopper	*prǫgъ, *kobylica	m, f			1398853	Yes	Yes	No		?	?	?	?
lumbus	m	2	lumbus	lumbī	lumbī	lumbōrum	lumbum	lumbōs	loin		-							*čerslo, *lędvьje, *lędvьja	n, n, f			2588409	Yes	Yes	No		44	0.709	44	0.709
lumen	n	3	lūmen	lūmina	lūminis	lūminum	lūmen	lūmina	light	f	lumină	lumini			l			*světъ, *světьlo, *lučь	m, n, m/f			36292	Yes	Yes	No		100	1.61	96	1.546
luna	f	1	lūna	lūnae	lūnae	lūnārum	lūnam	lūnās	moon	f	lună   	luni			l			*měsęcь, *luna	m, f			40099	Yes	Yes	No		139	2.239	0	0
lupus	m	2	lupus	lupī	lupī	lupōrum	lupum	lupōs	wolf	m	lup	lupi			l			*vьlkъ	m		*	4914	Yes	Yes	No		28	0.451	3	0.048
lutum	n	2	lutum	luta	lutī	lutōrum	lutum	luta	mud, clay	n	lut	luturi			l			*glina; *brьna; *brьnьje; *glьjь; *jьlъ; *jьlo	f, f, n, m, m, n	mud, clay	*	1398939	Yes	Yes	Yes		163	2.625	0	0
lux	f	3	lūx	lūcēs	lūcis	lūcum	lūcem	lūcēs	light		-							*světъ, *světьlo, *lučь	m, m, m/f			36298	Yes	Yes	No		398	6.41	120	1.933
magister	mh	2	magister	magistrī	magistrī	magistrōrum	magistrum	magistrōs	master, chief, head									*gospodinъ, *gospodъ	m, m	(natural gender)		66440	Yes	Yes	No		93	1.498	81	1.304
magister	fh	2	magistra	magistrai	magistrai	magistrārum	magistram	magistrās	master, chief, head									*gospodinъ, *gospodъ	f, f	(natural gender)		66440	Yes	Yes	No		93	1.498	81	1.304
magus	mh	2	magus	magī	magī	magōrum	magum	magōs	magician	m	mag	magi			s		mages	*čarodějь	m	(natural gender)		47336	Yes	Yes	No		13	0.209	0	0
malitia	f	1	malitia	malitiae	malitiae	malitiārum	malitiam	malitiās	malice	f	maliție	maliții			f, l			*zъloba	f	(abstract)		1452943	Yes	Yes	No		114	1.836	114	1.836
malum	n	2	malum	mala	malī	malōrum	malum	mala	evil		-							*zъlo	f	(abstract)		213966	Yes	Yes	Yes		4,705	75.773	0	0
manus	f	4	manus	manūs	manūs	manuum	manum	manūs	hand	f	mână	mâini			l			*rǫka	f			46751	Yes	Yes	Yes		2,411	38.828	1,343	21.629
mare	n	3	mare	maria	maris	marium	mare	maria	sea	f	mare	mări			l			*morje	n			8864	Yes	Yes	Yes		2,545	40.986	0	0
margarita	f	1	margarīta	margarītae	margarītae	margarītārum	margarītam	margarītās	pearl	n	mărgăritar	mărgăritare			grk		jewels			no psl. word		76317	Yes	Yes	No		15	0.242	3	0.048
marmor	n	3	marmor	marmora	marmoris	marmorum	marmor	marmora	marble	f	marmură	marmure			l			*mormorъ	m	fairly late borrowing		472342	Yes	Yes	No		6	0.097	6	0.097
mater	fh	3	māter	mātrēs	mātris	mātrum	mātrem	mātrēs	mother	f	mamă	mame			l			*mati	f	(natural gender)		38230	Yes	Yes	No		779	12.546	0	0
materia	f	1	māteria	māteriae	māteriae	māteriārum	māteriam	māteriās	matter	f	materia	materii			l, i, r, g		subject in school, matter					41467	Yes	Yes	No		7	0.113	1	0.016
maxilla	f	1	maxilla	maxillae	maxillae	maxillārum	maxillam	maxillās	jaw	f	măsea	măsele		masea	l		molar	*černovitъ; jaw?	m	*černovitъ = molar	*	106485	Yes	Yes	No		23	0.37	23	0.37
medium	n	2	medium	media	mediī	mediōrum	medium	media	middle	n, n, n, n	mediu, mijloc	medii, medie; mijloace, miljocuri			l; l		means, middle, way	*serda	f			38450	Yes	Yes	Yes		3,016	48.572	0	0
medulla	f	1	medulla	medullae	medullae	medullārum	medullam	medullās	marrow	f	măduvă			medua	l			*mozgъ	m	marrow, brain	*	238165	Yes	Yes	No		9	0.145	5	0.081
mel	n	3	mel	mella	mellis	mellium/mellum*	mel	mella	honey	f	miere	mieri			l			*medъ	m			49605	Yes	Yes	No		147	2.367	27	0.435
membrum	n	2	membrum	membra	membrī	membrōrum	membrum	membra	member	n, m	membru	membre, membri			l, f		limb, member of society					203439	Yes	Yes	No		84	1.353	16	0.258
memoria	f	1	memoria	memoriae	memoriae	memoriārum	memoriam	memoriās	memory	f	memorie	memorii			l, i, f			*pamętь	f			43697	Yes	Yes	No		124	1.997	46	0.741
mensa	f	1	mēnsa	mēnsae	mēnsae	mēnsārum	mēnsam	mēnsās	table	f	masă	mese			l			*stolъ	m	same as for "throne"		593149	Yes	Yes	No		1,149	18.504	0	0
mensura	f	1	mēnsūra	mēnsūrae	mēnsūrae	mēnsūrārum	mēnsūram	mēnsūrās	measure	f	măsură	măsuri			l			*měra	f			493538	Yes	Yes	No		130	2.094	4	0.064
merces	fh	3	mercēs	mercēdēs	mercēdis	mercēdum	mercēdem	mercēdēs	reward		-							*mьzda	f			2475782	Yes	Yes	Yes		115	1.852	115	1.852
meridies	m	5	merīdiēs	merīdiēs	merīdiēī	merīdiērum	merīdiem	merīdiēs	noon	f	amiază	amiezi			l	*		*polъdьnь, *polъdьnьje	m, n			39317	Yes	Yes	No		126	2.029	24	0.387
mica	f	1	mīca	mīcae	mīcae	mīcārum	mīcam	mīcās	grain		-											60617	Yes	Yes	No		3	0.048	3	0.048
milia	n	2	-	mīlia	-	mīliōrum	-	mīlia	thousand	f	mie	mii			l			*tysęti	f			1124583	Yes	No	No		1,124	18.102	182	2.931
miraculum	n	2	mīrāculum	mīrācula	mīrāculī	mīrāculōrum	mīrāculum	mīrācula	miracle	n	miracol	miracole			l, i, f			*čudo, *divo, *divъ	n, n, m			1547993	Yes	Yes	No		13	0.209	9	0.145
modus	m	2	modus	modī	modī	modōrum	modum	modōs	measure, way, manner	n	mod	moduri			l, i		mode, way, manner					254633	Yes	Yes	No		231	3.72	45	0.725
mola	f	1	mola	molae	molae	molārum	molam	molās	mill	f	moară  	mori			l			*mъlinъ, *žьrnovъ, *žьrny	m, m, f	 the word for 'millstone' is *žьrnovъ (m) or *žьrny (f). the word for 'mill' is *mъlinъ, itself a borrowing from late latin / romance. in latin, mola (sg.) is 'millstone' and the plural of this word, molae, denotes a 'mill'		470454	Yes	Yes	No		24	0.387	4	0.064
mons	m	3	mōns	montēs	montis	montium	montem	montēs*/montīs	mountain	m	munte	munți			l			*gora	f			593150	Yes	Yes	No		669	10.774	669	10.774
monumentum	n	2	monumentum	monumenta	monumentī	monumentōrum	monumentum	monumenta	memorial, monument	n	monument	monumente			f, l							2360740	Yes	Yes	No		64	1.031	64	1.031
mora	f	1	mora	morae	morae	morārum	moram	morās	delay											(abstract)		220979	Yes	Yes	No		63	1.015	0	0
mors	f	3	mors	mortēs	mortis	mortium	mortem	mortēs*/mortīs	death	f	moarte	morți			l			*sъmьrtь	f			59520	Yes	Yes	No		522	8.407	334	5.379
morum	n	2	mōrum	mōra	mōri	morōrum	mōrum	mōra	mulberry	f	mură	mure			l			*mury	f		*	2372458	Yes	Yes	Yes		312	5.025	0	0
mucus	m	2	mūcus	mūcī	mūcī	mūcōrum	mūcum	mūcōs	mucus, snot	n	muc	mucuri			l				?		*	43600	Yes	Yes	No		?	?	?	?
mulier	fh	3	mulier	mulierēs	mulieris	mulierum	mulierem	mulierēs	woman	f	muiere	muieri			l		offensive word nowadays	*žena	f	(natural gender)		66316	Yes	Yes	No		781	12.578	343	5.524
multitudo	f	3	multitūdō	multitūdinēs	multitūdinis	multitūdinum	multitūdinem	multitūdinēs	population	f	multitudine	multitudini			f							1604134	Yes	Yes	No		426	6.861	426	6.861
