Latin	MaxFreq	MinFreq	MinFreq10k
materia	7	1	0.016
maxilla	23	23	0.37
medium	3,016	0	0
medulla	9	5	0.081
mel	147	27	0.435
membrum	84	16	0.258
memoria	124	46	0.741
mensa	1,149	0	0
mensura	130	4	0.064
merces	115	115	1.852
meridies	126	24	0.387
mica	3	3	0.048
milia	1,124	182	2.931
miraculum	13	9	0.145
modus	231	45	0.725
mola	24	4	0.064
mons	669	669	10.774
monumentum	64	64	1.031
mora	63	0	0
mors	522	334	5.379
morum	312	0	0
mucus	?	?	?
mulier	781	343	5.524
multitudo	426	426	6.861
mundus	?	?	?
munus	199	45	0.725
murra	39	0	0
murus	474	84	1.353
musca	15	7	0.113
nasus	9	0	0
navis	242	8	0.129
negotio	55	9	0.145
nepos	37	7	0.113
neptis	1	1	0.016
nives	37	19	0.306
nomen	1,893	423	6.812
nox	371	371	5.975
nubilum	3	0	0
numerus	291	159	2.561
nurus	17	17	0.274
nux	?	?	?
obitus	29	9	0.145
obolus	5	5	0.081
occidens	204	0	0
oculus	731	683	11
odor	152	16	0.258
officia	47	21	0.338
oleum	285	121	1.949
olivetum	32	10	0.161
opera	913	13	0.209
opinio	3	3	0.048
oppidum	59	39	0.628
ora	299	8	0.129
orator	1	1	0.016
orbis	176	0	0
ordo	137	37	0.596
oriens	212	0	0
os	491	23	0.37
ostium	320	18	0.29
ovis	382	84	1.353
pala	104	0	0
palea	20	18	0.29
pallium	49	49	0.789
palma	127	0	0
panis	492	290	4.67
par	82	3	0.048
parabola	91	63	1.015
parens	201	0	0
parens2	?	?	?
paries	130	74	1.192
pars	889	361	5.814
pascuum	64	0	0
passer	26	16	0.258
passus	42	1	0.016
pastor	136	94	1.514
pater	4,151	0	0
patria	99	0	0
pauper	320	146	2.351
pauper2	?	?	?
pax	825	0	0
peccatum	1,558	0	0
pecten	?	?	?
pectora	17	17	0.274
pectus	17	17	0.274
pecunia	131	131	2.11
pecus	345	0	0
pediculus	?	?	?
pellicula	2	0	0
pellis	94	19	0.306
pelvis	2	2	0.032
pepon	?	?	?
percussor	9	9	0.145
peregrinus	50	50	0.805
persicum	?	?	?
persona	85	0	0
pes	1,190	29	0.467
pestis	23	23	0.37
petra	292	19	0.306
pilus	87	0	0
pilus2	?	?	?
pinea	2	0	0
pinnaculum	6	6	0.097
pinus	2	2	0.032
piscator	8	8	0.129
piscis	72	72	1.16
plaga	964	0	0
platea	179	0	0
plaustra	?	?	?
plebs	110	68	1.095
plenitudo	41	41	0.66
pluvia	144	0	0
poena	48	2	0.032
pomum	35	9	0.145
pondus	96	78	1.256
pons	21	0	0
pontus	19	0	0
populus	5,693	0	0
porcus	15	10	0.161
porta	608	226	3.64
porticus	24	24	0.387
possessio	194	194	3.124
potestas	196	196	3.157
praeceptor	23	3	0.048
praeda	109	61	0.982
pretium	102	52	0.837
primitia	?	?	?
princeps	1,767	0	0
processus	115	113	1.82
propheta	552	460	7.408
providens	?	?	?
prunum	12	0	0
psalmus	92	92	1.482
puella	80	64	1.031
puer	377	295	4.751
pugna	67	39	0.628
pugnus	8	0	0
pulex	4	0	0
pullus	132	0	0
pulvis	148	50	0.805
pusillus	32	32	0.515
puteus	53	45	0.725
radix	124	38	0.612
ramex	?	?	?
ramus	45	45	0.725
ratio	43	43	0.693
regio	333	270	4.348
religio	13	13	0.209
res	632	0	0
rete	78	9	0.145
rex	8,448	0	0
ripa	19	19	0.306
ritus	38	38	0.612
rivus	30	26	0.419
ros	?	?	?
