Word	Declension	Gender	TotFreq	Declined	0	1	2	3	4	5	6	7	8	9	10
aer:Acc.Sg	3	m	78	āera	a	em	em	em	em	em	em	em	em	em	em
aer:Dat.Pl	3	m	78	āeribus	ibus	iu	iu	iu	iu	iu	iu	iu	iu	iu	iu
aes:Nom.Sg	3	n	141	aes						e	e	e	e	e	e
aes:Abl.Pl	3	n	141	aeribus	ibus	ibus	iu	iu	iu	iu	iu	iu	iu	iu	iu
aes:Dat.Sg	3	n	141	aerī	ī	e	e	e	e	e	e	e	e	e	e
aes:Acc.Pl	3	n	141	aera	a	a	a	a	a	a	a	e	e	e	e
aes:Gen.Sg	3	n	141	aeris	is	i	e	e	e	e	e	e	e	e	e
aes:Gen.Pl	3	n	141	aerum	um	i	iu	iu	iu	iu	iu	iu	iu	iu	iu
aes:Abl.Sg	3	n	141	aere	e	e	e	e	e	e	e	e	e	e	e
aes:Nom.Pl	3	n	141	aera	a	a	a	a	a	a	a	e	e	e	e
aes:Acc.Sg	3	n	141	aes						e	e	e	e	e	e
aes:Dat.Pl	3	n	141	aeribus	ibus	i	iu	i	iu	iu	iu	iu	iu	iu	iu
aestas:Nom.Sg	3	f	89	aestās						e	e	e	e	e	e
aestas:Abl.Pl	3	f	89	aestātibus	ibus	ibus	iu	iu	iu	iu	iu	iu	iu	iu	iu
aestas:Dat.Sg	3	f	89	aestātī	ī	e	e	e	e	e	e	e	e	e	e
aestas:Acc.Pl	3	f	89	aestātēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
aestas:Gen.Sg	3	f	89	aestātis	is	is	i	e	e	e	e	e	e	e	e
aestas:Gen.Pl	3	f	89	aestātum	um	iu	iu	iu	iu	iu	iu	iu	iu	iu	iu
aestas:Abl.Sg	3	f	89	aestāte	e	e	e	e	e	e	e	e	e	e	e
aestas:Nom.Pl	3	f	89	aestātēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
aestas:Acc.Sg	3	f	89	aestātem	em	em	em	em	em	em	em	em	em	em	em
aestas:Dat.Pl	3	f	89	aestātibus	ibus	iu	iu	iu	iu	iu	iu	iu	iu	iu	iu
aestus:Nom.Sg	4	m	105	aestus	us	us	us	u	um	um	um	um	um	um	um
aestus:Abl.Pl	4	m	105	aestibus	ibus	ibus	iu	iu	iu	iu	iu	iu	iu	iu	iu
aestus:Dat.Sg	4	m	105	aestuī	uī	ū	u	o	o	o	e	e	e	e	e
aestus:Acc.Pl	4	m	105	aestūs	ūs	oes	oes	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
aestus:Gen.Sg	4	m	105	aestūs	ūs	ūs	ūs	o	o	o	e	e	e	e	e
aestus:Gen.Pl	4	m	105	aestuum	uum	isu	iu	iu	iu	iu	iu	iu	iu	iu	iu
aestus:Abl.Sg	4	m	105	aestū	ū	ou	o	o	o	o	e	e	e	e	e
aestus:Nom.Pl	4	m	105	aestūs	ūs	ues	oes	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
aestus:Acc.Sg	4	m	105	aestum	um	um	um	um	um	um	um	um	um	um	um
aestus:Dat.Pl	4	m	105	aestibus	ibus	isu	iu	iu	iu	iu	iu	iu	iu	iu	iu
aetas:Nom.Sg	3	f	418	aetās						e	e	e	e	e	e
aetas:Abl.Pl	3	f	418	aetātibus	ibus	ibus	iu	iu	iu	iu	iu	iu	iu	iu	iu
aetas:Dat.Sg	3	f	418	aetātī	ī	e	e	e	e	e	e	e	e	e	e
aetas:Acc.Pl	3	f	418	aetātēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
aetas:Gen.Sg	3	f	418	aetātis	is	is	i	e	e	e	e	e	e	e	e
aetas:Gen.Pl	3	f	418	aetātum	um	iu	iu	iu	iu	iu	iu	iu	iu	iu	iu
aetas:Abl.Sg	3	f	418	aetāte	e	e	e	e	e	e	e	e	e	e	e
aetas:Nom.Pl	3	f	418	aetātēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
aetas:Acc.Sg	3	f	418	aetātem	em	em	em	em	em	em	em	em	em	em	em
aetas:Dat.Pl	3	f	418	aetātibus	ibus	iu	iu	iu	iu	iu	iu	iu	iu	iu	iu
aevum:Nom.Sg	2	n	91	aevum	um	um	um	um	um	um	um	um	um	um	um
aevum:Abl.Pl	2	n	91	aevīs	īs	ī	ieu	ieu	ieu	ieu	ieu	ieu	ieu	ieu	ieu
aevum:Dat.Sg	2	n	91	aevō	ō	ē	oe	ō	ō	ō	ō	ō	ō	ō	ō
aevum:Acc.Pl	2	n	91	aeva	a	a	a	a	a	a	a	e	e	e	e
aevum:Gen.Sg	2	n	91	aevī	ī	ue	ō	ō	ō	ō	ō	ō	ō	ō	ō
aevum:Gen.Pl	2	n	91	aevōrum	ōrum	ōrum	ieu	ieu	ieu	ieu	ieu	ieu	ieu	ieu	ieu
aevum:Abl.Sg	2	n	91	aevō	ō	ō	ō	ō	ō	ō	ō	ō	ō	ō	ō
aevum:Nom.Pl	2	n	91	aeva	a	a	a	a	a	a	a	e	e	e	e
aevum:Acc.Sg	2	n	91	aevum	um	um	um	um	um	um	um	um	um	um	um
aevum:Dat.Pl	2	n	91	aevīs	īs	īs	ie	ē	ieu	ieu	ieu	ieu	ieu	ieu	ieu
affectus:Nom.Sg	4	m	185	affectus	us	us	us	um	um	um	um	um	um	um	um
affectus:Abl.Pl	4	m	185	affectibus	ibus	ibus	ibu	iu	iu	iu	iu	iu	iu	iu	iu
affectus:Dat.Sg	4	m	185	affectuī	uī	ū	u	o	o	o	e	e	e	e	e
affectus:Acc.Pl	4	m	185	affectūs	ūs	oes	oes	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
affectus:Gen.Sg	4	m	185	affectūs	ūs	ūs	ūs	o	o	o	e	e	e	e	e
affectus:Gen.Pl	4	m	185	affectuum	uum	iu	iu	iu	iu	iu	iu	iu	iu	iu	iu
affectus:Abl.Sg	4	m	185	affectū	ū	ou	o	o	o	o	e	e	e	e	e
affectus:Nom.Pl	4	m	185	affectūs	ūs	ues	oes	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
affectus:Acc.Sg	4	m	185	affectum	um	um	um	um	um	um	um	um	um	um	um
affectus:Dat.Pl	4	m	185	affectibus	ibus	iu	iu	iu	iu	iu	iu	iu	iu	iu	iu
ager:Nom.Sg	2	m	337	ager		u	u	u	u	u	um	um	um	um	um
ager:Abl.Pl	2	m	337	agrīs	īs	īs	ieu	ieu	ieu	ieu	ieu	ieu	ieu	ieu	ieu
ager:Dat.Sg	2	m	337	agrō	ō	ē	oe	ō	ō	ō	ō	ō	ō	ō	ō
