Declined Noun	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
acus:nomsg	f,IV,nom,sg	m,III,nom,sg	f,III,nom,sg	f,III,gen,sg	f,III,acc,pl	f,III,acc,sg	f,III,acc,sg	f,III,acc,pl	f,III,acc,pl	f,III,acc,pl	f,I,acc,pl	f,III,acc,pl	f,I,acc,pl	f,I,acc,pl	f,I,acc,pl	f,I,acc,pl
acus:gensg	f,IV,gen,sg	m,III,nom,pl	f,III,nom,sg	f,III,gen,pl	f,III,acc,sg	f,III,acc,sg	f,III,acc,sg	f,III,acc,pl	f,III,acc,pl	f,III,acc,pl	f,I,acc,pl	f,I,acc,pl	f,I,acc,pl	f,I,acc,pl	f,I,acc,pl	f,I,acc,pl
acus:accsg	f,IV,acc,sg	n,II,acc,sg	f,II,acc,sg	f,II,acc,sg	f,II,acc,sg	f,II,acc,sg	f,III,acc,sg	f,II,acc,sg	f,III,acc,sg	f,III,acc,sg	f,I,acc,pl	f,III,acc,pl	f,I,acc,sg	f,I,acc,pl	f,I,acc,pl	f,I,acc,pl
acus:nompl	f,IV,nom,pl	m,III,nom,pl	f,III,nom,sg	f,III,gen,pl	f,III,acc,sg	f,III,acc,sg	f,III,acc,sg	f,III,acc,pl	f,III,acc,pl	f,III,acc,pl	f,I,acc,pl	f,I,acc,pl	f,I,acc,pl	f,I,acc,pl	f,I,acc,pl	f,I,acc,pl
acus:genpl	f,IV,gen,pl	f,III,gen,pl	f,III,gen,pl	f,III,gen,pl	f,III,gen,pl	f,III,gen,pl	f,III,gen,pl	f,III,gen,pl	f,III,gen,pl	f,III,gen,pl	f,III,gen,pl	f,III,gen,pl	f,III,gen,pl	f,III,gen,pl	f,III,gen,pl	f,I,gen,pl
acus:accpl	f,IV,acc,pl	m,III,nom,pl	f,III,nom,sg	f,III,gen,pl	f,III,acc,sg	f,III,acc,sg	f,III,acc,sg	f,III,acc,pl	f,III,acc,pl	f,III,acc,pl	f,I,acc,pl	f,I,acc,pl	f,I,acc,pl	f,I,acc,pl	f,I,acc,pl	f,I,acc,pl
ador:nomsg	n,III,nom,sg	f,III,acc,sg	f,III,acc,sg	f,II,acc,sg	f,II,acc,pl	f,I,acc,pl	f,III,acc,pl	f,I,acc,pl	f,III,acc,pl	f,III,acc,pl	f,III,acc,pl	f,III,acc,pl	f,I,acc,pl	f,I,acc,pl	f,I,acc,pl	f,I,acc,pl
ador:gensg	n,III,gen,sg	f,III,gen,sg	f,III,gen,pl	f,III,gen,pl	f,III,gen,pl	f,III,gen,pl	f,III,gen,pl	f,III,gen,pl	f,III,gen,pl	f,III,gen,pl	f,III,gen,pl	f,III,gen,pl	f,III,gen,pl	f,III,gen,pl	f,III,gen,pl	f,III,gen,pl
ador:accsg	n,III,acc,sg	f,III,acc,sg	f,III,acc,sg	f,II,acc,sg	f,II,acc,pl	f,I,acc,pl	f,III,acc,pl	f,I,acc,pl	f,III,acc,pl	f,III,acc,pl	f,III,acc,pl	f,III,acc,pl	f,I,acc,pl	f,I,acc,pl	f,I,acc,pl	f,I,acc,pl
ador:nompl	n,III,nom,pl	f,III,acc,pl	f,III,gen,sg	f,III,gen,pl	f,III,gen,pl	f,I,gen,pl	f,III,gen,pl	f,III,gen,pl	f,III,gen,pl	f,III,gen,pl	f,III,gen,pl	f,III,gen,pl	f,III,acc,pl	f,I,gen,pl	f,III,gen,pl	f,III,gen,pl
