Word	Declension	Gender	CaseNum	Case	Num	TotFreq	LatSuf	Declined	0	1	2	3	4	5	6	7	8	9	10
49	aedes:Acc.Sg	3	f	Acc.Sg	Acc	Sg	68	em	aedem	ea	ea	ea	ea	ea	ea	ea	ea	ea	ea	ea
50	aedes:Dat.Pl	3	f	Dat.Pl	Dat	Pl	68	ibus	aedibus	eui	i	i	i	i	i	i	i	i	i	i
51	aer:Nom.Sg	3	m	Nom.Sg	Nom	Sg	78		āēr											
52	aer:Abl.Pl	3	m	Abl.Pl	Abl	Pl	78	ibus	āeribus	eui	i	i	i	i	i	i	i	i	i	i
53	aer:Dat.Sg	3	m	Dat.Sg	Dat	Sg	78	ī	āerī	i	i	i	i	i	i	i	i	i	i	i
54	aer:Acc.Pl	3	m	Acc.Pl	Acc	Pl	78	ēs	āerēs	i	i	i	i	i	i	i	i	i	i	i
55	aer:Gen.Sg	3	m	Gen.Sg	Gen	Sg	78	is	āeris	i	i	i	i	i	i	i	i	i	i	i
56	aer:Gen.Pl	3	m	Gen.Pl	Gen	Pl	78	um	āerum	u	i	i	i	i	i	i	i	i	i	i
57	aer:Abl.Sg	3	m	Abl.Sg	Abl	Sg	78	e	āere	ea	ea	ea	ea	ea	ea	ea	ea	ea	ea	ea
58	aer:Nom.Pl	3	m	Nom.Pl	Nom	Pl	78	ēs	āerēs	i	i	i	i	i	i	i	i	i	i	i
59	aer:Acc.Sg	3	m	Acc.Sg	Acc	Sg	78	a	āera	a	ea	ea	ea	ea	ea	ea	ea	ea	ea	ea
60	aer:Dat.Pl	3	m	Dat.Pl	Dat	Pl	78	ibus	āeribus	eui	i	i	i	i	i	i	i	i	i	i
61	aes:Nom.Sg	3	n	Nom.Sg	Nom	Sg	141		aes											
62	aes:Abl.Pl	3	n	Abl.Pl	Abl	Pl	141	ibus	aeribus	eui	i	i	i	i	i	i	i	i	i	i
63	aes:Dat.Sg	3	n	Dat.Sg	Dat	Sg	141	ī	aerī	i	i	i	i	i	i	i	i	i	i	i
64	aes:Acc.Pl	3	n	Acc.Pl	Acc	Pl	141	a	aera	a		i	i	i	i	i	i	i	i	i
65	aes:Gen.Sg	3	n	Gen.Sg	Gen	Sg	141	is	aeris	i	i	i	i	i	i	i	i	i	i	i
66	aes:Gen.Pl	3	n	Gen.Pl	Gen	Pl	141	um	aerum	u	i	i	i	i	i	i	i	i	i	i
67	aes:Abl.Sg	3	n	Abl.Sg	Abl	Sg	141	e	aere	ea	ea	ea	ea	ea	ea	ea	ea	ea	ea	ea
68	aes:Nom.Pl	3	n	Nom.Pl	Nom	Pl	141	a	aera	a	i	i	i	i	i	i	i	i	i	i
69	aes:Acc.Sg	3	n	Acc.Sg	Acc	Sg	141		aes		a	ea	ea	ea	ea	ea	ea	ea	ea	ea
70	aes:Dat.Pl	3	n	Dat.Pl	Dat	Pl	141	ibus	aeribus	eui	i	i	i	i	i	i	i	i	i	i
71	aestas:Nom.Sg	3	f	Nom.Sg	Nom	Sg	89		aestās											
72	aestas:Abl.Pl	3	f	Abl.Pl	Abl	Pl	89	ibus	aestātibus	eui	i	i	i	i	i	i	i	i	i	i
73	aestas:Dat.Sg	3	f	Dat.Sg	Dat	Sg	89	ī	aestātī	i	i	i	i	i	i	i	i	i	i	i
74	aestas:Acc.Pl	3	f	Acc.Pl	Acc	Pl	89	ēs	aestātēs	i	i	i	i	i	i	i	i	i	i	i
75	aestas:Gen.Sg	3	f	Gen.Sg	Gen	Sg	89	is	aestātis	i	i	i	i	i	i	i	i	i	i	i
