Word	Declension	Gender	TotFreq	Declined	0	1
affectus:Dat.Sg	4	m	185	affectuī	uī	ū
affectus:Acc.Pl	4	m	185	affectūs	ūs	ō
affectus:Gen.Sg	4	m	185	affectūs	ūs	ū
affectus:Gen.Pl	4	m	185	affectuum	uum	ū
affectus:Abl.Sg	4	m	185	affectū	ū	ū
affectus:Nom.Pl	4	m	185	affectūs	ūs	ū
affectus:Acc.Sg	4	m	185	affectum	um	um
affectus:Dat.Pl	4	m	185	affectibus	ibus	ū
ager:Nom.Sg	2	m	337	ager		um
ager:Abl.Pl	2	m	337	agrīs	īs	ū
ager:Dat.Sg	2	m	337	agrō	ō	ō
ager:Acc.Pl	2	m	337	agrōs	ōs	ē
ager:Gen.Sg	2	m	337	agrī	ī	ū
ager:Gen.Pl	2	m	337	agrōrum	ōrum	ū
ager:Abl.Sg	2	m	337	agrō	ō	ō
ager:Nom.Pl	2	m	337	agrī	ī	ō
ager:Acc.Sg	2	m	337	agrum	um	um
ager:Dat.Pl	2	m	337	agrīs	īs	ī
agger:Nom.Sg	3	m	76	agger		
agger:Abl.Pl	3	m	76	aggeribus	ibus	ibus
agger:Dat.Sg	3	m	76	aggerī	ī	e
agger:Acc.Pl	3	m	76	aggerēs	ēs	a
agger:Gen.Sg	3	m	76	aggeris	is	e
agger:Gen.Pl	3	m	76	aggerum	um	ibus
agger:Abl.Sg	3	m	76	aggere	e	e
agger:Nom.Pl	3	m	76	aggerēs	ēs	e
agger:Acc.Sg	3	m	76	aggerem	em	em
agger:Dat.Pl	3	m	76	aggeribus	ibus	ibus
agmen:Nom.Sg	3	n	360	agmen		e
agmen:Abl.Pl	3	n	360	agminibus	ibus	ibus
agmen:Dat.Sg	3	n	360	agminī	ī	e
agmen:Acc.Pl	3	n	360	agmina	a	e
agmen:Gen.Sg	3	n	360	agminis	is	e
agmen:Gen.Pl	3	n	360	agminum	um	ibus
agmen:Abl.Sg	3	n	360	agmine	e	e
agmen:Nom.Pl	3	n	360	agmina	a	e
agmen:Acc.Sg	3	n	360	agmen		e
agmen:Dat.Pl	3	n	360	agminibus	ibus	ibus
ala:Nom.Sg	1	f	73	āla	a	a
ala:Abl.Pl	1	f	73	ālīs	īs	ae
ala:Dat.Sg	1	f	73	ālae	ae	ae
ala:Acc.Pl	1	f	73	ālās	ās	ā
ala:Gen.Sg	1	f	73	ālae	ae	ae
ala:Gen.Pl	1	f	73	ālārum	ārum	ae
ala:Abl.Sg	1	f	73	ālā	ā	a
ala:Nom.Pl	1	f	73	ālae	ae	ā
ala:Acc.Sg	1	f	73	ālam	am	am
ala:Dat.Pl	1	f	73	ālīs	īs	ae
altum:Nom.Sg	2	n	96	altum	um	um
altum:Abl.Pl	2	n	96	altīs	īs	ū
altum:Dat.Sg	2	n	96	altō	ō	ō
altum:Acc.Pl	2	n	96	alta	a	ē
altum:Gen.Sg	2	n	96	altī	ī	ū
altum:Gen.Pl	2	n	96	altōrum	ōrum	ū
altum:Abl.Sg	2	n	96	altō	ō	ō
altum:Nom.Pl	2	n	96	alta	a	ō
altum:Acc.Sg	2	n	96	altum	um	um
altum:Dat.Pl	2	n	96	altīs	īs	ē
amica:Nom.Sg	1	f	564	amīca	a	a
amica:Abl.Pl	1	f	564	amīcīs	īs	ae
amica:Dat.Sg	1	f	564	amīcae	ae	ae
amica:Acc.Pl	1	f	564	amīcās	ās	ā
amica:Gen.Sg	1	f	564	amīcae	ae	ae
amica:Gen.Pl	1	f	564	amīcārum	ārum	ae
amica:Abl.Sg	1	f	564	amīcā	ā	ā
amica:Nom.Pl	1	f	564	amīcae	ae	ā
amica:Acc.Sg	1	f	564	amīcam	am	am
amica:Dat.Pl	1	f	564	amīcīs	īs	ae
amicus:Nom.Sg	2	m	564	amīcus	us	um
amicus:Abl.Pl	2	m	564	amīcīs	īs	ū
amicus:Dat.Sg	2	m	564	amīcō	ō	ō
amicus:Acc.Pl	2	m	564	amīcōs	ōs	ē
amicus:Gen.Sg	2	m	564	amīcī	ī	ū
amicus:Gen.Pl	2	m	564	amīcōrum	ōrum	ū
amicus:Abl.Sg	2	m	564	amīcō	ō	ō
amicus:Nom.Pl	2	m	564	amīcī	ī	ō
amicus:Acc.Sg	2	m	564	amīcum	um	um
amicus:Dat.Pl	2	m	564	amīcīs	īs	ē
amnis:Nom.Sg	3	m	244	amnis	is	
amnis:Abl.Pl	3	m	244	amnibus	ibus	ibus
amnis:Dat.Sg	3	m	244	amnī	ī	e
amnis:Acc.Pl	3	m	244	amnēs	ēs	a
amnis:Gen.Sg	3	m	244	amnis	is	e
amnis:Gen.Pl	3	m	244	amnium	ium	ibus
amnis:Abl.Sg	3	m	244	amne	e	e
amnis:Nom.Pl	3	m	244	amnēs	ēs	e
amnis:Acc.Sg	3	m	244	amnem	em	e
amnis:Dat.Pl	3	m	244	amnibus	ibus	ibus
amor:Nom.Sg	3	m	539	amor		
amor:Abl.Pl	3	m	539	amōribus	ibus	ibus
amor:Dat.Sg	3	m	539	amōrī	ī	e
amor:Acc.Pl	3	m	539	amōrēs	ēs	a
amor:Gen.Sg	3	m	539	amōris	is	e
amor:Gen.Pl	3	m	539	amōrum	um	ibus
amor:Abl.Sg	3	m	539	amōre	e	e
amor:Nom.Pl	3	m	539	amōrēs	ēs	e
amor:Acc.Sg	3	m	539	amōrem	em	em
amor:Dat.Pl	3	m	539	amōribus	ibus	ibus
anima:Nom.Sg	1	f	182	anima	a	a
anima:Abl.Pl	1	f	182	animīs	īs	ae
anima:Dat.Sg	1	f	182	animae	ae	ae
anima:Acc.Pl	1	f	182	animās	ās	ā
anima:Gen.Sg	1	f	182	animae	ae	ae
anima:Gen.Pl	1	f	182	animārum	ārum	ae
anima:Abl.Sg	1	f	182	animā	ā	a
anima:Nom.Pl	1	f	182	animae	ae	ā
anima:Acc.Sg	1	f	182	animam	am	am
anima:Dat.Pl	1	f	182	animīs	īs	ae
animal:Nom.Sg	3	n	307	animal		e
animal:Abl.Pl	3	n	307	animālibus	ibus	ibus
animal:Dat.Sg	3	n	307	animālī	ī	e
animal:Acc.Pl	3	n	307	animālia	ia	e
animal:Gen.Sg	3	n	307	animālis	is	e
