Word	Declension	Gender	CaseNum	Case	Num	TotFreq	Declined	0	1	2	3	4	5	6	7	8	9	10
1	acies:Nom.Sg	5	f	Nom.Sg	Nom	Sg	328	aciēs	ēs	ē	ē	ē	e						e
2	acies:Abl.Pl	5	f	Abl.Pl	Abl	Pl	328	aciēbus	ēbus	ies	ies	ie	i	i	i	i	i	i	i
3	acies:Dat.Sg	5	f	Dat.Sg	Dat	Sg	328	aciēī	ēī	īs	ies	e	i	i	i	i	i	i	i
4	acies:Acc.Pl	5	f	Acc.Pl	Acc	Pl	328	aciēs	ēs	ēs	ēs	ēs	ēs	ēs	ē	ē	ē	ē	e
5	acies:Gen.Sg	5	f	Gen.Sg	Gen	Sg	328	aciēī	ēī	īs	īs	i	i	i	i	i	i	i	i
6	acies:Gen.Pl	5	f	Gen.Pl	Gen	Pl	328	aciērum	ērum	oerum	u	s	i						
7	acies:Abl.Sg	5	f	Abl.Sg	Abl	Sg	328	aciē	ē	ē	ē	e	e	e	e	e	e	e	i
8	acies:Nom.Pl	5	f	Nom.Pl	Nom	Pl	328	aciēs	ēs	ēs	ēs	ēs	e		a	a	a	a	a
9	acies:Acc.Sg	5	f	Acc.Sg	Acc	Sg	328	aciem	em	ē	ē	ē	e	e	e	e	e	e	e
10	acies:Dat.Pl	5	f	Dat.Pl	Dat	Pl	328	aciēbus	ēbus	ēs	ē	i	i	i			i		e
11	aditus:Nom.Sg	4	m	Nom.Sg	Nom	Sg	107	aditus	us	us	u	u	u	u	u	u	u	u	u
12	aditus:Abl.Pl	4	m	Abl.Pl	Abl	Pl	107	aditibus	ibus	ibus	is		i	i	i	i	i	i	i
13	aditus:Dat.Sg	4	m	Dat.Sg	Dat	Sg	107	adituī	uī	u	us	i	i	i	i	i	i	i	i
14	aditus:Acc.Pl	4	m	Acc.Pl	Acc	Pl	107	aditūs	ūs	us	s			i	i	i	i	i	i
15	aditus:Gen.Sg	4	m	Gen.Sg	Gen	Sg	107	aditūs	ūs	us	is	i	i	i	i	i	i	i	i
16	aditus:Gen.Pl	4	m	Gen.Pl	Gen	Pl	107	adituum	uum	umu	uu	us	i	i	i	i	i	i	i
17	aditus:Abl.Sg	4	m	Abl.Sg	Abl	Sg	107	aditū	ū	u	u	ō	ō	ō	ō	ō	ō	ō	ō
18	aditus:Nom.Pl	4	m	Nom.Pl	Nom	Pl	107	aditūs	ūs	us	us	s		i	i	i	i	i	i
19	aditus:Acc.Sg	4	m	Acc.Sg	Acc	Sg	107	aditum	um	um	um	u	u	u	u	u	u	u	um
20	aditus:Dat.Pl	4	m	Dat.Pl	Dat	Pl	107	aditibus	ibus	ubs	us			i	i	i	i	i	i
21	adulter:Nom.Sg	2	mh	Nom.Sg	Nom	Sg	55	adulter		u	u	um	um	um	um	um	um	um	um
22	adulter:Abl.Pl	2	mh	Abl.Pl	Abl	Pl	55	adulterīs	īs	īs	i	i	i	i	i	i	i	i	i
23	adulter:Dat.Sg	2	mh	Dat.Sg	Dat	Sg	55	adulterō	ō	i	i	i	i	i	i	i	i	i	i
24	adulter:Acc.Pl	2	mh	Acc.Pl	Acc	Pl	55	adulterōs	ōs	s	s								e
25	adulter:Gen.Sg	2	mh	Gen.Sg	Gen	Sg	55	adulterī	ī	ī	i	i	i	i	i	i	i	i	i
26	adulter:Gen.Pl	2	mh	Gen.Pl	Gen	Pl	55	adulterōrum	ōrum	ōrum	u			i	i	i	i	i	i
27	adulter:Abl.Sg	2	mh	Abl.Sg	Abl	Sg	55	adulterō	ō	ō	ō	ō	ō	ō	ō	ō	ō	ō	ō
28	adulter:Nom.Pl	2	mh	Nom.Pl	Nom	Pl	55	adulterī	ī									a	a
29	adulter:Acc.Sg	2	mh	Acc.Sg	Acc	Sg	55	adulterum	um	um	um	um	um	um	um	um	um	um	um
30	adulter:Dat.Pl	2	mh	Dat.Pl	Dat	Pl	55	adulterīs	īs	is				i	i	i	i	i	i
31	adventus:Nom.Sg	4	m	Nom.Sg	Nom	Sg	112	adventus	us	us	u	u	u	u	u	u	u	u	u
