Word	Declension	Gender	CaseNum	Case	Num	TotFreq	Declined	0	1	2	3	4	5	6	7	8	9	10
1	acies:Nom.Sg	5	f	Nom.Sg	Nom	Sg	328	aciēs	ēs	ē	e	e	e						
2	acies:Abl.Pl	5	f	Abl.Pl	Abl	Pl	328	aciēbus	ēbus	ieus	ieu	isu	is	is	is	is	is	is	is
3	acies:Dat.Sg	5	f	Dat.Sg	Dat	Sg	328	aciēī	ēī	ē	ē	e	e	es	i	is	is	is	is
4	acies:Acc.Pl	5	f	Acc.Pl	Acc	Pl	328	aciēs	ēs	ēs	ēs	es	es	es	is	is	is	is	is
5	acies:Gen.Sg	5	f	Gen.Sg	Gen	Sg	328	aciēī	ēī	ēs	ēsm	ēs	is	is	is	is	is	is	is
6	acies:Gen.Pl	5	f	Gen.Pl	Gen	Pl	328	aciērum	ērum	ēmrum	ēmrum	emrum	mu	mu	mu	mu	mu	mu	mu
7	acies:Abl.Sg	5	f	Abl.Sg	Abl	Sg	328	aciē	ē	e	e	e	e	e	e	e	e	e	e
8	acies:Nom.Pl	5	f	Nom.Pl	Nom	Pl	328	aciēs	ēs	ēs	ēsm	es	s	s	s	s	is	is	is
9	acies:Acc.Sg	5	f	Acc.Sg	Acc	Sg	328	aciem	em	ēm	em	em	em	em	em	em	em	em	em
10	acies:Dat.Pl	5	f	Dat.Pl	Dat	Pl	328	aciēbus	ēbus	ieu	ēu	u	u	u	u	mu	mu	mu	mu
11	aditus:Nom.Sg	4	m	Nom.Sg	Nom	Sg	107	aditus	us	u	u	u	um	um	um	um	um	um	um
12	aditus:Abl.Pl	4	m	Abl.Pl	Abl	Pl	107	aditibus	ibus	ibus	ibus	is	s	s	s	s	is	is	i
13	aditus:Dat.Sg	4	m	Dat.Sg	Dat	Sg	107	adituī	uī	u	u	u	um	um	um	um	um	um	um
14	aditus:Acc.Pl	4	m	Acc.Pl	Acc	Pl	107	aditūs	ūs	uos	ō	ō	ō	ō	ō	o	um	um	um
15	aditus:Gen.Sg	4	m	Gen.Sg	Gen	Sg	107	aditūs	ūs	us	i	i	i	u	u	um	um	um	um
16	aditus:Gen.Pl	4	m	Gen.Pl	Gen	Pl	107	adituum	uum	umu	imu	iu	imu	mu	mu	mu	mu	mu	mu
17	aditus:Abl.Sg	4	m	Abl.Sg	Abl	Sg	107	aditū	ū	u	ō	ō	ō	ō	ō	ō	ō	ō	ō
18	aditus:Nom.Pl	4	m	Nom.Pl	Nom	Pl	107	aditūs	ūs			s	s	s	s		i	i	i
19	aditus:Acc.Sg	4	m	Acc.Sg	Acc	Sg	107	aditum	um	um	um	um	um	um	um	um	um	um	um
20	aditus:Dat.Pl	4	m	Dat.Pl	Dat	Pl	107	aditibus	ibus	ibus	ibus	iu	iu	u	mu	mu	mu	mu	mu
21	adulter:Nom.Sg	2	mh	Nom.Sg	Nom	Sg	55	adulter		u	um	um	um	um	um	um	um	um	um
22	adulter:Abl.Pl	2	mh	Abl.Pl	Abl	Pl	55	adulterīs	īs	ies	is	is	is	is	is	is	is	is	is
23	adulter:Dat.Sg	2	mh	Dat.Sg	Dat	Sg	55	adulterō	ō	u	um	u	um	u	u	um	um	um	um
24	adulter:Acc.Pl	2	mh	Acc.Pl	Acc	Pl	55	adulterōs	ōs	ōs	s	s	s	s	s	s	i	i	i
25	adulter:Gen.Sg	2	mh	Gen.Sg	Gen	Sg	55	adulterī	ī	ī	ī	ī	ī	i	i	i	i	i	i
26	adulter:Gen.Pl	2	mh	Gen.Pl	Gen	Pl	55	adulterōrum	ōrum	emrum	emrum	mu	mu	mu	mu	mu	mu	mu	mu
27	adulter:Abl.Sg	2	mh	Abl.Sg	Abl	Sg	55	adulterō	ō	ō	ō	ō	ō	ō	ō	ō	ō	ō	ō
28	adulter:Nom.Pl	2	mh	Nom.Pl	Nom	Pl	55	adulterī	ī	e	as	s	s	s	is	is	is	is	is
29	adulter:Acc.Sg	2	mh	Acc.Sg	Acc	Sg	55	adulterum	um	um	um	um	um	um	um	um	um	um	um
30	adulter:Dat.Pl	2	mh	Dat.Pl	Dat	Pl	55	adulterīs	īs	ē		u	u	u	u	mu	mu	mu	mu
31	adventus:Nom.Sg	4	m	Nom.Sg	Nom	Sg	112	adventus	us	u	u	u	um	um	um	um	um	um	um
32	adventus:Abl.Pl	4	m	Abl.Pl	Abl	Pl	112	adventibus	ibus	ibus	ibus	is	s	s	s	s	is	i	i
33	adventus:Dat.Sg	4	m	Dat.Sg	Dat	Sg	112	adventuī	uī	u	u	u	um	um	um	um	um	um	um
34	adventus:Acc.Pl	4	m	Acc.Pl	Acc	Pl	112	adventūs	ūs	us	ō	ō	ō	ō	ō	o	um	um	um
35	adventus:Gen.Sg	4	m	Gen.Sg	Gen	Sg	112	adventūs	ūs	us	i	i	u	u	u	um	um	um	um
36	adventus:Gen.Pl	4	m	Gen.Pl	Gen	Pl	112	adventuum	uum	umu	imu	iu	imu	mu	mu	mu	mu	mu	mu
37	adventus:Abl.Sg	4	m	Abl.Sg	Abl	Sg	112	adventū	ū	u	ō	ō	ō	ō	ō	ō	ō	ō	ō
38	adventus:Nom.Pl	4	m	Nom.Pl	Nom	Pl	112	adventūs	ūs	s		s	s	s	s		i	i	i
39	adventus:Acc.Sg	4	m	Acc.Sg	Acc	Sg	112	adventum	um	um	um	um	um	um	um	um	um	um	um
40	adventus:Dat.Pl	4	m	Dat.Pl	Dat	Pl	112	adventibus	ibus	ibus	ibus	iu	iu	u	mu	mu	mu	mu	mu
41	aedes:Nom.Sg	3	f	Nom.Sg	Nom	Sg	68	aedēs	ēs										
42	aedes:Abl.Pl	3	f	Abl.Pl	Abl	Pl	68	aedibus	ibus	ibus	ibus	is	is	is	is	is	is	is	is
43	aedes:Dat.Sg	3	f	Dat.Sg	Dat	Sg	68	aedī	ī	ī	i	i	i	e	i	i	is	is	is
44	aedes:Acc.Pl	3	f	Acc.Pl	Acc	Pl	68	aedēs	ēs	ēs	ēs	es	es	es	is	is	is	is	is
45	aedes:Gen.Sg	3	f	Gen.Sg	Gen	Sg	68	aedis	is	is	is	is	is	is	is	is	is	is	is
46	aedes:Gen.Pl	3	f	Gen.Pl	Gen	Pl	68	aedium	ium	m	mu	mu	mu	mu	mu	mu	mu	mu	mu
47	aedes:Abl.Sg	3	f	Abl.Sg	Abl	Sg	68	aede	e	e	e	e	e	e	e	e	e	e	e
48	aedes:Nom.Pl	3	f	Nom.Pl	Nom	Pl	68	aedēs	ēs	ēs	ēs	s	s	s	s	is	is	is	is
49	aedes:Acc.Sg	3	f	Acc.Sg	Acc	Sg	68	aedem	em	em	em	em	em	em	em	em	em	em	em
50	aedes:Dat.Pl	3	f	Dat.Pl	Dat	Pl	68	aedibus	ibus	ibus	u	u	u	u	u	mu	mu	mu	mu
