Word	Declension	Gender	CaseNum	Case	Num	TotFreq	Declined	0	1	2	3	4	5	6	7	8	9	10
1	acies:Nom.Sg	5	f	Nom.Sg	Nom	Sg	328	aciēs	ēs	ē	ē	ei	e	e	es	es	i	i	is
2	acies:Abl.Pl	5	f	Abl.Pl	Abl	Pl	328	aciēbus	ēbus	iesbus	īs	ī	ī	ī	ī	ī	i	i	e
3	acies:Dat.Sg	5	f	Dat.Sg	Dat	Sg	328	aciēī	ēī	ē	ē	ei	ī	ī	i		i	i	i
4	acies:Acc.Pl	5	f	Acc.Pl	Acc	Pl	328	aciēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ē	ē
5	acies:Gen.Sg	5	f	Gen.Sg	Gen	Sg	328	aciēī	ēī	ēs	ē	ī	ī	i	is	i	i	i	i
6	acies:Gen.Pl	5	f	Gen.Pl	Gen	Pl	328	aciērum	ērum	ēu	e							i	i
7	acies:Abl.Sg	5	f	Abl.Sg	Abl	Sg	328	aciē	ē	e	e	e	e	em	em	e	e	e	e
8	acies:Nom.Pl	5	f	Nom.Pl	Nom	Pl	328	aciēs	ēs	ēs	ēs	ēs	ēs	ēs	es	s		i	is
9	acies:Acc.Sg	5	f	Acc.Sg	Acc	Sg	328	aciem	em	ēm	em	em	em	em	em	em	em	em	em
10	acies:Dat.Pl	5	f	Dat.Pl	Dat	Pl	328	aciēbus	ēbus	ēs	ī						i	i	i
11	aditus:Nom.Sg	4	m	Nom.Sg	Nom	Sg	107	aditus	us	us	us	us	us	us	u	u	u	u	u
12	aditus:Abl.Pl	4	m	Abl.Pl	Abl	Pl	107	aditibus	ibus	ibus	īs	īs	ī	ī	ī	ī	i		
13	aditus:Dat.Sg	4	m	Dat.Sg	Dat	Sg	107	adituī	uī	u	us	u		ī	ī	ī	ī	ī	ī
14	aditus:Acc.Pl	4	m	Acc.Pl	Acc	Pl	107	aditūs	ūs	us	us	us							
15	aditus:Gen.Sg	4	m	Gen.Sg	Gen	Sg	107	aditūs	ūs	is	is	is	is	is	ī	ī	ī	ī	ī
16	aditus:Gen.Pl	4	m	Gen.Pl	Gen	Pl	107	adituum	uum	ūu	u		i				i	i	i
17	aditus:Abl.Sg	4	m	Abl.Sg	Abl	Sg	107	aditū	ū	ū	ōs	ōs	ō	ō	ō	ō	ō	ō	ō
18	aditus:Nom.Pl	4	m	Nom.Pl	Nom	Pl	107	aditūs	ūs	us	s	s							
19	aditus:Acc.Sg	4	m	Acc.Sg	Acc	Sg	107	aditum	um	u	um	um	um	um	um	um	um	um	um
20	aditus:Dat.Pl	4	m	Dat.Pl	Dat	Pl	107	aditibus	ibus	ūbus	iu	ī	i				i	i	i
21	adulter:Nom.Sg	2	mh	Nom.Sg	Nom	Sg	55	adulter		u	u	u	u	u	u	u	u	u	u
22	adulter:Abl.Pl	2	mh	Abl.Pl	Abl	Pl	55	adulterīs	īs	īs	īs	ī	ī	ī	ī	ī	i		
23	adulter:Dat.Sg	2	mh	Dat.Sg	Dat	Sg	55	adulterō	ō	u	u		ī	ī	ī	ī	ī	ī	ī
24	adulter:Acc.Pl	2	mh	Acc.Pl	Acc	Pl	55	adulterōs	ōs	ōs	s								
25	adulter:Gen.Sg	2	mh	Gen.Sg	Gen	Sg	55	adulterī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī
26	adulter:Gen.Pl	2	mh	Gen.Pl	Gen	Pl	55	adulterōrum	ōrum	rm	u							i	i
27	adulter:Abl.Sg	2	mh	Abl.Sg	Abl	Sg	55	adulterō	ō	ō	ō	ō	ō	ō	ō	ō	ō	ō	ō
28	adulter:Nom.Pl	2	mh	Nom.Pl	Nom	Pl	55	adulterī	ī	s	s								
29	adulter:Acc.Sg	2	mh	Acc.Sg	Acc	Sg	55	adulterum	um	um	um	um	um	um	um	um	um	u	u
30	adulter:Dat.Pl	2	mh	Dat.Pl	Dat	Pl	55	adulterīs	īs	īs	ī	ī					i	i	i
31	adventus:Nom.Sg	4	m	Nom.Sg	Nom	Sg	112	adventus	us	us	us	us	us	u	u	u	u	u	u
32	adventus:Abl.Pl	4	m	Abl.Pl	Abl	Pl	112	adventibus	ibus	ibus	is	īs	ī	ī	ī	ī	i		
33	adventus:Dat.Sg	4	m	Dat.Sg	Dat	Sg	112	adventuī	uī	u	us	u		ī	ī	ī	ī	ī	ī
34	adventus:Acc.Pl	4	m	Acc.Pl	Acc	Pl	112	adventūs	ūs	us	us	us							
35	adventus:Gen.Sg	4	m	Gen.Sg	Gen	Sg	112	adventūs	ūs	is	is	is	is	is	ī	ī	ī	ī	ī
36	adventus:Gen.Pl	4	m	Gen.Pl	Gen	Pl	112	adventuum	uum	ūu	u		i				i	i	i
37	adventus:Abl.Sg	4	m	Abl.Sg	Abl	Sg	112	adventū	ū	ū	ōs	ōs	ō	ō	ō	ō	ō	ō	ō
38	adventus:Nom.Pl	4	m	Nom.Pl	Nom	Pl	112	adventūs	ūs	us	s	s							
39	adventus:Acc.Sg	4	m	Acc.Sg	Acc	Sg	112	adventum	um	u	um	um	um	um	um	um	um	um	um
40	adventus:Dat.Pl	4	m	Dat.Pl	Dat	Pl	112	adventibus	ibus	ūbus	iu	ī	i				i	i	i
41	aedes:Nom.Sg	3	f	Nom.Sg	Nom	Sg	68	aedēs	ēs	is	is	is	is	is	is	is	is	is	is
42	aedes:Abl.Pl	3	f	Abl.Pl	Abl	Pl	68	aedibus	ibus	ibus	ī	ī	ī	ī	ī	īs	i	e	es
43	aedes:Dat.Sg	3	f	Dat.Sg	Dat	Sg	68	aedī	ī	ī	ī	ī	ī	i	i	i	i	i	i
44	aedes:Acc.Pl	3	f	Acc.Pl	Acc	Pl	68	aedēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
45	aedes:Gen.Sg	3	f	Gen.Sg	Gen	Sg	68	aedis	is	is	is	is	is	is	is	is	is	is	is
46	aedes:Gen.Pl	3	f	Gen.Pl	Gen	Pl	68	aedium	ium	u	u								i
47	aedes:Abl.Sg	3	f	Abl.Sg	Abl	Sg	68	aede	e	e	e	e	e	e	e	e	e	e	e
48	aedes:Nom.Pl	3	f	Nom.Pl	Nom	Pl	68	aedēs	ēs	ēs	ēs	ēs	ēs	ēs	es	s	s	s	is
49	aedes:Acc.Sg	3	f	Acc.Sg	Acc	Sg	68	aedem	em	em	em	em	em	em	em	em	em	em	em
50	aedes:Dat.Pl	3	f	Dat.Pl	Dat	Pl	68	aedibus	ibus	ibus	i						i	i	i
51	aer:Nom.Sg	3	m	Nom.Sg	Nom	Sg	78	āēr		is	is	is	is	is	is	is	is	is	is
52	aer:Abl.Pl	3	m	Abl.Pl	Abl	Pl	78	āeribus	ibus	ibus	ī	ī	ī	ī	ī	īs	i	e	es
53	aer:Dat.Sg	3	m	Dat.Sg	Dat	Sg	78	āerī	ī	i	ī	ī	ī	ī	i	i	i	i	i
54	aer:Acc.Pl	3	m	Acc.Pl	Acc	Pl	78	āerēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
55	aer:Gen.Sg	3	m	Gen.Sg	Gen	Sg	78	āeris	is	is	is	is	is	is	is	is	is	is	is
56	aer:Gen.Pl	3	m	Gen.Pl	Gen	Pl	78	āerum	um	u	u							i	i
57	aer:Abl.Sg	3	m	Abl.Sg	Abl	Sg	78	āere	e	e	e	e	e	e	e	e	e	e	e
58	aer:Nom.Pl	3	m	Nom.Pl	Nom	Pl	78	āerēs	ēs	ēs	ēs	ēs	ēs	ēs	es	s	s	is	is
59	aer:Acc.Sg	3	m	Acc.Sg	Acc	Sg	78	āera	a	em	em	em	em	em	em	em	em	em	em
60	aer:Dat.Pl	3	m	Dat.Pl	Dat	Pl	78	āeribus	ibus	ibus	i						i	i	i
61	aes:Nom.Sg	3	n	Nom.Sg	Nom	Sg	141	aes											
