Word	Declension	Gender	Case	TotFreq	Declined	0	1	2	3	4	5	6	7	8	9	10
acies:Nom.Sg	5	f	Nom.Sg	328	aciēs	ēs	es	er	rrs	rrs	r	r	r	r	r	r
acies:Abl.Pl	5	f	Abl.Pl	328	aciēbus	ēbus	irbu	ibu	ers	rrs	rrs	rrs	rrs	rrs	rrs	rrs
acies:Dat.Sg	5	f	Dat.Sg	328	aciēī	ēī	ē	er	ers	ers	rrs	rrs	rrs	rrs	rrs	rrs
acies:Acc.Pl	5	f	Acc.Pl	328	aciēs	ēs	ēs	ers	ers	rrs	rrs	rrs	rrs	rrs	rrs	rrs
acies:Gen.Sg	5	f	Gen.Sg	328	aciēī	ēī	ies	ers	irs	rrs	rrs	rrs	rrs	rrs	rrs	rrs
acies:Gen.Pl	5	f	Gen.Pl	328	aciērum	ērum	iu	iru	irs	rrs	rrs	rrs	rrs	rrs	rrs	rrs
acies:Abl.Sg	5	f	Abl.Sg	328	aciē	ē	ē	er	er	er	er	er	er	er	er	er
acies:Nom.Pl	5	f	Nom.Pl	328	aciēs	ēs	ēs	rrs	ers	rrs	rrs	rrs	rrs	rrs	rrs	rrs
acies:Acc.Sg	5	f	Acc.Sg	328	aciem	em	e	er	e	em	em	em	em	em	em	em
acies:Dat.Pl	5	f	Dat.Pl	328	aciēbus	ēbus	ibu	iu	irs	rrs	rrs	rrs	rrs	rrs	rrs	rrs
aditus:Nom.Sg	4	m	Nom.Sg	107	aditus	us	u	u	u	u	u	u	u	u	u	u
aditus:Abl.Pl	4	m	Abl.Pl	107	aditibus	ibus	ubu	uu	rrs	rrs	rrs	rrs	rrs	rrs	rrs	rrs
aditus:Dat.Sg	4	m	Dat.Sg	107	adituī	uī	u	u	irs	rrs	rrs	rrs	rrs	rrs	rrs	rrs
aditus:Acc.Pl	4	m	Acc.Pl	107	aditūs	ūs	us	urs	rrs	rrs	rrs	rrs	rrs	rrs	rrs	rrs
aditus:Gen.Sg	4	m	Gen.Sg	107	aditūs	ūs	urs	us	irs	rrs	rrs	rrs	rrs	rrs	rrs	rrs
