Word	Declension	Gender	CaseNum	Case	Num	TotFreq	Declined	0	1	2	3	4	5	6	7	8	9	10
50	aedes:Dat.Pl	3	f	Dat.Pl	Dat	Pl	68	aedibus	ibus	is	e	e	e	e	e	e	e	e	e
51	aer:Nom.Sg	3	m	Nom.Sg	Nom	Sg	78	āēr					e						
52	aer:Abl.Pl	3	m	Abl.Pl	Abl	Pl	78	āeribus	ibus	is	es	es	es	es	es	es	es	es	es
53	aer:Dat.Sg	3	m	Dat.Sg	Dat	Sg	78	āerī	ī	e	e	em	em	em	em	em	em	em	em
54	aer:Acc.Pl	3	m	Acc.Pl	Acc	Pl	78	āerēs	ēs	es	es	e	e	e	e	e	e	e	e
55	aer:Gen.Sg	3	m	Gen.Sg	Gen	Sg	78	āeris	is	i	i	e	e	e	e	e	e	e	e
56	aer:Gen.Pl	3	m	Gen.Pl	Gen	Pl	78	āerum	um	mrum	e	e	e	es	es	es	es	es	es
57	aer:Abl.Sg	3	m	Abl.Sg	Abl	Sg	78	āere	e	e	e	e	e	e	e	e	e	e	e
58	aer:Nom.Pl	3	m	Nom.Pl	Nom	Pl	78	āerēs	ēs	is	es	es	es	es	es	es	es	es	es
59	aer:Acc.Sg	3	m	Acc.Sg	Acc	Sg	78	āera	a	em	em	em	em	m	m	m	m	m	m
60	aer:Dat.Pl	3	m	Dat.Pl	Dat	Pl	78	āeribus	ibus	i	e	e	e	e	e	e	e	e	e
61	aes:Nom.Sg	3	n	Nom.Sg	Nom	Sg	141	aes											
62	aes:Abl.Pl	3	n	Abl.Pl	Abl	Pl	141	aeribus	ibus	is	es	es	es	es	es	es	es	es	es
63	aes:Dat.Sg	3	n	Dat.Sg	Dat	Sg	141	aerī	ī	e	e	em	em	em	em	em	em	em	em
64	aes:Acc.Pl	3	n	Acc.Pl	Acc	Pl	141	aera	a	a		e	e	e	e	e	e	e	e
65	aes:Gen.Sg	3	n	Gen.Sg	Gen	Sg	141	aeris	is	i	i	e	e	e	e	e	e	e	e
66	aes:Gen.Pl	3	n	Gen.Pl	Gen	Pl	141	aerum	um	mrum		e	e	es	es	es	es	es	es
67	aes:Abl.Sg	3	n	Abl.Sg	Abl	Sg	141	aere	e	e	e	e	e	e	e	e	e	e	e
68	aes:Nom.Pl	3	n	Nom.Pl	Nom	Pl	141	aera	a			es	es	es	es	es	es	es	es
69	aes:Acc.Sg	3	n	Acc.Sg	Acc	Sg	141	aes		m	m	m	m	m	m	m	m	m	m
70	aes:Dat.Pl	3	n	Dat.Pl	Dat	Pl	141	aeribus	ibus	i	e	e	e	e	e	e	e	e	e
71	aestas:Nom.Sg	3	f	Nom.Sg	Nom	Sg	89	aestās		e	e	e	e	e	e	e	e	e	e
72	aestas:Abl.Pl	3	f	Abl.Pl	Abl	Pl	89	aestātibus	ibus	is	es	es	es	es	es	es	es	es	es
73	aestas:Dat.Sg	3	f	Dat.Sg	Dat	Sg	89	aestātī	ī	e	e	e	em	em	em	em	em	em	em
74	aestas:Acc.Pl	3	f	Acc.Pl	Acc	Pl	89	aestātēs	ēs	es	es	e	e	e	e	e	e	e	e
75	aestas:Gen.Sg	3	f	Gen.Sg	Gen	Sg	89	aestātis	is	i	i	e	e	e	e	e	e	e	e
76	aestas:Gen.Pl	3	f	Gen.Pl	Gen	Pl	89	aestātum	um	u	e	e	e	es	es	es	es	es	es
77	aestas:Abl.Sg	3	f	Abl.Sg	Abl	Sg	89	aestāte	e	e	e	e	e	e	e	e	e	e	e
78	aestas:Nom.Pl	3	f	Nom.Pl	Nom	Pl	89	aestātēs	ēs	is	es	es	es	es	es	es	es	es	es
79	aestas:Acc.Sg	3	f	Acc.Sg	Acc	Sg	89	aestātem	em	em	em	em	em	em	em	em	em	em	em
80	aestas:Dat.Pl	3	f	Dat.Pl	Dat	Pl	89	aestātibus	ibus	is	e	e	e	e	e	e	e	e	e
81	aestus:Nom.Sg	4	m	Nom.Sg	Nom	Sg	105	aestus	us	u	u	u	u	u	u	u	u	u	u
82	aestus:Abl.Pl	4	m	Abl.Pl	Abl	Pl	105	aestibus	ibus	is	us	us	s	s	s	s	s	s	s
83	aestus:Dat.Sg	4	m	Dat.Sg	Dat	Sg	105	aestuī	uī	u	u	um	um	um	um	um	um	um	um
84	aestus:Acc.Pl	4	m	Acc.Pl	Acc	Pl	105	aestūs	ūs	us	us	u	u	u	u	u	u	u	u
85	aestus:Gen.Sg	4	m	Gen.Sg	Gen	Sg	105	aestūs	ūs	us	u	u	u	u	u	u	u	u	u
86	aestus:Gen.Pl	4	m	Gen.Pl	Gen	Pl	105	aestuum	uum	urum	i	i		s	s	s	s	s	s
87	aestus:Abl.Sg	4	m	Abl.Sg	Abl	Sg	105	aestū	ū	ū	u	u	u	u	u	u	u	u	u
88	aestus:Nom.Pl	4	m	Nom.Pl	Nom	Pl	105	aestūs	ūs	ūs	us	us	u	u	us	us	us	u	us
89	aestus:Acc.Sg	4	m	Acc.Sg	Acc	Sg	105	aestum	um	um	um	um	um	u	um	um	um	um	um
90	aestus:Dat.Pl	4	m	Dat.Pl	Dat	Pl	105	aestibus	ibus	is	i	i							
91	aetas:Nom.Sg	3	f	Nom.Sg	Nom	Sg	418	aetās		e	e	e	e	e	e	e	e	e	e
92	aetas:Abl.Pl	3	f	Abl.Pl	Abl	Pl	418	aetātibus	ibus	is	es	es	es	es	es	es	es	es	es
93	aetas:Dat.Sg	3	f	Dat.Sg	Dat	Sg	418	aetātī	ī	e	e	e	em	em	em	em	em	em	em
94	aetas:Acc.Pl	3	f	Acc.Pl	Acc	Pl	418	aetātēs	ēs	es	es	e	e	e	e	e	e	e	e
95	aetas:Gen.Sg	3	f	Gen.Sg	Gen	Sg	418	aetātis	is	i	i	e	e	e	e	e	e	e	e
96	aetas:Gen.Pl	3	f	Gen.Pl	Gen	Pl	418	aetātum	um	u	e	e	e	es	es	es	es	es	es
97	aetas:Abl.Sg	3	f	Abl.Sg	Abl	Sg	418	aetāte	e	e	e	e	e	e	e	e	e	e	e
98	aetas:Nom.Pl	3	f	Nom.Pl	Nom	Pl	418	aetātēs	ēs	is	es	es	es	es	es	es	es	es	es
99	aetas:Acc.Sg	3	f	Acc.Sg	Acc	Sg	418	aetātem	em	em	em	em	em	em	em	em	em	em	em
100	aetas:Dat.Pl	3	f	Dat.Pl	Dat	Pl	418	aetātibus	ibus	is	e	e	e	e	e	e	e	e	e
101	aevum:Nom.Sg	2	n	Nom.Sg	Nom	Sg	91	aevum	um	u	u	u	u	u	u	u	u	u	u
102	aevum:Abl.Pl	2	n	Abl.Pl	Abl	Pl	91	aevīs	īs	is	s	s	s	es	es	es	es	es	es
103	aevum:Dat.Sg	2	n	Dat.Sg	Dat	Sg	91	aevō	ō			m	m	m	m	m	m		m
104	aevum:Acc.Pl	2	n	Acc.Pl	Acc	Pl	91	aeva	a										
105	aevum:Gen.Sg	2	n	Gen.Sg	Gen	Sg	91	aevī	ī										
106	aevum:Gen.Pl	2	n	Gen.Pl	Gen	Pl	91	aevōrum	ōrum	mrum		e	es	es	es	es	es	es	es
107	aevum:Abl.Sg	2	n	Abl.Sg	Abl	Sg	91	aevō	ō	ō	ō	ō	ō	ō					
108	aevum:Nom.Pl	2	n	Nom.Pl	Nom	Pl	91	aeva	a			s	s	s	s	s	s	s	s
109	aevum:Acc.Sg	2	n	Acc.Sg	Acc	Sg	91	aevum	um	um	um	um	um	um	um	um	um	um	um
110	aevum:Dat.Pl	2	n	Dat.Pl	Dat	Pl	91	aevīs	īs	i	e	e	e	e	e	e	e	es	e
111	affectus:Nom.Sg	4	m	Nom.Sg	Nom	Sg	185	affectus	us	u	u	u	u	u	u	u	u	u	u
112	affectus:Abl.Pl	4	m	Abl.Pl	Abl	Pl	185	affectibus	ibus	is	us	s	s		s	s	s	s	s
113	affectus:Dat.Sg	4	m	Dat.Sg	Dat	Sg	185	affectuī	uī	u	u	um	um	um	um	um	um	um	um
114	affectus:Acc.Pl	4	m	Acc.Pl	Acc	Pl	185	affectūs	ūs	us	us	u	u	u	u	u	u	u	u
115	affectus:Gen.Sg	4	m	Gen.Sg	Gen	Sg	185	affectūs	ūs	us	u	u	u	u	u	u	u	u	u
116	affectus:Gen.Pl	4	m	Gen.Pl	Gen	Pl	185	affectuum	uum	urum	i	i			s	s	s	s	s
117	affectus:Abl.Sg	4	m	Abl.Sg	Abl	Sg	185	affectū	ū	ū	u	u	u	u	u	u	u	u	u
118	affectus:Nom.Pl	4	m	Nom.Pl	Nom	Pl	185	affectūs	ūs	ūs	us	u	u	u	us	us	us	u	us
119	affectus:Acc.Sg	4	m	Acc.Sg	Acc	Sg	185	affectum	um	um	um	um	um	u	um	um	um	um	um
120	affectus:Dat.Pl	4	m	Dat.Pl	Dat	Pl	185	affectibus	ibus	is	i	i							
121	ager:Nom.Sg	2	m	Nom.Sg	Nom	Sg	337	ager		u	u	u	u	u	u	u	u	u	u
122	ager:Abl.Pl	2	m	Abl.Pl	Abl	Pl	337	agrīs	īs	is	is	s	s	es	es	es	es	es	es
123	ager:Dat.Sg	2	m	Dat.Sg	Dat	Sg	337	agrō	ō				m	m	m	m	m		m
124	ager:Acc.Pl	2	m	Acc.Pl	Acc	Pl	337	agrōs	ōs	s	s								
125	ager:Gen.Sg	2	m	Gen.Sg	Gen	Sg	337	agrī	ī	is	i								
126	ager:Gen.Pl	2	m	Gen.Pl	Gen	Pl	337	agrōrum	ōrum	mrum	i	es	es	es	es	es	es	es	es
127	ager:Abl.Sg	2	m	Abl.Sg	Abl	Sg	337	agrō	ō	ō	ō	ō	ō	ō	u				
128	ager:Nom.Pl	2	m	Nom.Pl	Nom	Pl	337	agrī	ī	s	s	s	s	s	s	s	s	s	s
129	ager:Acc.Sg	2	m	Acc.Sg	Acc	Sg	337	agrum	um	um	um	um	um	um	um	um	um	um	um
130	ager:Dat.Pl	2	m	Dat.Pl	Dat	Pl	337	agrīs	īs	i	e	e	e	e	e	e	e	es	es
131	agger:Nom.Sg	3	m	Nom.Sg	Nom	Sg	76	agger											
132	agger:Abl.Pl	3	m	Abl.Pl	Abl	Pl	76	aggeribus	ibus	is	es	es	es	es	es	es	es	es	es
133	agger:Dat.Sg	3	m	Dat.Sg	Dat	Sg	76	aggerī	ī	e	e	em	em	em	em	em	em	em	em
134	agger:Acc.Pl	3	m	Acc.Pl	Acc	Pl	76	aggerēs	ēs	es	es	e	e	e	e	e	e	e	e
135	agger:Gen.Sg	3	m	Gen.Sg	Gen	Sg	76	aggeris	is	i	i	e	e	e	e	e	e	e	e
136	agger:Gen.Pl	3	m	Gen.Pl	Gen	Pl	76	aggerum	um	mrum	e	e	e	es	es	es	es	es	es
137	agger:Abl.Sg	3	m	Abl.Sg	Abl	Sg	76	aggere	e	e	e	e	e	e	e	e	e	e	e
138	agger:Nom.Pl	3	m	Nom.Pl	Nom	Pl	76	aggerēs	ēs	i	es	es	es	es	es	es	es	es	es
139	agger:Acc.Sg	3	m	Acc.Sg	Acc	Sg	76	aggerem	em	em	em	em	m	m	m	m	m	m	m
140	agger:Dat.Pl	3	m	Dat.Pl	Dat	Pl	76	aggeribus	ibus	i	e	e	e	e	e	e	e	e	e
141	agmen:Nom.Sg	3	n	Nom.Sg	Nom	Sg	360	agmen											
142	agmen:Abl.Pl	3	n	Abl.Pl	Abl	Pl	360	agminibus	ibus	is	es	es	es	es	es	es	es	es	es
143	agmen:Dat.Sg	3	n	Dat.Sg	Dat	Sg	360	agminī	ī	e	e	em	em	em	em	em	em	em	em
144	agmen:Acc.Pl	3	n	Acc.Pl	Acc	Pl	360	agmina	a	a		e	e	e	e	e	e	e	e
145	agmen:Gen.Sg	3	n	Gen.Sg	Gen	Sg	360	agminis	is	i	i	e	e	e	e	e	e	e	e
146	agmen:Gen.Pl	3	n	Gen.Pl	Gen	Pl	360	agminum	um	mrum		e	e	es	es	es	es	es	es
147	agmen:Abl.Sg	3	n	Abl.Sg	Abl	Sg	360	agmine	e	e	e	e	e	e	e	e	e	e	e
148	agmen:Nom.Pl	3	n	Nom.Pl	Nom	Pl	360	agmina	a			s	es	es	es	es	es	es	es
149	agmen:Acc.Sg	3	n	Acc.Sg	Acc	Sg	360	agmen		m	m	m	m	m	m	m	m	m	m
150	agmen:Dat.Pl	3	n	Dat.Pl	Dat	Pl	360	agminibus	ibus	i	e	e	e	e	e	e	e	e	e
151	ala:Nom.Sg	1	f	Nom.Sg	Nom	Sg	73	āla	a	a	a	a	a	a	a	a	a	a	a
152	ala:Abl.Pl	1	f	Abl.Pl	Abl	Pl	73	ālīs	īs	s	as	as	as	as	as	as	as	as	as
153	ala:Dat.Sg	1	f	Dat.Sg	Dat	Sg	73	ālae	ae	a	am	am	am	am	am	am	am	am	am
154	ala:Acc.Pl	1	f	Acc.Pl	Acc	Pl	73	ālās	ās	as	as	a	a	a	a	a	a	a	a
155	ala:Gen.Sg	1	f	Gen.Sg	Gen	Sg	73	ālae	ae	a	a	a	a	a	a	a	a	a	a
156	ala:Gen.Pl	1	f	Gen.Pl	Gen	Pl	73	ālārum	ārum	amrum	a	a	as	as	as	as	as	as	as
157	ala:Abl.Sg	1	f	Abl.Sg	Abl	Sg	73	ālā	ā	a	a	a	a	a	a	a	a	a	a
158	ala:Nom.Pl	1	f	Nom.Pl	Nom	Pl	73	ālae	ae	as	as	as	as	as	as	as	as	as	as
159	ala:Acc.Sg	1	f	Acc.Sg	Acc	Sg	73	ālam	am	am	am	am	am	am	am	am	am	am	am
160	ala:Dat.Pl	1	f	Dat.Pl	Dat	Pl	73	ālīs	īs	a	a	a	a	a	a	a	a	a	a
161	altum:Nom.Sg	2	n	Nom.Sg	Nom	Sg	96	altum	um	u	u	u	u	u	u	u	u	u	u
162	altum:Abl.Pl	2	n	Abl.Pl	Abl	Pl	96	altīs	īs	is	s	s	es	es	es	es	es	es	es
163	altum:Dat.Sg	2	n	Dat.Sg	Dat	Sg	96	altō	ō			m	m	m	m	m	m		m
164	altum:Acc.Pl	2	n	Acc.Pl	Acc	Pl	96	alta	a										
165	altum:Gen.Sg	2	n	Gen.Sg	Gen	Sg	96	altī	ī	i									
166	altum:Gen.Pl	2	n	Gen.Pl	Gen	Pl	96	altōrum	ōrum	mrum		e	es	es	es	es	es	es	es
167	altum:Abl.Sg	2	n	Abl.Sg	Abl	Sg	96	altō	ō	ō	ō	ō	ō	ō					
168	altum:Nom.Pl	2	n	Nom.Pl	Nom	Pl	96	alta	a	s	s	s	s	s	s	s	s	s	s
169	altum:Acc.Sg	2	n	Acc.Sg	Acc	Sg	96	altum	um	um	um	um	um	um	um	um	um	um	um
170	altum:Dat.Pl	2	n	Dat.Pl	Dat	Pl	96	altīs	īs	i	e	e	e	e	e	e	e	es	e
171	amica:Nom.Sg	1	f	Nom.Sg	Nom	Sg	564	amīca	a	a	a	a	a	a	a	a	a	a	a
172	amica:Abl.Pl	1	f	Abl.Pl	Abl	Pl	564	amīcīs	īs	s	as	as	as	as	as	as	as	as	as
173	amica:Dat.Sg	1	f	Dat.Sg	Dat	Sg	564	amīcae	ae	a	am	am	am	am	am	am	am	am	am
174	amica:Acc.Pl	1	f	Acc.Pl	Acc	Pl	564	amīcās	ās	as	as	a	a	a	a	a	a	a	a
175	amica:Gen.Sg	1	f	Gen.Sg	Gen	Sg	564	amīcae	ae	ae	a	a	a	a	a	a	a	a	a
176	amica:Gen.Pl	1	f	Gen.Pl	Gen	Pl	564	amīcārum	ārum	amrum	a	as	as	as	as	as	as	as	as
177	amica:Abl.Sg	1	f	Abl.Sg	Abl	Sg	564	amīcā	ā	a	a	a	a	a	a	a	a	a	a
178	amica:Nom.Pl	1	f	Nom.Pl	Nom	Pl	564	amīcae	ae	as	as	as	as	as	as	as	as	as	as
179	amica:Acc.Sg	1	f	Acc.Sg	Acc	Sg	564	amīcam	am	am	am	am	am	am	am	am	am	am	am
180	amica:Dat.Pl	1	f	Dat.Pl	Dat	Pl	564	amīcīs	īs	s	a	a	a	a	a	a	a	a	a
181	amicus:Nom.Sg	2	m	Nom.Sg	Nom	Sg	564	amīcus	us	u	u	u	u	u	u	u	u	u	u
182	amicus:Abl.Pl	2	m	Abl.Pl	Abl	Pl	564	amīcīs	īs	is	is	s	s	es	es	es	es	es	es
183	amicus:Dat.Sg	2	m	Dat.Sg	Dat	Sg	564	amīcō	ō				m	m	m	m	m		m
184	amicus:Acc.Pl	2	m	Acc.Pl	Acc	Pl	564	amīcōs	ōs	s	s	s							
185	amicus:Gen.Sg	2	m	Gen.Sg	Gen	Sg	564	amīcī	ī	is	is								
186	amicus:Gen.Pl	2	m	Gen.Pl	Gen	Pl	564	amīcōrum	ōrum	mrum	i	es	es	es	es	es	es	es	es
187	amicus:Abl.Sg	2	m	Abl.Sg	Abl	Sg	564	amīcō	ō	ō	ō	ō	ō	ō	u				
188	amicus:Nom.Pl	2	m	Nom.Pl	Nom	Pl	564	amīcī	ī	s	s	s	s	s	s	s	s	s	s
189	amicus:Acc.Sg	2	m	Acc.Sg	Acc	Sg	564	amīcum	um	um	um	um	um	um	um	um	um	um	um
190	amicus:Dat.Pl	2	m	Dat.Pl	Dat	Pl	564	amīcīs	īs	i	e	e	e	e	e	e	e	es	e
191	amnis:Nom.Sg	3	m	Nom.Sg	Nom	Sg	244	amnis	is										
192	amnis:Abl.Pl	3	m	Abl.Pl	Abl	Pl	244	amnibus	ibus	is	es	es	es	es	es	es	es	es	es
