Declined Noun	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
abyssus:nompl	f,2,nom,pl,abissii	m,2,nom,sg,abissus	m,2,nom,sg,abissus	m,2,nom,sg,abissus	m,2,nom,sg,abissus	m,2,nom,sg,abissus	m,2,nom,sg,abissus	m,2,nom,sg,abissus	m,2,nom,sg,abissus	m,2,nom,sg,abissus	m,2,nom,sg,abissus	m,2,nom,sg,abissus	m,2,nom,sg,abissus	m,2,nom,sg,abissus	m,2,nom,sg,abissus	m,2,nom,sg,abissus
abyssus:accsg	f,2,acc,sg,abissum	n,2,acc,sg,abissum	n,2,acc,sg,abissum	n,2,acc,sg,abissum	n,2,acc,sg,abissum	n,2,acc,sg,abissum	n,2,acc,sg,abissum	n,2,acc,sg,abissum	n,2,acc,sg,abissum	n,2,acc,sg,abissum	n,2,acc,sg,abissum	n,2,acc,sg,abissum	n,2,acc,sg,abissum	n,2,acc,sg,abissum	n,2,acc,sg,abissum	n,2,acc,sg,abissum
abyssus:genpl	f,2,gen,pl,abissoorum	n,2,gen,pl,abissoorum	n,2,acc,sg,abissum	n,2,acc,sg,abissum	n,2,acc,sg,abissum	n,2,acc,sg,abissum	n,2,acc,sg,abissum	n,2,acc,sg,abissum	n,2,acc,sg,abissum	n,2,acc,sg,abissum	n,2,acc,sg,abissum	n,2,acc,sg,abissum	n,2,acc,sg,abissum	n,2,acc,sg,abissum	n,2,acc,sg,abissum	n,2,acc,sg,abissum
abyssus:gensg	f,2,gen,sg,abissii	m,2,nom,sg,abissus	m,2,nom,sg,abissus	m,2,nom,sg,abissus	m,2,nom,sg,abissus	m,2,nom,sg,abissus	m,2,nom,sg,abissus	m,2,nom,sg,abissus	m,2,nom,sg,abissus	m,2,nom,sg,abissus	m,2,nom,sg,abissus	m,2,nom,sg,abissus	m,2,nom,sg,abissus	m,2,nom,sg,abissus	m,2,nom,sg,abissus	m,2,nom,sg,abissus
abyssus:nomsg	f,2,nom,sg,abissus	m,2,nom,sg,abissus	m,2,nom,sg,abissus	m,2,nom,sg,abissus	m,2,nom,sg,abissus	m,2,nom,sg,abissus	m,2,nom,sg,abissus	m,2,nom,sg,abissus	m,2,nom,sg,abissus	m,2,nom,sg,abissus	m,2,nom,sg,abissus	m,2,nom,sg,abissus	m,2,nom,sg,abissus	m,2,nom,sg,abissus	m,2,nom,sg,abissus	m,2,nom,sg,abissus
acetum:accpl	n,2,acc,pl,akeeta	f,1,nom,sg,akeetum	n,2,acc,sg,akeetum	n,2,acc,sg,akeetum	n,2,acc,sg,akeetum	n,2,acc,sg,akeetum	n,2,acc,sg,akeetum	n,2,acc,sg,akeetum	n,2,acc,sg,akeetum	n,2,acc,sg,akeetum	n,2,acc,sg,akeetum	n,2,acc,sg,akeetum	n,2,acc,sg,akeetum	n,2,acc,sg,akeetum	n,2,acc,sg,akeetum	n,2,acc,sg,akeetum
acetum:nompl	n,2,nom,pl,akeeta	f,1,nom,sg,akeetum	n,2,acc,sg,akeetum	n,2,acc,sg,akeetum	n,2,acc,sg,akeetum	n,2,acc,sg,akeetum	n,2,acc,sg,akeetum	n,2,acc,sg,akeetum	n,2,acc,sg,akeetum	n,2,acc,sg,akeetum	n,2,acc,sg,akeetum	n,2,acc,sg,akeetum	n,2,acc,sg,akeetum	n,2,acc,sg,akeetum	n,2,acc,sg,akeetum	n,2,acc,sg,akeetum
acetum:accsg	n,2,acc,sg,akeetum	n,2,acc,sg,akeetum	n,2,acc,sg,akeetum	n,2,acc,sg,akeetum	n,2,acc,sg,akeetum	n,2,acc,sg,akeetum	n,2,acc,sg,akeetum	n,2,acc,sg,akeetum	n,2,acc,sg,akeetum	n,2,acc,sg,akeetum	n,2,acc,sg,akeetum	n,2,acc,sg,akeetum	n,2,acc,sg,akeetum	n,2,acc,sg,akeetum	n,2,acc,sg,akeetum	n,2,acc,sg,akeetum
acetum:genpl	n,2,gen,pl,akeetoorum	m,2,gen,sg,akeetii	n,2,nom,sg,akeetum	n,2,acc,sg,akeetum	n,2,acc,sg,akeetum	n,2,acc,sg,akeetum	n,2,acc,sg,akeetum	n,2,acc,sg,akeetum	n,2,acc,sg,akeetum	n,2,acc,sg,akeetum	n,2,acc,sg,akeetum	n,2,acc,sg,akeetum	n,2,acc,sg,akeetum	n,2,acc,sg,akeetum	n,2,acc,sg,akeetum	n,2,acc,sg,akeetum
acetum:gensg	n,2,gen,sg,akeetii	m,2,gen,sg,akeetii	n,2,nom,sg,akeetum	n,2,acc,sg,akeetum	n,2,acc,sg,akeetum	n,2,acc,sg,akeetum	n,2,acc,sg,akeetum	n,2,acc,sg,akeetum	n,2,acc,sg,akeetum	n,2,acc,sg,akeetum	n,2,acc,sg,akeetum	n,2,acc,sg,akeetum	n,2,acc,sg,akeetum	n,2,acc,sg,akeetum	n,2,acc,sg,akeetum	n,2,acc,sg,akeetum
acetum:nomsg	n,2,nom,sg,akeetum	n,2,acc,sg,akeetum	n,2,acc,sg,akeetum	n,2,acc,sg,akeetum	n,2,acc,sg,akeetum	n,2,acc,sg,akeetum	n,2,acc,sg,akeetum	n,2,acc,sg,akeetum	n,2,acc,sg,akeetum	n,2,acc,sg,akeetum	n,2,acc,sg,akeetum	n,2,acc,sg,akeetum	n,2,acc,sg,akeetum	n,2,acc,sg,akeetum	n,2,acc,sg,akeetum	n,2,acc,sg,akeetum
acus:accpl	f,4,acc,pl,akuus	m,2,gen,sg,akuus	m,2,nom,sg,akus	m,2,nom,sg,akus	m,2,nom,sg,akus	m,2,nom,sg,akus	m,2,nom,sg,akus	m,2,nom,sg,akus	m,2,nom,sg,akus	m,2,nom,sg,akus	m,2,nom,sg,akus	m,2,nom,sg,akus	m,2,nom,sg,akus	m,2,nom,sg,akus	m,2,nom,sg,akus	m,2,nom,sg,akus
acus:nompl	f,4,nom,pl,akuus	m,2,gen,sg,akuus	m,2,nom,sg,akus	m,2,nom,sg,akus	m,2,nom,sg,akus	m,2,nom,sg,akus	m,2,nom,sg,akus	m,2,nom,sg,akus	m,2,nom,sg,akus	m,2,nom,sg,akus	m,2,nom,sg,akus	m,2,nom,sg,akus	m,2,nom,sg,akus	m,2,nom,sg,akus	m,2,nom,sg,akus	m,2,nom,sg,akus
acus:accsg	f,4,acc,sg,akum	n,2,acc,sg,akum	n,2,acc,sg,akum	n,2,acc,sg,akum	n,2,acc,sg,akum	n,2,acc,sg,akum	n,2,acc,sg,akum	n,2,acc,sg,akum	n,2,acc,sg,akum	n,2,acc,sg,akum	n,2,acc,sg,akum	n,2,acc,sg,akum	n,2,acc,sg,akum	n,2,acc,sg,akum	n,2,acc,sg,akum	n,2,acc,sg,akum
acus:genpl	f,4,gen,pl,akuum	m,3,acc,sg,akum	n,2,acc,sg,akum	n,2,acc,sg,akum	n,2,acc,sg,akum	n,2,acc,sg,akum	n,2,acc,sg,akum	n,2,acc,sg,akum	n,2,acc,sg,akum	n,2,acc,sg,akum	n,2,acc,sg,akum	n,2,acc,sg,akum	n,2,acc,sg,akum	n,2,acc,sg,akum	n,2,acc,sg,akum	n,2,acc,sg,akum
acus:gensg	f,4,gen,sg,akuus	m,2,gen,sg,akuus	m,2,nom,sg,akus	m,2,nom,sg,akus	m,2,nom,sg,akus	m,2,nom,sg,akus	m,2,nom,sg,akus	m,2,nom,sg,akus	m,2,nom,sg,akus	m,2,nom,sg,akus	m,2,nom,sg,akus	m,2,nom,sg,akus	m,2,nom,sg,akus	m,2,nom,sg,akus	m,2,nom,sg,akus	m,2,nom,sg,akus
acus:nomsg	f,4,nom,sg,akus	m,2,nom,sg,akus	m,2,nom,sg,akus	m,2,nom,sg,akus	m,2,nom,sg,akus	m,2,nom,sg,akus	m,2,nom,sg,akus	m,2,nom,sg,akus	m,2,nom,sg,akus	m,2,nom,sg,akus	m,2,nom,sg,akus	m,2,nom,sg,akus	m,2,nom,sg,akus	m,2,nom,sg,akus	m,2,nom,sg,akus	m,2,nom,sg,akus
ador:accpl	n,3,acc,pl,adora	n,3,nom,sg,ador	n,2,nom,sg,ador	m,2,nom,sg,ador	m,2,nom,sg,ador	m,2,nom,sg,ador	m,2,nom,sg,ador	m,2,nom,sg,ador	m,2,nom,sg,ador	m,2,nom,sg,ador	m,2,nom,sg,ador	m,2,nom,sg,ador	m,2,nom,sg,ador	m,2,nom,sg,ador	m,2,nom,sg,ador	m,2,nom,sg,ador
ador:nompl	n,3,nom,pl,adora	n,3,nom,sg,ador	n,2,nom,sg,ador	m,2,nom,sg,ador	m,2,nom,sg,ador	m,2,nom,sg,ador	m,2,nom,sg,ador	m,2,nom,sg,ador	m,2,nom,sg,ador	m,2,nom,sg,ador	m,2,nom,sg,ador	m,2,nom,sg,ador	m,2,nom,sg,ador	m,2,nom,sg,ador	m,2,nom,sg,ador	m,2,nom,sg,ador
ador:accsg	n,3,acc,sg,ador	m,3,nom,sg,ador	n,2,nom,sg,ador	m,2,nom,sg,ador	m,2,nom,sg,ador	m,2,nom,sg,ador	m,2,nom,sg,ador	m,2,nom,sg,ador	m,2,nom,sg,ador	m,2,nom,sg,ador	m,2,nom,sg,ador	m,2,nom,sg,ador	m,2,nom,sg,ador	m,2,nom,sg,ador	m,2,nom,sg,ador	m,2,nom,sg,ador
ador:genpl	n,3,gen,pl,adorum	m,3,acc,pl,adora	m,3,acc,sg,ador	m,2,nom,sg,ador	m,2,nom,sg,ador	m,2,nom,sg,ador	m,2,nom,sg,ador	m,2,nom,sg,ador	m,2,nom,sg,ador	m,2,nom,sg,ador	m,2,nom,sg,ador	m,2,nom,sg,ador	m,2,nom,sg,ador	m,2,nom,sg,ador	m,2,nom,sg,ador	m,2,nom,sg,ador
ador:gensg	n,3,gen,sg,adoris	m,3,acc,pl,adora	m,3,acc,sg,ador	m,2,nom,sg,ador	m,2,nom,sg,ador	m,2,nom,sg,ador	m,2,nom,sg,ador	m,2,nom,sg,ador	m,2,nom,sg,ador	m,2,nom,sg,ador	m,2,nom,sg,ador	m,2,nom,sg,ador	m,2,nom,sg,ador	m,2,nom,sg,ador	m,2,nom,sg,ador	m,2,nom,sg,ador
ador:nomsg	n,3,nom,sg,ador	m,3,nom,sg,ador	n,2,nom,sg,ador	m,2,nom,sg,ador	m,2,nom,sg,ador	m,2,nom,sg,ador	m,2,nom,sg,ador	m,2,nom,sg,ador	m,2,nom,sg,ador	m,2,nom,sg,ador	m,2,nom,sg,ador	m,2,nom,sg,ador	m,2,nom,sg,ador	m,2,nom,sg,ador	m,2,nom,sg,ador	m,2,nom,sg,ador
adulter:accpl	m,2,acc,pl,adulteroos	m,2,nom,sg,adulter	n,2,nom,sg,adulter	n,2,nom,sg,adulter	n,2,nom,sg,adulter	n,1,nom,sg,adulter	n,2,nom,sg,adulter	f,1,nom,sg,adulter	f,2,nom,sg,adulter	f,2,nom,sg,adulter	f,2,nom,sg,adulter	n,2,acc,sg,adulterum	n,2,acc,sg,adulterum	n,2,acc,sg,adulterum	n,2,acc,sg,adulterum	n,2,acc,sg,adulterum
adulter:nompl	m,2,nom,pl,adulterii	n,2,nom,sg,adulter	n,2,nom,sg,adulter	n,2,nom,sg,adulter	n,2,nom,sg,adulter	n,1,nom,sg,adulter	n,2,nom,sg,adulter	f,1,nom,sg,adulter	f,2,nom,sg,adulter	f,2,nom,sg,adulter	f,2,nom,sg,adulter	n,2,acc,sg,adulterum	n,2,acc,sg,adulterum	n,2,acc,sg,adulterum	n,2,acc,sg,adulterum	n,2,acc,sg,adulterum
adulter:accsg	m,2,acc,sg,adulterum	n,2,acc,sg,adulterum	n,2,acc,sg,adulterum	n,2,acc,sg,adulterum	n,2,acc,sg,adulterum	n,2,acc,sg,adulterum	n,2,acc,sg,adulterum	n,2,acc,sg,adulterum	n,2,acc,sg,adulterum	n,2,acc,sg,adulterum	n,2,acc,sg,adulterum	n,2,acc,sg,adulterum	n,2,acc,sg,adulterum	n,2,acc,sg,adulterum	n,2,acc,sg,adulterum	n,2,acc,sg,adulterum
adulter:genpl	m,2,gen,pl,adulteroorum	m,3,acc,sg,adulterum	n,2,acc,sg,adulterum	n,2,acc,sg,adulterum	n,2,acc,sg,adulterum	n,2,acc,sg,adulterum	n,2,acc,sg,adulterum	n,2,acc,sg,adulterum	n,2,acc,sg,adulterum	n,2,acc,sg,adulterum	n,2,acc,sg,adulterum	n,2,acc,sg,adulterum	n,2,acc,sg,adulterum	n,2,acc,sg,adulterum	n,2,acc,sg,adulterum	n,2,acc,sg,adulterum
adulter:gensg	m,2,gen,sg,adulterii	n,2,nom,sg,adulter	n,2,nom,sg,adulter	n,2,nom,sg,adulter	n,2,nom,sg,adulter	n,1,nom,sg,adulter	n,2,nom,sg,adulter	f,1,nom,sg,adulter	f,2,nom,sg,adulter	f,2,nom,sg,adulter	f,2,nom,sg,adulter	n,2,acc,sg,adulterum	n,2,acc,sg,adulterum	n,2,acc,sg,adulterum	n,2,acc,sg,adulterum	n,2,acc,sg,adulterum
adulter:nomsg	m,2,nom,sg,adulter	n,2,nom,sg,adulter	n,2,nom,sg,adulter	n,2,nom,sg,adulter	n,2,nom,sg,adulter	n,1,nom,sg,adulter	n,2,nom,sg,adulter	f,1,nom,sg,adulter	f,2,nom,sg,adulter	f,2,nom,sg,adulter	f,2,nom,sg,adulter	n,2,acc,sg,adulterum	n,2,acc,sg,adulterum	n,2,acc,sg,adulterum	n,2,acc,sg,adulterum	n,2,acc,sg,adulterum
