Form	Root	Suffix	Case	Gender	Declension
pectinem	pectin	em	accsg	m	3
pectinēs	pectin	ēs	accpl	m	3
pectora	pector	a	nompl	n	3
pectorum	pector	um	genpl	n	3
pectora	pector	a	accpl	n	3
pectus	pectus	NULL	nomsg	n	3
pectora	pector	a	nompl	n	3
pectoris	pector	is	gensg	n	3
pectorum	pector	um	genpl	n	3
pectus	pectus	NULL	accsg	n	3
pectora	pector	a	accpl	n	3
pecūnia	pecūni	a	nomsg	f	1
pecūniae	pecūni	ae	nompl	f	1
pecūniae	pecūni	ae	gensg	f	1
pecūniārum	pecūniār	um	genpl	f	1
pecūniam	pecūni	am	accsg	f	1
pecūniās	pecūni	ās	accpl	f	1
pecus	pec	us	nomsg	f	3
pecudēs	pecud	ēs	nompl	f	3
pecudis	pecud	is	gensg	f	3
pecudum	pecud	um	genpl	f	3
pecudem	pecud	em	accsg	f	3
pecudēs	pecud	ēs	accpl	f	3
pedīculus	pedīcul	us	nomsg	m	2
pedīculī	pedīcul	ī	nompl	m	2
pedīculī	pedīcul	ī	gensg	m	2
pedīculōrum	pedīcul	ōrum	genpl	m	2
pedīculum	pedīcul	um	accsg	m	2
pedīculōs	pedīcul	ōs	accpl	m	2
pellicula	pellicul	a	nomsg	f	1
pelliculae	pellicul	ae	nompl	f	1
pelliculae	pellicul	ae	gensg	f	1
pelliculārum	pellicul	ārum	genpl	f	1
pelliculam	pellicul	am	accsg	f	1
pelliculās	pellicul	ās	accpl	f	1
pellis	pell	is	nomsg	f	3
pellēs	pell	ēs	nompl	f	3
pellis	pell	is	gensg	f	3
pellium	pell	ium	genpl	f	3
pellem	pell	em	accsg	f	3
pellēs	pell	ēs	accpl	f	3
pelvis	pelv	is	nomsg	f	3
pelvēs	pelv	ēs	nompl	f	3
pelvis	pelv	is	gensg	f	3
pelvium	pelv	ium	genpl	f	3
pelvim	pelv	im	accsg	f	3
pelvīs	pelv	īs	accpl	f	3
pepō	pepō	NULL	nomsg	m	3
peponēs	pepon	ēs	nompl	m	3
peponis	pepon	is	gensg	m	3
peponum	pepon	um	genpl	m	3
peponem	pepon	em	accsg	m	3
peponēs	pepon	ēs	accpl	m	3
percussor	percussor	NULL	nomsg	mh	3
percussōrēs	percussōr	ēs	nompl	mh	3
percussōris	percussōr	is	gensg	mh	3
percussōrum	percussōr	um	genpl	mh	3
percussōrem	percussōr	em	accsg	mh	3
percussōrēs	percussōr	ēs	accpl	mh	3
peregrīnus	peregrīn	us	nomsg	mh	2
peregrīnī	peregrīn	ī	nompl	mh	2
peregrīnī	peregrīn	ī	gensg	mh	2
peregrīnōrum	peregrīn	ōrum	genpl	mh	2
peregrīnum	peregrīn	um	accsg	mh	2
peregrīnōs	peregrīn	ōs	accpl	mh	2
persicum	persic	um	nomsg	n	2
persica	persic	a	nompl	n	2
persicī	persic	ī	gensg	n	2
persicōrum	persic	ōrum	genpl	n	2
persicum	persic	um	accsg	n	2
persica	persic	a	accpl	n	2
persōna	persōn	a	nomsg	fh	1
persōnae	persōn	ae	nompl	fh	1
persōnae	persōn	ae	gensg	fh	1
persōnārum	persōn	ārum	genpl	fh	1
persōnam	persōn	am	accsg	fh	1
persōnās	persōn	ās	accpl	fh	1
pēs	pēs	NULL	nomsg	m	3
pedēs	ped	ēs	nompl	m	3
pedis	ped	is	gensg	m	3
pedum	ped	um	genpl	m	3
pedem	ped	em	accsg	m	3
pedēs	ped	ēs	accpl	m	3
pestis	pest	is	nomsg	f	3
pestēs	pest	ēs	nompl	f	3
pestis	pest	is	gensg	f	3
pestium	pest	ium	genpl	f	3
pestem	pest	em	accsg	f	3
pestēs	pest	ēs	accpl	f	3
petra	petr	a	nomsg	f	1
petrae	petr	ae	nompl	f	1
petrae	petr	ae	gensg	f	1
petrārum	petr	ārum	genpl	f	1
petram	petr	am	accsg	f	1
petrās	petr	ās	accpl	f	1
pilus	pil	us	nomsg	m	2
pilī	pil	ī	nompl	m	2
pilī	pil	ī	gensg	m	2
pilōrum	pil	ōrum	genpl	m	2
pilum	pil	um	accsg	m	2
pilōs	pil	ōs	accpl	m	2
pīnea	pīne	a	nomsg	f	1
pīneai	pīne	ai	nompl	f	1
pīneai	pīne	ai	gensg	f	1
pīneārum	pīne	ārum	genpl	f	1
pīneam	pīne	am	accsg	f	1
pīneās	pīne	ās	accpl	f	1
pinnāculum	pinnācul	um	nomsg	n	2
pinnācula	pinnācul	a	nompl	n	2
pinnāculī	pinnācul	ī	gensg	n	2
pinnāculōrum	pinnācul	ōrum	genpl	n	2
pinnāculum	pinnācul	um	accsg	n	2
pinnācula	pinnācul	a	accpl	n	2
pīnus	pīn	us	nomsg	f	4
pīnūs	pīn	ūs	nompl	f	4
pīnūs	pīn	ūs	gensg	f	4
pīnuum	pīn	uum	genpl	f	4
pīnum	pīn	um	accsg	f	4
pīnūs	pīn	ūs	accpl	f	4
piscātor	pisc	ātor	nomsg	mh	3
piscātōrēs	piscātōr	ēs	nompl	mh	3
piscātōris	piscātōr	is	gensg	mh	3
piscātōrum	piscātōr	um	genpl	mh	3
piscātōrem	piscātōr	em	accsg	mh	3
piscātōrēs	piscātōr	ēs	accpl	mh	3
piscis	pisc	is	nomsg	m	3
piscēs	pisc	ēs	nompl	m	3
piscis	pisc	is	gensg	m	3
piscium	pisc	ium	genpl	m	3
piscem	pisc	em	accsg	m	3
piscēs	pisc	ēs	accpl	m	3
plāga	plāg	a	nomsg	f	1
plāgae	plāg	ae	nompl	f	1
plāgae	plāg	ae	gensg	f	1
plāgārum	plāg	ārum	genpl	f	1
plāgam	plāg	am	accsg	f	1
plāgās	plāg	ās	accpl	f	1
platēa	platē	a	nomsg	f	1
platēae	platē	ae	nompl	f	1
platēae	platē	ae	gensg	f	1
platēārum	platē	ārum	genpl	f	1
platēam	platē	am	accsg	f	1
platēās	platē	ās	accpl	f	1
plaustrum	plaustr	um	nomsg	n	2
plaustra	plaustr	a	nompl	n	2
plaustrī	plaustr	ī	gensg	n	2
plaustrōrum	plaustr	ōrum	genpl	n	2
plaustrum	plaustr	um	accsg	n	2
plaustra	plaustr	a	accpl	n	2
plēbs	plēbs	NULL	nomsg	f	3
plēbēs	plēb	ēs	nompl	f	3
plēbis	plēb	is	gensg	f	3
plēbum	plēb	um	genpl	f	3
plēbem	plēb	em	accsg	f	3
plēbēs	plēb	ēs	accpl	f	3
plēnitūdō	plēnitūdō	NULL	nomsg	f	3
plēnitūdinēs	plēnitūdin	ēs	nompl	f	3
plēnitūdinis	plēnitūdin	is	gensg	f	3
plēnitūdinum	plēnitūdin	um	genpl	f	3
plēnitūdinem	plēnitūdin	em	accsg	f	3
plēnitūdinēs	plēnitūdin	ēs	accpl	f	3
pluvia	pluvi	a	nomsg	f	1
pluviae	pluvi	ae	nompl	f	1
pluviae	pluvi	ae	gensg	f	1
pluviārum	pluvi	ārum	genpl	f	1
pluviam	pluvi	am	accsg	f	1
pluviās	pluvi	ās	accpl	f	1
poena	poen	a	nomsg	f	1
poenae	poen	ae	nompl	f	1
poenae	poen	ae	gensg	f	1
poenārum	poen	ārum	genpl	f	1
poenam	poen	am	accsg	f	1
poenās	poen	ās	accpl	f	1
pōmum	pōm	um	nomsg	n	2
pōma	pōm	a	nompl	n	2
pōmī	pōm	ī	gensg	n	2
pōmōrum	pōm	ōrum	genpl	n	2
pōmum	pōm	um	accsg	n	2
pōma	pōm	a	accpl	n	2
pondus	pondus	NULL	nomsg	n	3
pondera	ponder	a	nompl	n	3
ponderis	ponder	is	gensg	n	3
ponderum	ponder	um	genpl	n	3
pondus	pondus	NULL	accsg	n	3
pondera	ponder	a	accpl	n	3
pōns	pōns	NULL	nomsg	m	3
pontēs	pont	ēs	nompl	m	3
pontis	pont	is	gensg	m	3
pontium	pont	ium	genpl	m	3
pontem	pont	em	accsg	m	3
pontēs	pont	ēs	accpl	m	3
pontus	pont	us	nomsg	m	2
pontī	pont	ī	nompl	m	2
pontī	pont	ī	gensg	m	2
pontōrum	pont	ōrum	genpl	m	2
pontum	pont	um	accsg	m	2
pontōs	pont	ōs	accpl	m	2
populus	popul	us	nomsg	m	2
populī	popul	ī	nompl	m	2
populī	popul	ī	gensg	m	2
populōrum	popul	ōrum	genpl	m	2
populum	popul	um	accsg	m	2
populōs	popul	ōs	accpl	m	2
porcus	porc	us	nomsg	m	2
porcī	porc	ī	nompl	m	2
porcī	porc	ī	gensg	m	2
porcōrum	porc	ōrum	genpl	m	2
porcum	porc	um	accsg	m	2
porcōs	porc	ōs	accpl	m	2
porta	port	a	nomsg	f	1
portae	port	ae	nompl	f	1
portae	port	ae	gensg	f	1
portārum	port	ārum	genpl	f	1
portam	port	am	accsg	f	1
portās	port	ās	accpl	f	1
porticus	portic	us	nomsg	f	4
porticūs	portic	ūs	nompl	f	4
porticūs	portic	ūs	gensg	f	4
porticuum	portic	uum	genpl	f	4
porticum	portic	um	accsg	f	4
porticūs	portic	ūs	accpl	f	4
possessiō	possessiō	NULL	nomsg	f	3
possessiōnēs	possessiōn	ēs	nompl	f	3
possessiōnis	possessiōn	is	gensg	f	3
possessiōnum	possessiōn	um	genpl	f	3
possessiōnem	possessiōn	em	accsg	f	3
possessiōnēs	possessiōn	ēs	accpl	f	3
potestas	potestas	NULL	nomsg	f	3
potestātēs	potestāt	ēs	nompl	f	3
potestātis	potestāt	is	gensg	f	3
potestātum	potestāt	um	genpl	f	3
potestātem	potestāt	em	accsg	f	3
potestātēs	potestāt	ēs	accpl	f	3
praeceptor	praecept	or	nomsg	mh	3
praeceptōrēs	praeceptōr	ēs	nompl	mh	3
praeceptōris	praeceptōr	is	gensg	mh	3
praeceptōrum	praeceptōr	um	genpl	mh	3
praeceptōrem	praeceptōr	em	accsg	mh	3
praeceptōrēs	praeceptōr	ēs	accpl	mh	3
praeda	praed	a	nomsg	f	1
praedae	praed	ae	nompl	f	1
praedae	praed	ae	gensg	f	1
praedārum	praed	ārum	genpl	f	1
praedam	praed	am	accsg	f	1
praedās	praed	ās	accpl	f	1
pretium	pret	ium	nomsg	n	2
pretia	preti	a	nompl	n	2
pretiī	pret	iī	gensg	n	2
pretiōrum	pret	iōrum	genpl	n	2
pretium	pret	ium	accsg	n	2
pretia	preti	a	accpl	n	2
prīmitia	prīmiti	a	nomsg	f	1
prīmitiae	prīmiti	ae	nompl	f	1
prīmitiae	prīmiti	ae	gensg	f	1
prīmitiārum	prīmiti	ārum	genpl	f	1
prīmitiam	prīmiti	am	accsg	f	1
prīmitiās	prīmiti	ās	accpl	f	1
prīnceps	prīnceps	NULL	nomsg	mh	3
prīncipēs	prīncip	ēs	nompl	mh	3
prīncipis	prīncip	is	gensg	mh	3
prīncipum	prīncip	um	genpl	mh	3
prīncipem	prīncip	em	accsg	mh	3
prīncipēs	prīncip	ēs	accpl	mh	3
prōcessus	prōcess	us	nomsg	m	4
prōcessūs	prōcess	ūs	nompl	m	4
prōcessūs	prōcess	ūs	gensg	m	4
prōcessuum	prōcess	uum	genpl	m	4
prōcessum	prōcess	um	accsg	m	4
prōcessūs	prōcess	ūs	accpl	m	4
prophēta	prophēt	a	nomsg	mh	1
prophētae	prophēt	ae	nompl	mh	1
prophētae	prophēt	ae	gensg	mh	1
prophētārum	prophēt	ārum	genpl	mh	1
prophētam	prophēt	am	accsg	mh	1
prophētās	prophēt	ās	accpl	mh	1
prōvidens	prōvid	ens	nomsg	mh	3
prōvidentēs	prōvid	entēs	nompl	mh	3
prōvidentis	prōvid	entis	gensg	mh	3
prōvidentum	prōvid	entum	genpl	mh	3
prōvidentem	prōvid	entem	accsg	mh	3
prōvidentēs	prōvid	entēs	accpl	mh	3
prūnum	prūn	um	nomsg	n	2
prūna	prūn	a	nompl	n	2
prūnī	prūn	ī	gensg	n	2
prūnōrum	prūn	ōrum	genpl	n	2
prūnum	prūn	um	accsg	n	2
prūna	prūn	a	accpl	n	2
psalmus	psalm	us	nomsg	m	2
psalmī	psalm	ī	nompl	m	2
psalmī	psalm	ī	gensg	m	2
psalmōrum	psalm	ōrum	genpl	m	2
psalmum	psalm	um	accsg	m	2
psalmōs	psalm	ōs	accpl	m	2
puella	puell	a	nomsg	fh	1
puellae	puell	ae	nompl	fh	1
puellae	puell	ae	gensg	fh	1
puellārum	puellār	um	genpl	fh	1
puellam	puell	am	accsg	fh	1
puellās	puell	ās	accpl	fh	1
puer	puer	NULL	nomsg	mh	2
puerī	puer	ī	nompl	mh	2
puerī	puer	ī	gensg	mh	2
puerōrum	puer	ōrum	genpl	mh	2
puerum	puer	um	accsg	mh	2
puerōs	puer	ōs	accpl	mh	2
pugna	pugn	a	nomsg	f	1
pugnae	pugn	ae	nompl	f	1
pugnae	pugn	ae	gensg	f	1
pugnārum	pugn	ārum	genpl	f	1
pugnam	pugn	am	accsg	f	1
pugnās	pugn	ās	accpl	f	1
pugnus	pugn	us	nomsg	m	2
pugnī	pugn	ī	nompl	m	2
pugnī	pugn	ī	gensg	m	2
pugnōrum	pugn	ōrum	genpl	m	2
pugnum	pugn	um	accsg	m	2
pugnōs	pugn	ōs	accpl	m	2
pūlex	pūlex	NULL	nomsg	m	3
pūlicēs	pūlic	ēs	nompl	m	3
pūlicis	pūlic	is	gensg	m	3
pūlicum	pūlic	um	genpl	m	3
pūlicem	pūlic	em	accsg	m	3
pūlicēs	pūlic	ēs	accpl	m	3
pullus	pull	us	nomsg	m	2
pullī	pull	ī	nompl	m	2
pullī	pull	ī	gensg	m	2
pullōrum	pull	ōrum	genpl	m	2
pullum	pull	um	accsg	m	2
pullōs	pull	ōs	accpl	m	2
pulvis	pulvis	NULL	nomsg	m	3
pulverēs	pulver	ēs	nompl	m	3
pulveris	pulver	is	gensg	m	3
pulverum	pulver	um	genpl	m	3
pulverem	pulver	em	accsg	m	3
pulverēs	pulver	ēs	accpl	m	3
pusillus	pusill	us	nomsg	m	2
pusillī	pusill	ī	nompl	m	2
pusillī	pusill	ī	gensg	m	2
pusillōrum	pusill	ōrum	genpl	m	2
pusillum	pusill	um	accsg	m	2
pusillōs	pusill	ōs	accpl	m	2
puteus	pute	us	nomsg	m	2
puteī	pute	ī	nompl	m	2
puteī	pute	ī	gensg	m	2
puteōrum	pute	ōrum	genpl	m	2
puteum	pute	um	accsg	m	2
puteōs	pute	ōs	accpl	m	2
rādīx	rādīx	NULL	nomsg	f	3
rādīcēs	rādīc	ēs	nompl	f	3
rādīcis	rādīc	is	gensg	f	3
rādīcum	rādīc	um	genpl	f	3
rādīcem	rādīc	em	accsg	f	3
rādīcēs	rādīc	ēs	accpl	f	3
rāmex	rāmex	NULL	nomsg	m	3
rāmicēs	rāmic	ēs	nompl	m	3
rāmicis	rāmic	is	gensg	m	3
rāmicum	rāmic	um	genpl	m	3
rāmicem	rāmic	em	accsg	m	3
rāmicēs	rāmic	ēs	accpl	m	3
rāmus	rām	us	nomsg	m	2
rāmī	rām	ī	nompl	m	2
rāmī	rām	ī	gensg	m	2
rāmōrum	rām	ōrum	genpl	m	2
rāmum	rām	um	accsg	m	2
rāmōs	rām	ōs	accpl	m	2
ratiō	ratiō	NULL	nomsg	f	3
ratiōnēs	ratiōn	ēs	nompl	f	3
ratiōnis	ratiōn	is	gensg	f	3
ratiōnum	ratiōn	um	genpl	f	3
ratiōnem	ratiōn	em	accsg	f	3
ratiōnēs	ratiōn	ēs	accpl	f	3
regiō	reg	iō	nomsg	f	3
regiōnēs	regiōn	ēs	nompl	f	3
regiōnis	regiōn	is	gensg	f	3
regiōnum	regiōn	um	genpl	f	3
regiōnem	regiōn	em	accsg	f	3
regiōnēs	regiōn	ēs	accpl	f	3
religiō	religiō	NULL	nomsg	f	3
religiōnēs	religiōn	ēs	nompl	f	3
religiōnis	religiōn	is	gensg	f	3
religiōnum	religiōn	um	genpl	f	3
religiōnem	religiōn	em	accsg	f	3
religiōnēs	religiōn	ēs	accpl	f	3
rēs	r	ēs	nomsg	f	5
rēs	r	ēs	nompl	f	5
reī	re	ī	gensg	f	5
rērum	r	ērum	genpl	f	5
rem	r	em	accsg	f	5
rēs	r	ēs	accpl	f	5
rēte	rēt	e	nomsg	n	3
rētia	rēti	a	nompl	n	3
rētis	rēt	is	gensg	n	3
rētium	rēt	ium	genpl	n	3
rēte	rēt	e	accsg	n	3
rētia	rēti	a	accpl	n	3
rēx	rēx	NULL	nomsg	mh	3
rēgēs	rēg	ēs	nompl	mh	3
rēgis	rēg	is	gensg	mh	3
rēgum	rēg	um	genpl	mh	3
rēgem	rēg	em	accsg	mh	3
rēgēs	rēg	ēs	accpl	mh	3
rīpa	rīp	a	nomsg	f	1
rīpae	rīp	ae	nompl	f	1
rīpae	rīp	ae	gensg	f	1
rīpārum	rīp	ārum	genpl	f	1
rīpam	rīp	am	accsg	f	1
rīpās	rīp	ās	accpl	f	1
rītus	rīt	us	nomsg	m	4
rītūs	rīt	ūs	nompl	m	4
rītūs	rīt	ūs	gensg	m	4
rītuum	rīt	uum	genpl	m	4
rītum	rīt	um	accsg	m	4
rītūs	rīt	ūs	accpl	m	4
rīvus	rīv	us	nomsg	m	2
rīvī	rīv	ī	nompl	m	2
rīvī	rīv	ī	gensg	m	2
rīvōrum	rīvōr	um	genpl	m	2
rīvum	rīv	um	accsg	m	2
rīvōs	rīv	ōs	accpl	m	2
rōs	rōs	NULL	nomsg	m	3
rōrēs	rōr	ēs	nompl	m	3
rōris	rōr	is	gensg	m	3
rōrum	rōr	um	genpl	m	3
rōrem	rōr	em	accsg	m	3
rōrēs	rōr	ēs	accpl	m	3
rosa	ros	a	nomsg	f	1
rosae	ros	ae	nompl	f	1
rosae	ros	ae	gensg	f	1
rosārum	ros	ārum	genpl	f	1
rosam	ros	am	accsg	f	1
rosās	ros	ās	accpl	f	1
ruīna	ruīn	a	nomsg	f	1
ruīnae	ruīn	ae	nompl	f	1
ruīnae	ruīn	ae	gensg	f	1
ruīnārum	ruīn	ārum	genpl	f	1
ruīnam	ruīn	am	accsg	f	1
ruīnās	ruīn	ās	accpl	f	1
rusticus	rustic	us	nomsg	mh	2
rusticī	rustic	ī	nompl	mh	2
rusticī	rustic	ī	gensg	mh	2
rusticōrum	rustic	ōrum	genpl	mh	2
rusticum	rustic	um	accsg	mh	2
rusticōs	rustic	ōs	accpl	mh	2
sacerdōs	sacerd	ōs	nomsg	m	3
sacerdōtēs	sacerdōt	ēs	nompl	m	3
sacerdōtis	sacerdōt	is	gensg	m	3
sacerdōtum	sacerdōt	um	genpl	m	3
sacerdōtem	sacerdōt	em	accsg	m	3
sacerdōtēs	sacerdōt	ēs	accpl	m	3
saeculum	saecul	um	nomsg	n	2
saecula	saecul	a	nompl	n	2
saeculī	saecul	ī	gensg	n	2
saeculōrum	saecul	ōrum	genpl	n	2
saeculum	saecul	um	accsg	n	2
saecula	saecul	a	accpl	n	2
sanctor	sanctor	NULL	nomsg	mh	3
sanctores	sanctor	es	nompl	mh	3
sanctoris	sanctor	is	gensg	mh	3
sanctorum	sanctor	um	genpl	mh	3
sanctorem	sanctor	em	accsg	mh	3
sanctores	sanctor	es	accpl	mh	3
sanguis	sanguis	NULL	nomsg	m	3
sanguinēs	sanguin	ēs	nompl	m	3
sanguinis	sanguin	is	gensg	m	3
sanguinum	sanguin	um	genpl	m	3
sanguinem	sanguin	em	accsg	m	3
sanguinēs	sanguin	ēs	accpl	m	3
sapientia	sapienti	a	nomsg	f	1
sapientiae	sapienti	ae	nompl	f	1
sapientiae	sapienti	ae	gensg	f	1
sapientiārum	sapienti	ārum	genpl	f	1
sapientiam	sapienti	am	accsg	f	1
sapientiās	sapienti	ās	accpl	f	1
scandalum	scandal	um	nomsg	n	2
scandala	scandal	a	nompl	n	2
scandalī	scandal	ī	gensg	n	2
scandalōrum	scandal	ōrum	genpl	n	2
scandalum	scandal	um	accsg	n	2
scandala	scandal	a	accpl	n	2
scientia	scienti	a	nomsg	f	1
scientiae	scienti	ae	nompl	f	1
scientiae	scienti	ae	gensg	f	1
scientiārum	scienti	ārum	genpl	f	1
scientiam	scienti	am	accsg	f	1
scientiās	scienti	ās	accpl	f	1
scintilla	scintill	a	nomsg	f	1
scintillae	scintill	ae	nompl	f	1
scintillae	scintill	ae	gensg	f	1
scintillārum	scintill	ārum	genpl	f	1
scintillam	scintill	am	accsg	f	1
scintillās	scintill	ās	accpl	f	1
scōpa	scōp	a	nomsg	f	1
scōpae	scōp	ae	nompl	f	1
scōpae	scōp	ae	gensg	f	1
scōpārum	scōp	ārum	genpl	f	1
scōpam	scōp	am	accsg	f	1
scōpās	scōp	ās	accpl	f	1
scopulus	scopul	us	nomsg	m	2
scopulī	scopul	ī	nompl	m	2
scopulī	scopul	ī	gensg	m	2
scopulōrum	scopul	ōrum	genpl	m	2
scopulum	scopul	um	accsg	m	2
scopulōs	scopul	ōs	accpl	m	2
secretum	secret	um	nompl	n	2
secretōrum	secret	ōrum	genpl	n	2
secreta	secret	a	accpl	n	2
sēmen	sēmen	NULL	nomsg	n	3
sēmina	sēmin	a	nompl	n	3
sēminis	sēmin	is	gensg	n	3
sēminum	sēmin	um	genpl	n	3
sēmen	sēmen	NULL	accsg	n	3
sēmina	sēmin	a	accpl	n	3
sēmis	sēm	is	nomsg	m	3
sēmissēs	sēmiss	ēs	nompl	m	3
sēmissis	sēmiss	is	gensg	m	3
sēmissum	sēmiss	um	genpl	m	3
sēmissem	sēmiss	em	accsg	m	3
sēmissēs	sēmiss	ēs	accpl	m	3
sēmita	sēmit	a	nomsg	f	1
sēmitae	sēmit	ae	nompl	f	1
sēmitae	sēmit	ae	gensg	f	1
sēmitārum	sēmit	ārum	genpl	f	1
sēmitam	sēmit	am	accsg	f	1
sēmitās	sēmit	ās	accpl	f	1
senior	sen	ior	nomsg	mh	3
seniōrēs	sen	iōr-ēs	nompl	mh	3
seniōris	sen	iōr-is	gensg	mh	3
seniōrum	sen	iōr-um	genpl	mh	3
seniōrem	sen	iōr-em	accsg	mh	3
seniōrēs	sen	iōr-ēs	accpl	mh	3
sēnsus	sēns	us	nomsg	m	4
sēnsūs	sēns	ūs	nompl	m	4
sēnsūs	sēns	ūs	gensg	m	4
sēnsuum	sēns	uum	genpl	m	4
sēnsum	sēns	um	accsg	m	4
sēnsūs	sēns	ūs	accpl	m	4
sententia	sententi	a	nomsg	f	1
sententiae	sententi	ae	nompl	f	1
sententiae	sententi	ae	gensg	f	1
sententiārum	sententi	ārum	genpl	f	1
sententiam	sententi	am	accsg	f	1
sententiās	sententi	ās	accpl	f	1
seriēs	seri	ēs	nomsg	f	5
seriēs	seri	ēs	nompl	f	5
seriēī	seri	ēī	gensg	f	5
seriērum	seri	ērum	genpl	f	5
seriem	seri	em	accsg	f	5
seriēs	seri	ēs	accpl	f	5
sermō	sermō	NULL	nomsg	m	3
sermōnēs	sermōn	ēs	nompl	m	3
sermōnis	sermōn	is	gensg	m	3
sermōnum	sermōn	um	genpl	m	3
sermōnem	sermōn	em	accsg	m	3
sermōnēs	sermōn	ēs	accpl	m	3
serpēns	serp	ēns	nomsg	f	3
serpentēs	serp	ent-ēs	nompl	f	3
serpentis	serp	ent-is	gensg	f	3
serpentum	serp	ent-um	genpl	f	3
serpentem	serp	ent-em	accsg	f	3
serpentēs	serp	ent-ēs	accpl	f	3
servus	serv	us	nomsg	mh	2
servī	serv	ī	nompl	mh	2
servī	serv	ī	gensg	mh	2
servōrum	serv	ōrum	genpl	mh	2
servum	serv	um	accsg	mh	2
servōs	serv	ōs	accpl	mh	2
sexus	sex	us	nomsg	m	4
sexūs	sex	ūs	nompl	m	4
sexūs	sex	ūs	gensg	m	4
sexuum	sex	uum	genpl	m	4
sexum	sex	um	accsg	m	4
sexūs	sex	ūs	accpl	m	4
siclus	sicl	us	nomsg	m	2
siclī	sicl	ī	nompl	m	2
siclī	sicl	ī	gensg	m	2
siclōrum	sicl	ōrum	genpl	m	2
siclum	sicl	um	accsg	m	2
siclōs	sicl	ōs	accpl	m	2
signum	sign	um	nomsg	n	2
signa	sign	a	nompl	n	2
signī	sign	ī	gensg	n	2
signōrum	sign	ōrum	genpl	n	2
signum	sign	um	accsg	n	2
signa	sign	a	accpl	n	2
silva	silv	a	nomsg	f	1
silvae	silv	ae	nompl	f	1
silvae	silv	ae	gensg	f	1
silvārum	silv	ārum	genpl	f	1
silvam	silv	am	accsg	f	1
silvās	silv	ās	accpl	f	1
sinus	sin	us	nomsg	m	4
sinūs	sin	ūs	nompl	m	4
sinūs	sin	ūs	gensg	m	4
sinuum	sin	uum	genpl	m	4
sinum	sin	um	accsg	m	4
sinūs	sin	ūs	accpl	m	4
societās	societās	NULL	nomsg	f	3
societātēs	societāt	ēs	nompl	f	3
societātis	societāt	is	gensg	f	3
societātum	societāt	um	genpl	f	3
societātem	societāt	em	accsg	f	3
societātēs	societāt	ēs	accpl	f	3
socrus	socr	us	nomsg	fh	4
socrūs	socr	ūs	nompl	fh	4
socrūs	socr	ūs	gensg	fh	4
socruum	socr	uum	genpl	fh	4
socrum	socr	um	accsg	fh	4
socrūs	socr	ūs	accpl	fh	4
sōl	sōl	NULL	nomsg	m	3
sōlēs	sōl	ēs	nompl	m	3
sōlis	sōl	is	gensg	m	3
sōlum	sōl	um	genpl	m	3
sōlem	sōl	em	accsg	m	3
sōlēs	sōl	ēs	accpl	m	3
sōlitūdō	sōlitūdō	NULL	nomsg	f	3
sōlitūdinēs	sōlitūdin	ēs	nompl	f	3
sōlitūdinis	sōlitūdin	is	gensg	f	3
sōlitūdinum	sōlitūdin	um	genpl	f	3
sōlitūdinem	sōlitūdin	em	accsg	f	3
sōlitūdinēs	sōlitūdin	ēs	accpl	f	3
somnus	somn	us	nomsg	m	2
somnī	somn	ī	nompl	m	2
somnī	somn	ī	gensg	m	2
somnōrum	somn	ōrum	genpl	m	2
somnum	somn	um	accsg	m	2
somnōs	somn	ōs	accpl	m	2
sorex	sorex	NULL	nomsg	m	3
sorices	soric	es	nompl	m	3
soricis	soric	is	gensg	m	3
soricum	soric	um	genpl	m	3
soricem	soric	em	accsg	m	3
sorices	soric	es	accpl	m	3
soror	soror	NULL	nomsg	fh	3
sorōrēs	sorōr	ēs	nompl	fh	3
sorōris	sorōr	is	gensg	fh	3
sorōrum	sorōr	um	genpl	fh	3
sorōrem	sorōr	em	accsg	fh	3
sorōrēs	sorōr	ēs	accpl	fh	3
speciēs	speci	ēs	nomsg	f	5
speciēs	speci	ēs	nompl	f	5
speciēī	speci	ēī	gensg	f	5
speciērum	speci	ērum	genpl	f	5
speciem	speci	em	accsg	f	5
speciēs	speci	ēs	accpl	f	5
speculum	specul	um	nomsg	n	2
specula	specul	a	nompl	n	2
speculī	specul	ī	gensg	n	2
speculōrum	specul	ōrum	genpl	n	2
speculum	specul	um	accsg	n	2
specula	specul	a	accpl	n	2
specus	spec	us	nomsg	m	4
specūs	spec	ūs	nompl	m	4
specūs	spec	ūs	gensg	m	4
specuum	spec	uum	genpl	m	4
specum	spec	um	accsg	m	4
specūs	spec	ūs	accpl	m	4
spīna	spīn	a	nomsg	f	1
spīnae	spīn	ae	nompl	f	1
spīnae	spīn	ae	gensg	f	1
spīnārum	spīn	ārum	genpl	f	1
spīnam	spīn	am	accsg	f	1
spīnās	spīn	ās	accpl	f	1
spīritus	spīrit	us	nomsg	m	4
spīritūs	spīrit	ūs	nompl	m	4
spīritūs	spīrit	ūs	gensg	m	4
spīrituum	spīrit	uum	genpl	m	4
spīritum	spīrit	um	accsg	m	4
spīritūs	spīrit	ūs	accpl	m	4
sporta	sport	a	nomsg	f	1
sportae	sport	ae	nompl	f	1
sportae	sport	ae	gensg	f	1
sportārum	sport	ārum	genpl	f	1
sportam	sport	am	accsg	f	1
sportās	sport	ās	accpl	f	1
stēlla	stēll	a	nomsg	f	1
stēllae	stēll	ae	nompl	f	1
stēllae	stēll	ae	gensg	f	1
