Form	Root	Suffix	Case	Gender	Declension
lūcem	lūc	em	accsg	f	3
lūcēs	lūc	ēs	accpl	f	3
magistra	magistr	a	nomsg	fh	2
magistrai	magistr	ai	nompl	fh	2
magistrai	magistr	ai	gensg	fh	2
magistrārum	magistr	ārum	genpl	fh	2
magistram	magistr	am	accsg	fh	2
magistrās	magistr	ās	accpl	fh	2
magister	magister	NULL	nomsg	mh	2
magistrī	magistr	ī	nompl	mh	2
magistrī	magistr	ī	gensg	mh	2
magistrōrum	magistr	ōrum	genpl	mh	2
magistrum	magistr	um	accsg	mh	2
magistrōs	magistr	ōs	accpl	mh	2
magus	mag	us	nomsg	mh	2
magī	mag	ī	nompl	mh	2
magī	mag	ī	gensg	mh	2
magōrum	mag	ōrum	genpl	mh	2
magum	mag	um	accsg	mh	2
magōs	mag	ōs	accpl	mh	2
malitia	maliti	a	nomsg	f	1
malitiae	maliti	ae	nompl	f	1
malitiae	maliti	ae	gensg	f	1
malitiārum	maliti	ārum	genpl	f	1
malitiam	maliti	am	accsg	f	1
malitiās	maliti	ās	accpl	f	1
malum	mal	um	nomsg	n	2
mala	mal	a	nompl	n	2
malī	mal	ī	gensg	n	2
malōrum	mal	ōrum	genpl	n	2
malum	mal	um	accsg	n	2
mala	mal	a	accpl	n	2
manus	man	us	nomsg	f	4
manūs	man	ūs	nompl	f	4
manūs	man	ūs	gensg	f	4
manuum	manu	um	genpl	f	4
manum	man	um	accsg	f	4
manūs	man	ūs	accpl	f	4
mare	mar	e	nomsg	n	3
maria	mar	ia	nompl	n	3
maris	mar	is	gensg	n	3
marium	mar	ium	genpl	n	3
mare	mar	e	accsg	n	3
maria	mar	ia	accpl	n	3
margarīta	margarīt	a	nomsg	f	1
margarītae	margarīt	ae	nompl	f	1
margarītae	margarīt	ae	gensg	f	1
margarītārum	margarīt	ārum	genpl	f	1
margarītam	margarīt	am	accsg	f	1
margarītās	margarīt	ās	accpl	f	1
marmor	marmor	NULL	nomsg	n	3
marmora	marmor	a	nompl	n	3
marmoris	marmor	is	gensg	n	3
marmorum	marmor	um	genpl	n	3
marmor	marmor	NULL	accsg	n	3
marmora	marmor	a	accpl	n	3
māter	māter	NULL	nomsg	fh	3
mātrēs	mātr	ēs	nompl	fh	3
mātris	mātr	is	gensg	fh	3
mātrum	mātr	um	genpl	fh	3
mātrem	mātr	em	accsg	fh	3
mātrēs	mātr	ēs	accpl	fh	3
māteria	māteri	a	nomsg	f	1
māteriae	māteri	ae	nompl	f	1
māteriae	māteri	ae	gensg	f	1
māteriārum	māteri	ārum	genpl	f	1
māteriam	māteri	am	accsg	f	1
māteriās	māteri	ās	accpl	f	1
maxilla	maxill	a	nomsg	f	1
maxillae	maxill	ae	nompl	f	1
maxillae	maxill	ae	gensg	f	1
maxillārum	maxillār	um	genpl	f	1
maxillam	maxill	am	accsg	f	1
maxillās	maxill	ās	accpl	f	1
medium	medi	um	nomsg	n	2
media	medi	a	nompl	n	2
mediī	medi	ī	gensg	n	2
mediōrum	medi	ōrum	genpl	n	2
medium	medi	um	accsg	n	2
media	medi	a	accpl	n	2
medulla	medull	a	nomsg	f	1
medullae	medull	ae	nompl	f	1
medullae	medull	ae	gensg	f	1
medullārum	medullār	um	genpl	f	1
medullam	medull	am	accsg	f	1
medullās	medull	ās	accpl	f	1
mel	mel	NULL	nomsg	n	3
mella	mell	a	nompl	n	3
mellis	mell	is	gensg	n	3
mellium	mell	ium	genpl	n	3
mel	mel	NULL	accsg	n	3
mella	mell	a	accpl	n	3
membrum	membr	um	nomsg	n	2
membra	membr	a	nompl	n	2
membrī	membr	ī	gensg	n	2
membrōrum	membr	ōrum	genpl	n	2
membrum	membr	um	accsg	n	2
membra	membr	a	accpl	n	2
memoria	memori	a	nomsg	f	1
