Word	Declension	Gender	CaseNum	Case	Num	TotFreq	LatSuf	Declined	0	1	2	3	4	5	6	7	8	9	10
54	aer:Acc.Pl	3	m	Acc.Pl	Acc	Pl	78	ēs	āerēs	i	i	i	i	i	i	i	i	i	i	i
55	aer:Gen.Sg	3	m	Gen.Sg	Gen	Sg	78	is	āeris	i	i	i	i	i	i	i	i	i	i	i
56	aer:Gen.Pl	3	m	Gen.Pl	Gen	Pl	78	um	āerum	o										
57	aer:Abl.Sg	3	m	Abl.Sg	Abl	Sg	78	e	āere	e	e	e	e	e	e	e	e	e	e	e
58	aer:Nom.Pl	3	m	Nom.Pl	Nom	Pl	78	ēs	āerēs	i		i	i	i	i	i	i	i	i	i
59	aer:Acc.Sg	3	m	Acc.Sg	Acc	Sg	78	a	āera	a	e	e	e	e	e	e	e	e	e	e
60	aer:Dat.Pl	3	m	Dat.Pl	Dat	Pl	78	ibus	āeribus	ebo										
61	aes:Nom.Sg	3	n	Nom.Sg	Nom	Sg	141		aes											
62	aes:Abl.Pl	3	n	Abl.Pl	Abl	Pl	141	ibus	aeribus	ebo	e	i	i	i	i					
63	aes:Dat.Sg	3	n	Dat.Sg	Dat	Sg	141	ī	aerī	i	i	i	i	i	i					
64	aes:Acc.Pl	3	n	Acc.Pl	Acc	Pl	141	a	aera	a			i	i	i					
65	aes:Gen.Sg	3	n	Gen.Sg	Gen	Sg	141	is	aeris	i	i	i	i	i	i					
66	aes:Gen.Pl	3	n	Gen.Pl	Gen	Pl	141	um	aerum	o										
67	aes:Abl.Sg	3	n	Abl.Sg	Abl	Sg	141	e	aere	e	e	e	e	e	e					
68	aes:Nom.Pl	3	n	Nom.Pl	Nom	Pl	141	a	aera	a				i	i					
69	aes:Acc.Sg	3	n	Acc.Sg	Acc	Sg	141		aes											
70	aes:Dat.Pl	3	n	Dat.Pl	Dat	Pl	141	ibus	aeribus	ebo										
71	aestas:Nom.Sg	3	f	Nom.Sg	Nom	Sg	89		aestās		e	e	e	e	e	e	e	e	e	e
72	aestas:Abl.Pl	3	f	Abl.Pl	Abl	Pl	89	ibus	aestātibus	ebo	e	i	i	i	i	i	i	i	i	i
73	aestas:Dat.Sg	3	f	Dat.Sg	Dat	Sg	89	ī	aestātī	i	i	i	i	i	i	i	i	i	i	i
74	aestas:Acc.Pl	3	f	Acc.Pl	Acc	Pl	89	ēs	aestātēs	i	i	i	i	i	i	i	i	i	i	i
75	aestas:Gen.Sg	3	f	Gen.Sg	Gen	Sg	89	is	aestātis	i	i	i	i	i	i	i	i	i	i	i
76	aestas:Gen.Pl	3	f	Gen.Pl	Gen	Pl	89	um	aestātum	o										
77	aestas:Abl.Sg	3	f	Abl.Sg	Abl	Sg	89	e	aestāte	e	e	e	e	e	e	e	e	e	e	e
78	aestas:Nom.Pl	3	f	Nom.Pl	Nom	Pl	89	ēs	aestātēs	i		i	i	i	i	i	i	i	i	i
79	aestas:Acc.Sg	3	f	Acc.Sg	Acc	Sg	89	em	aestātem	e		e	e	e	e	e	e	e	e	e
80	aestas:Dat.Pl	3	f	Dat.Pl	Dat	Pl	89	ibus	aestātibus	ebo										
81	aestus:Nom.Sg	4	m	Nom.Sg	Nom	Sg	105	us	aestus	o	o	o	o	o	o	o	o	o	o	o
82	aestus:Abl.Pl	4	m	Abl.Pl	Abl	Pl	105	ibus	aestibus	ebo	io									
83	aestus:Dat.Sg	4	m	Dat.Sg	Dat	Sg	105	uī	aestuī	o	i									
84	aestus:Acc.Pl	4	m	Acc.Pl	Acc	Pl	105	ūs	aestūs	u	u									
85	aestus:Gen.Sg	4	m	Gen.Sg	Gen	Sg	105	ūs	aestūs	u	u									
86	aestus:Gen.Pl	4	m	Gen.Pl	Gen	Pl	105	uum	aestuum	u	u	u								
87	aestus:Abl.Sg	4	m	Abl.Sg	Abl	Sg	105	ū	aestū	u	o	o	o	o	o	o	o	o	o	o
88	aestus:Nom.Pl	4	m	Nom.Pl	Nom	Pl	105	ūs	aestūs	u	u	u								
