Form	Root	Suffix	Case	Gender	Declension	Parent	English	Total	Prose	Poetry
pectoribus	pector	ibus	Abl.Pl	n	3	pectus	chest, breast	387	116	271
pectus	pectus	NULL	Voc.Sg	n	3	pectus	chest, breast	387	116	271
pectora	pector	a	Voc.Pl	n	3	pectus	chest, breast	387	116	271
tēlum	tēl	um	Nom.Sg	n	2	telum	dart, spear, weapon	386	232	154
tēla	tēl	a	Nom.Pl	n	2	telum	dart, spear, weapon	386	232	154
tēlī	tēl	ī	Gen.Sg	n	2	telum	dart, spear, weapon	386	232	154
tēlōrum	tēl	ōrum	Gen.Pl	n	2	telum	dart, spear, weapon	386	232	154
tēlō	tēl	ō	Dat.Sg	n	2	telum	dart, spear, weapon	386	232	154
tēlīs	tēl	īs	Dat.Pl	n	2	telum	dart, spear, weapon	386	232	154
tēlum	tēl	um	Acc.Sg	n	2	telum	dart, spear, weapon	386	232	154
tēla	tēl	a	Acc.Pl	n	2	telum	dart, spear, weapon	386	232	154
tēlō	tēl	ō	Abl.Sg	n	2	telum	dart, spear, weapon	386	232	154
tēlīs	tēl	īs	Abl.Pl	n	2	telum	dart, spear, weapon	386	232	154
tēlum	tēl	um	Voc.Sg	n	2	telum	dart, spear, weapon	386	232	154
tēla	tēl	a	Voc.Pl	n	2	telum	dart, spear, weapon	386	232	154
puer	puer	NULL	Nom.Sg	m	2	puer	child, boy	385	124	261
puerī	puer	ī	Nom.Pl	m	2	puer	child, boy	385	124	261
puerī	puer	ī	Gen.Sg	m	2	puer	child, boy	385	124	261
puerōrum	puer	ōrum	Gen.Pl	m	2	puer	child, boy	385	124	261
puerō	puer	ō	Dat.Sg	m	2	puer	child, boy	385	124	261
puerīs	puer	īs	Dat.Pl	m	2	puer	child, boy	385	124	261
puerum	puer	um	Acc.Sg	m	2	puer	child, boy	385	124	261
puerōs	puer	ōs	Acc.Pl	m	2	puer	child, boy	385	124	261
puerō	puer	ō	Abl.Sg	m	2	puer	child, boy	385	124	261
puerīs	puer	īs	Abl.Pl	m	2	puer	child, boy	385	124	261
puer	puer	NULL	Voc.Sg	m	2	puer	child, boy	385	124	261
puerī	puer	ī	Voc.Pl	m	2	puer	child, boy	385	124	261
aqua	aqu	a	Nom.Sg	f	1	aqua	water	383	247	136
aquae	aqu	ae	Nom.Pl	f	1	aqua	water	383	247	136
aquae	aqu	ae	Gen.Sg	f	1	aqua	water	383	247	136
aquārum	aqu	ārum	Gen.Pl	f	1	aqua	water	383	247	136
aquae	aqu	ae	Dat.Sg	f	1	aqua	water	383	247	136
aquīs	aqu	īs	Dat.Pl	f	1	aqua	water	383	247	136
aquam	aqu	am	Acc.Sg	f	1	aqua	water	383	247	136
aquās	aqu	ās	Acc.Pl	f	1	aqua	water	383	247	136
aquā	aqu	ā	Abl.Sg	f	1	aqua	water	383	247	136
aquīs	aqu	īs	Abl.Pl	f	1	aqua	water	383	247	136
aqua	aqu	a	Voc.Sg	f	1	aqua	water	383	247	136
aquae	aqu	ae	Voc.Pl	f	1	aqua	water	383	247	136
flūmen	flūmen	NULL	Nom.Sg	n	3	flumen	river	380	258	122
flūmina	flūmin	a	Nom.Pl	n	3	flumen	river	380	258	122
flūminis	flūmin	is	Gen.Sg	n	3	flumen	river	380	258	122
flūminum	flūmin	um	Gen.Pl	n	3	flumen	river	380	258	122
flūminī	flūmin	ī	Dat.Sg	n	3	flumen	river	380	258	122
flūminibus	flūmin	ibus	Dat.Pl	n	3	flumen	river	380	258	122
flūmen	flūmen	NULL	Acc.Sg	n	3	flumen	river	380	258	122
flūmina	flūmin	a	Acc.Pl	n	3	flumen	river	380	258	122
flūmine	flūmin	e	Abl.Sg	n	3	flumen	river	380	258	122
flūminibus	flūmin	ibus	Abl.Pl	n	3	flumen	river	380	258	122
flūmen	flūmen	NULL	Voc.Sg	n	3	flumen	river	380	258	122
flūmina	flūmin	a	Voc.Pl	n	3	flumen	river	380	258	122
ingenium	ingeni	um	Nom.Sg	n	2	ingenium	natural character, disposition, intelligence, talent	377	338	39
ingenia	ingeni	a	Nom.Pl	n	2	ingenium	natural character, disposition, intelligence, talent	377	338	39
ingeniī	ingeni	ī	Gen.Sg	n	2	ingenium	natural character, disposition, intelligence, talent	377	338	39
ingeniōrum	ingeni	ōrum	Gen.Pl	n	2	ingenium	natural character, disposition, intelligence, talent	377	338	39
ingeniō	ingeni	ō	Dat.Sg	n	2	ingenium	natural character, disposition, intelligence, talent	377	338	39
ingeniīs	ingeni	īs	Dat.Pl	n	2	ingenium	natural character, disposition, intelligence, talent	377	338	39
ingenium	ingeni	um	Acc.Sg	n	2	ingenium	natural character, disposition, intelligence, talent	377	338	39
ingenia	ingeni	a	Acc.Pl	n	2	ingenium	natural character, disposition, intelligence, talent	377	338	39
ingeniō	ingeni	ō	Abl.Sg	n	2	ingenium	natural character, disposition, intelligence, talent	377	338	39
ingeniīs	ingeni	īs	Abl.Pl	n	2	ingenium	natural character, disposition, intelligence, talent	377	338	39
ingenium	ingeni	um	Voc.Sg	n	2	ingenium	natural character, disposition, intelligence, talent	377	338	39
ingenia	ingeni	a	Voc.Pl	n	2	ingenium	natural character, disposition, intelligence, talent	377	338	39
ops	ops	NULL	Nom.Sg	f	3	ops	power to help, resources	376	284	92
opēs	op	ēs	Nom.Pl	f	3	ops	power to help, resources	376	284	92
opis	op	is	Gen.Sg	f	3	ops	power to help, resources	376	284	92
opum	op	um	Gen.Pl	f	3	ops	power to help, resources	376	284	92
opī	op	ī	Dat.Sg	f	3	ops	power to help, resources	376	284	92
opibus	op	ibus	Dat.Pl	f	3	ops	power to help, resources	376	284	92
opem	op	em	Acc.Sg	f	3	ops	power to help, resources	376	284	92
opēs	op	ēs	Acc.Pl	f	3	ops	power to help, resources	376	284	92
ope	op	e	Abl.Sg	f	3	ops	power to help, resources	376	284	92
opibus	op	ibus	Abl.Pl	f	3	ops	power to help, resources	376	284	92
ops	ops	NULL	Voc.Sg	f	3	ops	power to help, resources	376	284	92
opēs	op	ēs	Voc.Pl	f	3	ops	power to help, resources	376	284	92
glōria	glōri	a	Nom.Sg	f	1	gloria	glory, fame	373	314	59
glōriae	glōri	ae	Nom.Pl	f	1	gloria	glory, fame	373	314	59
glōriae	glōri	ae	Gen.Sg	f	1	gloria	glory, fame	373	314	59
glōriārum	glōri	ārum	Gen.Pl	f	1	gloria	glory, fame	373	314	59
glōriae	glōri	ae	Dat.Sg	f	1	gloria	glory, fame	373	314	59
glōriīs	glōri	īs	Dat.Pl	f	1	gloria	glory, fame	373	314	59
glōriam	glōri	am	Acc.Sg	f	1	gloria	glory, fame	373	314	59
glōriās	glōri	ās	Acc.Pl	f	1	gloria	glory, fame	373	314	59
glōriā	glōri	ā	Abl.Sg	f	1	gloria	glory, fame	373	314	59
glōriīs	glōri	īs	Abl.Pl	f	1	gloria	glory, fame	373	314	59
glōria	glōri	a	Voc.Sg	f	1	gloria	glory, fame	373	314	59
glōriae	glōri	ae	Voc.Pl	f	1	gloria	glory, fame	373	314	59
agmen	agmen	NULL	Nom.Sg	n	3	agmen	multitude, army, stream	360	292	68
agmina	agmin	a	Nom.Pl	n	3	agmen	multitude, army, stream	360	292	68
agminis	agmin	is	Gen.Sg	n	3	agmen	multitude, army, stream	360	292	68
agminum	agmin	um	Gen.Pl	n	3	agmen	multitude, army, stream	360	292	68
agminī	agmin	ī	Dat.Sg	n	3	agmen	multitude, army, stream	360	292	68
agminibus	agmin	ibus	Dat.Pl	n	3	agmen	multitude, army, stream	360	292	68
agmen	agmen	NULL	Acc.Sg	n	3	agmen	multitude, army, stream	360	292	68
agmina	agmin	a	Acc.Pl	n	3	agmen	multitude, army, stream	360	292	68
agmine	agmin	e	Abl.Sg	n	3	agmen	multitude, army, stream	360	292	68
agminibus	agmin	ibus	Abl.Pl	n	3	agmen	multitude, army, stream	360	292	68
agmen	agmen	NULL	Voc.Sg	n	3	agmen	multitude, army, stream	360	292	68
agmina	agmin	a	Voc.Pl	n	3	agmen	multitude, army, stream	360	292	68
ferrum	ferr	um	Nom.Sg	n	2	ferrum	iron, sword	352	150	202
ferra	ferr	a	Nom.Pl	n	2	ferrum	iron, sword	352	150	202
ferrī	ferr	ī	Gen.Sg	n	2	ferrum	iron, sword	352	150	202
ferrōrum	ferr	ōrum	Gen.Pl	n	2	ferrum	iron, sword	352	150	202
ferrō	ferr	ō	Dat.Sg	n	2	ferrum	iron, sword	352	150	202
ferrīs	ferr	īs	Dat.Pl	n	2	ferrum	iron, sword	352	150	202
ferrum	ferr	um	Acc.Sg	n	2	ferrum	iron, sword	352	150	202
ferra	ferr	a	Acc.Pl	n	2	ferrum	iron, sword	352	150	202
ferrō	ferr	ō	Abl.Sg	n	2	ferrum	iron, sword	352	150	202
ferrīs	ferr	īs	Abl.Pl	n	2	ferrum	iron, sword	352	150	202
ferrum	ferr	um	Voc.Sg	n	2	ferrum	iron, sword	352	150	202
ferra	ferr	a	Voc.Pl	n	2	ferrum	iron, sword	352	150	202
coniūx	coniūx	NULL	Nom.Sg	mh, fh	3	coniux	spouse	351	128	223
coniugēs	coniug	ēs	Nom.Pl	mh, fh	3	coniux	spouse	351	128	223
coniugis	coniug	is	Gen.Sg	mh, fh	3	coniux	spouse	351	128	223
coniugum	coniug	um	Gen.Pl	mh, fh	3	coniux	spouse	351	128	223
coniugī	coniug	ī	Dat.Sg	mh, fh	3	coniux	spouse	351	128	223
coniugibus	coniug	ibus	Dat.Pl	mh, fh	3	coniux	spouse	351	128	223
coniugem	coniug	em	Acc.Sg	mh, fh	3	coniux	spouse	351	128	223
coniugēs	coniug	ēs	Acc.Pl	mh, fh	3	coniux	spouse	351	128	223
coniuge	coniug	e	Abl.Sg	mh, fh	3	coniux	spouse	351	128	223
coniugibus	coniug	ibus	Abl.Pl	mh, fh	3	coniux	spouse	351	128	223
coniūx	coniūx	NULL	Voc.Sg	mh, fh	3	coniux	spouse	351	128	223
coniugēs	coniug	ēs	Voc.Pl	mh, fh	3	coniux	spouse	351	128	223
nāvis	nāv	is	Nom.Sg	f	3	navis	ship	349	270	79
nāvēs	nāv	ēs	Nom.Pl	f	3	navis	ship	349	270	79
nāvis	nāv	is	Gen.Sg	f	3	navis	ship	349	270	79
nāvium	nāv	ium	Gen.Pl	f	3	navis	ship	349	270	79
nāvī	nāv	ī	Dat.Sg	f	3	navis	ship	349	270	79
nāvibus	nāv	ibus	Dat.Pl	f	3	navis	ship	349	270	79
nāvem	nāv	em	Acc.Sg	f	3	navis	ship	349	270	79
nāvēs	nāv	ēs	Acc.Pl	f	3	navis	ship	349	270	79
nāve	nāv	e	Abl.Sg	f	3	navis	ship	349	270	79
nāvibus	nāv	ibus	Abl.Pl	f	3	navis	ship	349	270	79
nāvis	nāv	is	Voc.Sg	f	3	navis	ship	349	270	79
nāvēs	nāv	ēs	Voc.Pl	f	3	navis	ship	349	270	79
silva	silv	a	Nom.Sg	f	1	silva	wood, forest	341	137	204
silvae	silv	ae	Nom.Pl	f	1	silva	wood, forest	341	137	204
silvae	silv	ae	Gen.Sg	f	1	silva	wood, forest	341	137	204
silvārum	silv	ārum	Gen.Pl	f	1	silva	wood, forest	341	137	204
silvae	silv	ae	Dat.Sg	f	1	silva	wood, forest	341	137	204
silvīs	silv	īs	Dat.Pl	f	1	silva	wood, forest	341	137	204
silvam	silv	am	Acc.Sg	f	1	silva	wood, forest	341	137	204
silvās	silv	ās	Acc.Pl	f	1	silva	wood, forest	341	137	204
silvā	silv	ā	Abl.Sg	f	1	silva	wood, forest	341	137	204
silvīs	silv	īs	Abl.Pl	f	1	silva	wood, forest	341	137	204
silva	silv	a	Voc.Sg	f	1	silva	wood, forest	341	137	204
silvae	silv	ae	Voc.Pl	f	1	silva	wood, forest	341	137	204
impetus	impet	us	Nom.Sg	m	4	impetus	attack	339	296	43
impetūs	impet	ūs	Nom.Pl	m	4	impetus	attack	339	296	43
impetūs	impet	ūs	Gen.Sg	m	4	impetus	attack	339	296	43
impetuum	impet	uum	Gen.Pl	m	4	impetus	attack	339	296	43
impetuī	impet	uī	Dat.Sg	m	4	impetus	attack	339	296	43
impetibus	impet	ibus	Dat.Pl	m	4	impetus	attack	339	296	43
impetum	impet	um	Acc.Sg	m	4	impetus	attack	339	296	43
impetūs	impet	ūs	Acc.Pl	m	4	impetus	attack	339	296	43
impetū	impet	ū	Abl.Sg	m	4	impetus	attack	339	296	43
impetibus	impet	ibus	Abl.Pl	m	4	impetus	attack	339	296	43
impetus	impet	us	Voc.Sg	m	4	impetus	attack	339	296	43
impetūs	impet	ūs	Voc.Pl	m	4	impetus	attack	339	296	43
ager	ager	NULL	Nom.Sg	m	2	ager	field, farm	337	230	107
agrī	agr	ī	Nom.Pl	m	2	ager	field, farm	337	230	107
agrī	agr	ī	Gen.Sg	m	2	ager	field, farm	337	230	107
agrōrum	agr	ōrum	Gen.Pl	m	2	ager	field, farm	337	230	107
agrō	agr	ō	Dat.Sg	m	2	ager	field, farm	337	230	107
agrīs	agr	īs	Dat.Pl	m	2	ager	field, farm	337	230	107
agrum	agr	um	Acc.Sg	m	2	ager	field, farm	337	230	107
agrōs	agr	ōs	Acc.Pl	m	2	ager	field, farm	337	230	107
agrō	agr	ō	Abl.Sg	m	2	ager	field, farm	337	230	107
agrīs	agr	īs	Abl.Pl	m	2	ager	field, farm	337	230	107
ager	ager	NULL	Voc.Sg	m	2	ager	field, farm	337	230	107
agrī	agr	ī	Voc.Pl	m	2	ager	field, farm	337	230	107
studium	studi	um	Nom.Sg	n	2	studium	study	335	302	33
studia	studi	a	Nom.Pl	n	2	studium	study	335	302	33
studiī	studi	ī	Gen.Sg	n	2	studium	study	335	302	33
studiōrum	studi	ōrum	Gen.Pl	n	2	studium	study	335	302	33
studiō	studi	ō	Dat.Sg	n	2	studium	study	335	302	33
studiīs	studi	īs	Dat.Pl	n	2	studium	study	335	302	33
studium	studi	um	Acc.Sg	n	2	studium	study	335	302	33
studia	studi	a	Acc.Pl	n	2	studium	study	335	302	33
studiō	studi	ō	Abl.Sg	n	2	studium	study	335	302	33
studiīs	studi	īs	Abl.Pl	n	2	studium	study	335	302	33
studium	studi	um	Voc.Sg	n	2	studium	study	335	302	33
studia	studi	a	Voc.Pl	n	2	studium	study	335	302	33
aciēs	aci	ēs	Nom.Sg	f	5	acies	sharp edge, battle line	328	286	42
aciēs	aci	ēs	Nom.Pl	f	5	acies	sharp edge, battle line	328	286	42
aciēī	aci	ēī	Gen.Sg	f	5	acies	sharp edge, battle line	328	286	42
aciērum	aci	ērum	Gen.Pl	f	5	acies	sharp edge, battle line	328	286	42
aciēī	aci	ēī	Dat.Sg	f	5	acies	sharp edge, battle line	328	286	42
aciēbus	aci	ēbus	Dat.Pl	f	5	acies	sharp edge, battle line	328	286	42
aciem	aci	em	Acc.Sg	f	5	acies	sharp edge, battle line	328	286	42
aciēs	aci	ēs	Acc.Pl	f	5	acies	sharp edge, battle line	328	286	42
aciē	aci	ē	Abl.Sg	f	5	acies	sharp edge, battle line	328	286	42
aciēbus	aci	ēbus	Abl.Pl	f	5	acies	sharp edge, battle line	328	286	42
aciēs	aci	ēs	Voc.Sg	f	5	acies	sharp edge, battle line	328	286	42
aciēs	aci	ēs	Voc.Pl	f	5	acies	sharp edge, battle line	328	286	42
vulnus	vulnus	NULL	Nom.Sg	n	3	vulnus	wound, injury	324	212	112
vulnera	vulner	a	Nom.Pl	n	3	vulnus	wound, injury	324	212	112
vulneris	vulner	is	Gen.Sg	n	3	vulnus	wound, injury	324	212	112
vulnerum	vulner	um	Gen.Pl	n	3	vulnus	wound, injury	324	212	112
vulnerī	vulner	ī	Dat.Sg	n	3	vulnus	wound, injury	324	212	112
vulneribus	vulner	ibus	Dat.Pl	n	3	vulnus	wound, injury	324	212	112
vulnus	vulnus	NULL	Acc.Sg	n	3	vulnus	wound, injury	324	212	112
vulnera	vulner	a	Acc.Pl	n	3	vulnus	wound, injury	324	212	112
vulnere	vulner	e	Abl.Sg	n	3	vulnus	wound, injury	324	212	112
vulneribus	vulner	ibus	Abl.Pl	n	3	vulnus	wound, injury	324	212	112
vulnus	vulnus	NULL	Voc.Sg	n	3	vulnus	wound, injury	324	212	112
vulnera	vulner	a	Voc.Pl	n	3	vulnus	wound, injury	324	212	112
fuga	fug	a	Nom.Sg	f	1	fuga	flight, escape, exile	323	238	85
fugae	fug	ae	Nom.Pl	f	1	fuga	flight, escape, exile	323	238	85
fugae	fug	ae	Gen.Sg	f	1	fuga	flight, escape, exile	323	238	85
fugārum	fug	ārum	Gen.Pl	f	1	fuga	flight, escape, exile	323	238	85
fugae	fug	ae	Dat.Sg	f	1	fuga	flight, escape, exile	323	238	85
fugīs	fug	īs	Dat.Pl	f	1	fuga	flight, escape, exile	323	238	85
fugam	fug	am	Acc.Sg	f	1	fuga	flight, escape, exile	323	238	85
fugās	fug	ās	Acc.Pl	f	1	fuga	flight, escape, exile	323	238	85
fugā	fug	ā	Abl.Sg	f	1	fuga	flight, escape, exile	323	238	85
fugīs	fug	īs	Abl.Pl	f	1	fuga	flight, escape, exile	323	238	85
fuga	fug	a	Voc.Sg	f	1	fuga	flight, escape, exile	323	238	85
fugae	fug	ae	Voc.Pl	f	1	fuga	flight, escape, exile	323	238	85
pecūnia	pecūni	a	Nom.Sg	f	1	pecunia	money, wealth	322	311	11
pecūniae	pecūni	ae	Nom.Pl	f	1	pecunia	money, wealth	322	311	11
pecūniae	pecūni	ae	Gen.Sg	f	1	pecunia	money, wealth	322	311	11
pecūniārum	pecūni	ārum	Gen.Pl	f	1	pecunia	money, wealth	322	311	11
pecūniae	pecūni	ae	Dat.Sg	f	1	pecunia	money, wealth	322	311	11
pecūniīs	pecūni	īs	Dat.Pl	f	1	pecunia	money, wealth	322	311	11
pecūniam	pecūni	am	Acc.Sg	f	1	pecunia	money, wealth	322	311	11
pecūniās	pecūni	ās	Acc.Pl	f	1	pecunia	money, wealth	322	311	11
pecūniā	pecūni	ā	Abl.Sg	f	1	pecunia	money, wealth	322	311	11
pecūniīs	pecūni	īs	Abl.Pl	f	1	pecunia	money, wealth	322	311	11
pecūnia	pecūni	a	Voc.Sg	f	1	pecunia	money, wealth	322	311	11
pecūniae	pecūni	ae	Voc.Pl	f	1	pecunia	money, wealth	322	311	11
mūnus	mūnus	NULL	Nom.Sg	n	3	munus	service, buden, duty, gift	322	157	165
mūnera	mūner	a	Nom.Pl	n	3	munus	service, buden, duty, gift	322	157	165
mūneris	mūner	is	Gen.Sg	n	3	munus	service, buden, duty, gift	322	157	165
mūnerum	mūner	um	Gen.Pl	n	3	munus	service, buden, duty, gift	322	157	165
mūnerī	mūner	ī	Dat.Sg	n	3	munus	service, buden, duty, gift	322	157	165
mūneribus	mūner	ibus	Dat.Pl	n	3	munus	service, buden, duty, gift	322	157	165
mūnus	mūnus	NULL	Acc.Sg	n	3	munus	service, buden, duty, gift	322	157	165
mūnera	mūner	a	Acc.Pl	n	3	munus	service, buden, duty, gift	322	157	165
mūnere	mūner	e	Abl.Sg	n	3	munus	service, buden, duty, gift	322	157	165
mūneribus	mūner	ibus	Abl.Pl	n	3	munus	service, buden, duty, gift	322	157	165
mūnus	mūnus	NULL	Voc.Sg	n	3	munus	service, buden, duty, gift	322	157	165
mūnera	mūner	a	Voc.Pl	n	3	munus	service, buden, duty, gift	322	157	165
lībertās	lībertās	NULL	Nom.Sg	f	3	libertas	liberty, freedom	321	297	24
lībertātēs	lībertāt	ēs	Nom.Pl	f	3	libertas	liberty, freedom	321	297	24
lībertātis	lībertāt	is	Gen.Sg	f	3	libertas	liberty, freedom	321	297	24
lībertātum	lībertāt	um	Gen.Pl	f	3	libertas	liberty, freedom	321	297	24
lībertātī	lībertāt	ī	Dat.Sg	f	3	libertas	liberty, freedom	321	297	24
lībertātibus	lībertāt	ibus	Dat.Pl	f	3	libertas	liberty, freedom	321	297	24
lībertātem	lībertāt	em	Acc.Sg	f	3	libertas	liberty, freedom	321	297	24
lībertātēs	lībertāt	ēs	Acc.Pl	f	3	libertas	liberty, freedom	321	297	24
lībertāte	lībertāt	e	Abl.Sg	f	3	libertas	liberty, freedom	321	297	24
lībertātibus	lībertāt	ibus	Abl.Pl	f	3	libertas	liberty, freedom	321	297	24
lībertās	lībertās	NULL	Voc.Sg	f	3	libertas	liberty, freedom	321	297	24
lībertātēs	lībertāt	ēs	Voc.Pl	f	3	libertas	liberty, freedom	321	297	24
pāx	pāx	NULL	Nom.Sg	f	3	pax	peace	318	245	73
pācēs	pāc	ēs	Nom.Pl	f	3	pax	peace	318	245	73
pācis	pāc	is	Gen.Sg	f	3	pax	peace	318	245	73
pācum	pāc	um	Gen.Pl	f	3	pax	peace	318	245	73
pācī	pāc	ī	Dat.Sg	f	3	pax	peace	318	245	73
pācibus	pāc	ibus	Dat.Pl	f	3	pax	peace	318	245	73
pācem	pāc	em	Acc.Sg	f	3	pax	peace	318	245	73
pācēs	pāc	ēs	Acc.Pl	f	3	pax	peace	318	245	73
pāce	pāc	e	Abl.Sg	f	3	pax	peace	318	245	73
pācibus	pāc	ibus	Abl.Pl	f	3	pax	peace	318	245	73
pāx	pāx	NULL	Voc.Sg	f	3	pax	peace	318	245	73
pācēs	pāc	ēs	Voc.Pl	f	3	pax	peace	318	245	73
cīvis	cīv	is	Nom.Sg	mh, fh	3	civis	citizen	315	279	36
cīvēs	cīv	ēs	Nom.Pl	mh, fh	3	civis	citizen	315	279	36
cīvis	cīv	is	Gen.Sg	mh, fh	3	civis	citizen	315	279	36
cīvium	cīv	ium	Gen.Pl	mh, fh	3	civis	citizen	315	279	36
cīvī	cīv	ī	Dat.Sg	mh, fh	3	civis	citizen	315	279	36
cīvibus	cīv	ibus	Dat.Pl	mh, fh	3	civis	citizen	315	279	36
cīvem	cīv	em	Acc.Sg	mh, fh	3	civis	citizen	315	279	36
cīvēs	cīv	ēs	Acc.Pl	mh, fh	3	civis	citizen	315	279	36
cīve	cīv	e	Abl.Sg	mh, fh	3	civis	citizen	315	279	36
cīvibus	cīv	ibus	Abl.Pl	mh, fh	3	civis	citizen	315	279	36
cīvis	cīv	is	Voc.Sg	mh, fh	3	civis	citizen	315	279	36
cīvēs	cīv	ēs	Voc.Pl	mh, fh	3	civis	citizen	315	279	36
lūx	lūx	NULL	Nom.Sg	f	3	lux	light	314	174	140
lūcēs	lūc	ēs	Nom.Pl	f	3	lux	light	314	174	140
lūcis	lūc	is	Gen.Sg	f	3	lux	light	314	174	140
lūcum	lūc	um	Gen.Pl	f	3	lux	light	314	174	140
lūcī	lūc	ī	Dat.Sg	f	3	lux	light	314	174	140
lūcibus	lūc	ibus	Dat.Pl	f	3	lux	light	314	174	140
lūcem	lūc	em	Acc.Sg	f	3	lux	light	314	174	140
lūcēs	lūc	ēs	Acc.Pl	f	3	lux	light	314	174	140
lūce	lūc	e	Abl.Sg	f	3	lux	light	314	174	140
lūcibus	lūc	ibus	Abl.Pl	f	3	lux	light	314	174	140
lūx	lūx	NULL	Voc.Sg	f	3	lux	light	314	174	140
lūcēs	lūc	ēs	Voc.Pl	f	3	lux	light	314	174	140
ōrdō	ōrdō	NULL	Nom.Sg	m	3	ordo	order, class, rank	313	252	61
ōrdinēs	ōrdin	ēs	Nom.Pl	m	3	ordo	order, class, rank	313	252	61
ōrdinis	ōrdin	is	Gen.Sg	m	3	ordo	order, class, rank	313	252	61
ōrdinum	ōrdin	um	Gen.Pl	m	3	ordo	order, class, rank	313	252	61
ōrdinī	ōrdin	ī	Dat.Sg	m	3	ordo	order, class, rank	313	252	61
ōrdinibus	ōrdin	ibus	Dat.Pl	m	3	ordo	order, class, rank	313	252	61
ōrdinem	ōrdin	em	Acc.Sg	m	3	ordo	order, class, rank	313	252	61
ōrdinēs	ōrdin	ēs	Acc.Pl	m	3	ordo	order, class, rank	313	252	61
ōrdine	ōrdin	e	Abl.Sg	m	3	ordo	order, class, rank	313	252	61
ōrdinibus	ōrdin	ibus	Abl.Pl	m	3	ordo	order, class, rank	313	252	61
ōrdō	ōrdō	NULL	Voc.Sg	m	3	ordo	order, class, rank	313	252	61
ōrdinēs	ōrdin	ēs	Voc.Pl	m	3	ordo	order, class, rank	313	252	61
sōl	sōl	NULL	Nom.Sg	m	3	sol	sun	312	185	127
sōlēs	sōl	ēs	Nom.Pl	m	3	sol	sun	312	185	127
sōlis	sōl	is	Gen.Sg	m	3	sol	sun	312	185	127
sōlum	sōl	um	Gen.Pl	m	3	sol	sun	312	185	127
sōlī	sōl	ī	Dat.Sg	m	3	sol	sun	312	185	127
sōlibus	sōl	ibus	Dat.Pl	m	3	sol	sun	312	185	127
sōlem	sōl	em	Acc.Sg	m	3	sol	sun	312	185	127
sōlēs	sōl	ēs	Acc.Pl	m	3	sol	sun	312	185	127
sōle	sōl	e	Abl.Sg	m	3	sol	sun	312	185	127
sōlibus	sōl	ibus	Abl.Pl	m	3	sol	sun	312	185	127
sōl	sōl	NULL	Voc.Sg	m	3	sol	sun	312	185	127
sōlēs	sōl	ēs	Voc.Pl	m	3	sol	sun	312	185	127
iuvenis	iuven	is	Nom.Sg	mh, fh	3	iuvenis	youth	311	140	171
iuvenēs	iuven	ēs	Nom.Pl	mh, fh	3	iuvenis	youth	311	140	171
iuvenis	iuven	is	Gen.Sg	mh, fh	3	iuvenis	youth	311	140	171
iuvenum	iuven	um	Gen.Pl	mh, fh	3	iuvenis	youth	311	140	171
iuvenī	iuven	ī	Dat.Sg	mh, fh	3	iuvenis	youth	311	140	171
iuvenibus	iuven	ibus	Dat.Pl	mh, fh	3	iuvenis	youth	311	140	171
iuvenem	iuven	em	Acc.Sg	mh, fh	3	iuvenis	youth	311	140	171
iuvenēs	iuven	ēs	Acc.Pl	mh, fh	3	iuvenis	youth	311	140	171
iuvene	iuven	e	Abl.Sg	mh, fh	3	iuvenis	youth	311	140	171
iuvenibus	iuven	ibus	Abl.Pl	mh, fh	3	iuvenis	youth	311	140	171
iuvenis	iuven	is	Voc.Sg	mh, fh	3	iuvenis	youth	311	140	171
iuvenēs	iuven	ēs	Voc.Pl	mh, fh	3	iuvenis	youth	311	140	171
spatium	spati	um	Nom.Sg	n	2	spatium	space, room	310	252	58
spatia	spati	a	Nom.Pl	n	2	spatium	space, room	310	252	58
spatiī	spati	ī	Gen.Sg	n	2	spatium	space, room	310	252	58
spatiōrum	spati	ōrum	Gen.Pl	n	2	spatium	space, room	310	252	58
spatiō	spati	ō	Dat.Sg	n	2	spatium	space, room	310	252	58
spatiīs	spati	īs	Dat.Pl	n	2	spatium	space, room	310	252	58
spatium	spati	um	Acc.Sg	n	2	spatium	space, room	310	252	58
spatia	spati	a	Acc.Pl	n	2	spatium	space, room	310	252	58
spatiō	spati	ō	Abl.Sg	n	2	spatium	space, room	310	252	58
spatiīs	spati	īs	Abl.Pl	n	2	spatium	space, room	310	252	58
spatium	spati	um	Voc.Sg	n	2	spatium	space, room	310	252	58
spatia	spati	a	Voc.Pl	n	2	spatium	space, room	310	252	58
unda	und	a	Nom.Sg	f	1	unda	wave	308	31	277
undae	und	ae	Nom.Pl	f	1	unda	wave	308	31	277
undae	und	ae	Gen.Sg	f	1	unda	wave	308	31	277
undārum	und	ārum	Gen.Pl	f	1	unda	wave	308	31	277
undae	und	ae	Dat.Sg	f	1	unda	wave	308	31	277
undīs	und	īs	Dat.Pl	f	1	unda	wave	308	31	277
undam	und	am	Acc.Sg	f	1	unda	wave	308	31	277
undās	und	ās	Acc.Pl	f	1	unda	wave	308	31	277
undā	und	ā	Abl.Sg	f	1	unda	wave	308	31	277
undīs	und	īs	Abl.Pl	f	1	unda	wave	308	31	277
unda	und	a	Voc.Sg	f	1	unda	wave	308	31	277
undae	und	ae	Voc.Pl	f	1	unda	wave	308	31	277
animal	animal	NULL	Nom.Sg	n	3	animal	animal	307	293	14
