Declined Noun	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
abellana:accpl	f,1,acc,pl,abellanaas	f,1,nom,sg,abellana	f,1,nom,sg,abellana	f,1,nom,sg,abellana	f,1,nom,sg,abellana	f,1,nom,sg,abellana	f,1,nom,sg,abellana	f,1,gen,sg,abellanai	f,1,gen,sg,abellanai	f,1,gen,sg,abellanai	f,1,gen,sg,abellanai	f,1,gen,sg,abellanai	f,1,gen,sg,abellanai	f,1,gen,sg,abellanai	f,1,gen,sg,abellanai	f,1,gen,sg,abellanai
abellana:nompl	f,1,nom,pl,abellanai	f,1,gen,sg,abellanai	f,1,nom,sg,abellana	f,1,nom,sg,abellana	f,1,nom,sg,abellana	f,1,nom,sg,abellana	f,1,nom,sg,abellana	f,1,gen,sg,abellanai	f,1,gen,sg,abellanai	f,1,gen,sg,abellanai	f,1,gen,sg,abellanai	f,1,gen,sg,abellanai	f,1,gen,sg,abellanai	f,1,gen,sg,abellanai	f,1,gen,sg,abellanai	f,1,gen,sg,abellanai
abellana:accsg	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,gen,sg,abellanai	f,1,gen,sg,abellanai	f,1,gen,sg,abellanai
abellana:genpl	f,1,gen,pl,abellanaarum	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,acc,sg,abellanam	f,1,gen,sg,abellanai	f,1,gen,sg,abellanai	f,1,gen,sg,abellanai
abellana:gensg	f,1,gen,sg,abellanai	f,1,gen,sg,abellanai	f,1,nom,sg,abellana	f,1,nom,sg,abellana	f,1,nom,sg,abellana	f,1,nom,sg,abellana	f,1,nom,sg,abellana	f,1,gen,sg,abellanai	f,1,gen,sg,abellanai	f,1,gen,sg,abellanai	f,1,gen,sg,abellanai	f,1,gen,sg,abellanai	f,1,gen,sg,abellanai	f,1,gen,sg,abellanai	f,1,gen,sg,abellanai	f,1,gen,sg,abellanai
abellana:nomsg	f,1,nom,sg,abellana	f,1,nom,sg,abellana	f,1,nom,sg,abellana	f,1,nom,sg,abellana	f,1,nom,sg,abellana	f,1,nom,sg,abellana	f,1,nom,sg,abellana	f,1,gen,sg,abellanai	f,1,gen,sg,abellanai	f,1,gen,sg,abellanai	f,1,gen,sg,abellanai	f,1,gen,sg,abellanai	f,1,gen,sg,abellanai	f,1,gen,sg,abellanai	f,1,gen,sg,abellanai	f,1,gen,sg,abellanai
absinthium:accpl	n,2,acc,pl,absintia	f,1,acc,sg,absintium	f,1,acc,sg,absintium	m,1,acc,sg,absintium	f,1,acc,sg,absintium	m,1,acc,sg,absintium	m,2,acc,sg,absintium	m,2,acc,sg,absintium	m,2,acc,sg,absintium	m,2,acc,sg,absintium	m,2,acc,sg,absintium	m,2,acc,sg,absintium	m,2,acc,sg,absintium	m,2,acc,sg,absintium	m,2,acc,sg,absintium	m,2,acc,sg,absintium
absinthium:nompl	n,2,nom,pl,absintia	f,1,acc,sg,absintium	f,1,acc,sg,absintium	m,1,acc,sg,absintium	f,1,acc,sg,absintium	m,1,acc,sg,absintium	m,2,acc,sg,absintium	m,2,acc,sg,absintium	m,2,acc,sg,absintium	m,2,acc,sg,absintium	m,2,acc,sg,absintium	m,2,acc,sg,absintium	m,2,acc,sg,absintium	m,2,acc,sg,absintium	m,2,acc,sg,absintium	m,2,acc,sg,absintium
absinthium:accsg	n,2,acc,sg,absintium	m,2,acc,sg,absintium	f,1,acc,sg,absintium	m,1,acc,sg,absintium	f,1,acc,sg,absintium	m,1,acc,sg,absintium	m,2,acc,sg,absintium	m,2,acc,sg,absintium	m,2,acc,sg,absintium	m,2,acc,sg,absintium	m,2,acc,sg,absintium	m,2,acc,sg,absintium	m,2,acc,sg,absintium	m,2,acc,sg,absintium	m,2,acc,sg,absintium	m,2,acc,sg,absintium
absinthium:genpl	n,2,gen,pl,absintioorum	f,3,acc,sg,absintium	f,1,acc,sg,absintium	m,1,acc,sg,absintium	f,1,acc,sg,absintium	m,1,acc,sg,absintium	m,2,acc,sg,absintium	m,2,acc,sg,absintium	m,2,acc,sg,absintium	m,2,acc,sg,absintium	m,2,acc,sg,absintium	m,2,acc,sg,absintium	m,2,acc,sg,absintium	m,2,acc,sg,absintium	m,2,acc,sg,absintium	m,2,acc,sg,absintium
