Word	Declension	Gender	TotFreq	Declined	0	1
acies:Nom.Sg	5	f	328	aciēs	ēs	ēs
acies:Abl.Pl	5	f	328	aciēbus	ēbus	ē
acies:Dat.Sg	5	f	328	aciēī	ēī	ē
acies:Acc.Pl	5	f	328	aciēs	ēs	ēs
acies:Gen.Sg	5	f	328	aciēī	ēī	ē
acies:Gen.Pl	5	f	328	aciērum	ērum	a
acies:Abl.Sg	5	f	328	aciē	ē	e
acies:Nom.Pl	5	f	328	aciēs	ēs	ēs
acies:Acc.Sg	5	f	328	aciem	em	em
acies:Dat.Pl	5	f	328	aciēbus	ēbus	ū
aditus:Nom.Sg	4	m	107	aditus	us	ūs
aditus:Abl.Pl	4	m	107	aditibus	ibus	ibus
aditus:Dat.Sg	4	m	107	adituī	uī	um
aditus:Acc.Pl	4	m	107	aditūs	ūs	ūs
aditus:Gen.Sg	4	m	107	aditūs	ūs	ūs
aditus:Gen.Pl	4	m	107	adituum	uum	um
aditus:Abl.Sg	4	m	107	aditū	ū	ū
aditus:Nom.Pl	4	m	107	aditūs	ūs	ūs
aditus:Acc.Sg	4	m	107	aditum	um	um
aditus:Dat.Pl	4	m	107	aditibus	ibus	ibus
adulter:Nom.Sg	2	m	55	adulter		ū
adulter:Abl.Pl	2	m	55	adulterīs	īs	īs
adulter:Dat.Sg	2	m	55	adulterō	ō	ō
adulter:Acc.Pl	2	m	55	adulterōs	ōs	
adulter:Gen.Sg	2	m	55	adulterī	ī	ī
adulter:Gen.Pl	2	m	55	adulterōrum	ōrum	ōrum
adulter:Abl.Sg	2	m	55	adulterō	ō	ō
adulter:Nom.Pl	2	m	55	adulterī	ī	ī
adulter:Acc.Sg	2	m	55	adulterum	um	um
adulter:Dat.Pl	2	m	55	adulterīs	īs	īs
adventus:Nom.Sg	4	m	112	adventus	us	ūs
adventus:Abl.Pl	4	m	112	adventibus	ibus	ibus
adventus:Dat.Sg	4	m	112	adventuī	uī	um
adventus:Acc.Pl	4	m	112	adventūs	ūs	ūs
adventus:Gen.Sg	4	m	112	adventūs	ūs	ūs
adventus:Gen.Pl	4	m	112	adventuum	uum	um
adventus:Abl.Sg	4	m	112	adventū	ū	ū
adventus:Nom.Pl	4	m	112	adventūs	ūs	ūs
adventus:Acc.Sg	4	m	112	adventum	um	um
adventus:Dat.Pl	4	m	112	adventibus	ibus	ibus
aedes:Nom.Sg	3	f	68	aedēs	ēs	ēs
aedes:Abl.Pl	3	f	68	aedibus	ibus	ibus
aedes:Dat.Sg	3	f	68	aedī	ī	ī
aedes:Acc.Pl	3	f	68	aedēs	ēs	ēs
aedes:Gen.Sg	3	f	68	aedis	is	is
aedes:Gen.Pl	3	f	68	aedium	ium	a
aedes:Abl.Sg	3	f	68	aede	e	e
aedes:Nom.Pl	3	f	68	aedēs	ēs	ēs
aedes:Acc.Sg	3	f	68	aedem	em	em
aedes:Dat.Pl	3	f	68	aedibus	ibus	ibus
aer:Nom.Sg	3	m	78	āēr		
aer:Abl.Pl	3	m	78	āeribus	ibus	ibus
aer:Dat.Sg	3	m	78	āerī	ī	ī
aer:Acc.Pl	3	m	78	āerēs	ēs	ēs
aer:Gen.Sg	3	m	78	āeris	is	is
aer:Gen.Pl	3	m	78	āerum	um	um
aer:Abl.Sg	3	m	78	āere	e	e
aer:Nom.Pl	3	m	78	āerēs	ēs	ēs
aer:Acc.Sg	3	m	78	āera	a	ae
aer:Dat.Pl	3	m	78	āeribus	ibus	ibus
aes:Nom.Sg	3	n	141	aes		
aes:Abl.Pl	3	n	141	aeribus	ibus	ibus
aes:Dat.Sg	3	n	141	aerī	ī	ī
aes:Acc.Pl	3	n	141	aera	a	a
aes:Gen.Sg	3	n	141	aeris	is	is
aes:Gen.Pl	3	n	141	aerum	um	um
aes:Abl.Sg	3	n	141	aere	e	e
aes:Nom.Pl	3	n	141	aera	a	a
aes:Acc.Sg	3	n	141	aes		
aes:Dat.Pl	3	n	141	aeribus	ibus	ibus
aestas:Nom.Sg	3	f	89	aestās		
aestas:Abl.Pl	3	f	89	aestātibus	ibus	ibus
aestas:Dat.Sg	3	f	89	aestātī	ī	ū
aestas:Acc.Pl	3	f	89	aestātēs	ēs	ēs
aestas:Gen.Sg	3	f	89	aestātis	is	ērum
aestas:Gen.Pl	3	f	89	aestātum	um	um
aestas:Abl.Sg	3	f	89	aestāte	e	e
aestas:Nom.Pl	3	f	89	aestātēs	ēs	ēs
aestas:Acc.Sg	3	f	89	aestātem	em	em
aestas:Dat.Pl	3	f	89	aestātibus	ibus	ibus
aestus:Nom.Sg	4	m	105	aestus	us	ūs
aestus:Abl.Pl	4	m	105	aestibus	ibus	ibus
aestus:Dat.Sg	4	m	105	aestuī	uī	um
aestus:Acc.Pl	4	m	105	aestūs	ūs	ūs
aestus:Gen.Sg	4	m	105	aestūs	ūs	ūs
aestus:Gen.Pl	4	m	105	aestuum	uum	um
aestus:Abl.Sg	4	m	105	aestū	ū	ū
aestus:Nom.Pl	4	m	105	aestūs	ūs	ūs
aestus:Acc.Sg	4	m	105	aestum	um	um
aestus:Dat.Pl	4	m	105	aestibus	ibus	ibus
aetas:Nom.Sg	3	f	418	aetās		
aetas:Abl.Pl	3	f	418	aetātibus	ibus	ibus
aetas:Dat.Sg	3	f	418	aetātī	ī	ī
aetas:Acc.Pl	3	f	418	aetātēs	ēs	ēs
aetas:Gen.Sg	3	f	418	aetātis	is	is
aetas:Gen.Pl	3	f	418	aetātum	um	um
aetas:Abl.Sg	3	f	418	aetāte	e	e
aetas:Nom.Pl	3	f	418	aetātēs	ēs	ēs
aetas:Acc.Sg	3	f	418	aetātem	em	em
aetas:Dat.Pl	3	f	418	aetātibus	ibus	ibus
aevum:Nom.Sg	2	n	91	aevum	um	um
aevum:Abl.Pl	2	n	91	aevīs	īs	īs
aevum:Dat.Sg	2	n	91	aevō	ō	ō
aevum:Acc.Pl	2	n	91	aeva	a	a
aevum:Gen.Sg	2	n	91	aevī	ī	ī
aevum:Gen.Pl	2	n	91	aevōrum	ōrum	ōrum
aevum:Abl.Sg	2	n	91	aevō	ō	ō
aevum:Nom.Pl	2	n	91	aeva	a	a
aevum:Acc.Sg	2	n	91	aevum	um	um
aevum:Dat.Pl	2	n	91	aevīs	īs	īs
affectus:Nom.Sg	4	m	185	affectus	us	ērum
affectus:Abl.Pl	4	m	185	affectibus	ibus	ibus
affectus:Dat.Sg	4	m	185	affectuī	uī	um
affectus:Acc.Pl	4	m	185	affectūs	ūs	ūs
affectus:Gen.Sg	4	m	185	affectūs	ūs	ūs
affectus:Gen.Pl	4	m	185	affectuum	uum	um
affectus:Abl.Sg	4	m	185	affectū	ū	ū
affectus:Nom.Pl	4	m	185	affectūs	ūs	ūs
affectus:Acc.Sg	4	m	185	affectum	um	um
affectus:Dat.Pl	4	m	185	affectibus	ibus	ibus
ager:Nom.Sg	2	m	337	ager		ī
ager:Abl.Pl	2	m	337	agrīs	īs	īs
ager:Dat.Sg	2	m	337	agrō	ō	ō
ager:Acc.Pl	2	m	337	agrōs	ōs	
ager:Gen.Sg	2	m	337	agrī	ī	ī
ager:Gen.Pl	2	m	337	agrōrum	ōrum	ōrum
ager:Abl.Sg	2	m	337	agrō	ō	ō
ager:Nom.Pl	2	m	337	agrī	ī	ī
ager:Acc.Sg	2	m	337	agrum	um	um
ager:Dat.Pl	2	m	337	agrīs	īs	īs
agger:Nom.Sg	3	m	76	agger		
agger:Abl.Pl	3	m	76	aggeribus	ibus	ibus
agger:Dat.Sg	3	m	76	aggerī	ī	ī
agger:Acc.Pl	3	m	76	aggerēs	ēs	ēs
agger:Gen.Sg	3	m	76	aggeris	is	is
agger:Gen.Pl	3	m	76	aggerum	um	um
agger:Abl.Sg	3	m	76	aggere	e	e
agger:Nom.Pl	3	m	76	aggerēs	ēs	ēs
agger:Acc.Sg	3	m	76	aggerem	em	em
agger:Dat.Pl	3	m	76	aggeribus	ibus	ibus
agmen:Nom.Sg	3	n	360	agmen		
agmen:Abl.Pl	3	n	360	agminibus	ibus	ibus
agmen:Dat.Sg	3	n	360	agminī	ī	ī
agmen:Acc.Pl	3	n	360	agmina	a	a
agmen:Gen.Sg	3	n	360	agminis	is	is
agmen:Gen.Pl	3	n	360	agminum	um	um
agmen:Abl.Sg	3	n	360	agmine	e	e
agmen:Nom.Pl	3	n	360	agmina	a	a
agmen:Acc.Sg	3	n	360	agmen		
agmen:Dat.Pl	3	n	360	agminibus	ibus	ibus
ala:Nom.Sg	1	f	73	āla	a	a
ala:Abl.Pl	1	f	73	ālīs	īs	īs
ala:Dat.Sg	1	f	73	ālae	ae	ae
ala:Acc.Pl	1	f	73	ālās	ās	ās
ala:Gen.Sg	1	f	73	ālae	ae	ae
ala:Gen.Pl	1	f	73	ālārum	ārum	ārum
ala:Abl.Sg	1	f	73	ālā	ā	ās
ala:Nom.Pl	1	f	73	ālae	ae	a
ala:Acc.Sg	1	f	73	ālam	am	am
ala:Dat.Pl	1	f	73	ālīs	īs	īs
altum:Nom.Sg	2	n	96	altum	um	um
altum:Abl.Pl	2	n	96	altīs	īs	īs
altum:Dat.Sg	2	n	96	altō	ō	ō
altum:Acc.Pl	2	n	96	alta	a	a
altum:Gen.Sg	2	n	96	altī	ī	ī
altum:Gen.Pl	2	n	96	altōrum	ōrum	ōrum
altum:Abl.Sg	2	n	96	altō	ō	ō
altum:Nom.Pl	2	n	96	alta	a	a
altum:Acc.Sg	2	n	96	altum	um	um
altum:Dat.Pl	2	n	96	altīs	īs	īs
amica:Nom.Sg	1	f	564	amīca	a	a
amica:Abl.Pl	1	f	564	amīcīs	īs	ōrum
amica:Dat.Sg	1	f	564	amīcae	ae	ae
amica:Acc.Pl	1	f	564	amīcās	ās	ās
amica:Gen.Sg	1	f	564	amīcae	ae	ae
amica:Gen.Pl	1	f	564	amīcārum	ārum	ārum
amica:Abl.Sg	1	f	564	amīcā	ā	ās
amica:Nom.Pl	1	f	564	amīcae	ae	a
amica:Acc.Sg	1	f	564	amīcam	am	am
amica:Dat.Pl	1	f	564	amīcīs	īs	īs
amicus:Nom.Sg	2	m	564	amīcus	us	us
amicus:Abl.Pl	2	m	564	amīcīs	īs	īs
amicus:Dat.Sg	2	m	564	amīcō	ō	ō
amicus:Acc.Pl	2	m	564	amīcōs	ōs	
amicus:Gen.Sg	2	m	564	amīcī	ī	ī
amicus:Gen.Pl	2	m	564	amīcōrum	ōrum	ōrum
amicus:Abl.Sg	2	m	564	amīcō	ō	ō
amicus:Nom.Pl	2	m	564	amīcī	ī	ī
amicus:Acc.Sg	2	m	564	amīcum	um	um
amicus:Dat.Pl	2	m	564	amīcīs	īs	īs
amnis:Nom.Sg	3	m	244	amnis	is	is
amnis:Abl.Pl	3	m	244	amnibus	ibus	ibus
amnis:Dat.Sg	3	m	244	amnī	ī	ī
amnis:Acc.Pl	3	m	244	amnēs	ēs	ēs
amnis:Gen.Sg	3	m	244	amnis	is	is
amnis:Gen.Pl	3	m	244	amnium	ium	a
amnis:Abl.Sg	3	m	244	amne	e	e
amnis:Nom.Pl	3	m	244	amnēs	ēs	ēs
amnis:Acc.Sg	3	m	244	amnem	em	em
amnis:Dat.Pl	3	m	244	amnibus	ibus	ibus
amor:Nom.Sg	3	m	539	amor		
amor:Abl.Pl	3	m	539	amōribus	ibus	ibus
amor:Dat.Sg	3	m	539	amōrī	ī	ī
amor:Acc.Pl	3	m	539	amōrēs	ēs	ēs
amor:Gen.Sg	3	m	539	amōris	is	is
amor:Gen.Pl	3	m	539	amōrum	um	um
amor:Abl.Sg	3	m	539	amōre	e	e
amor:Nom.Pl	3	m	539	amōrēs	ēs	ēs
amor:Acc.Sg	3	m	539	amōrem	em	em
amor:Dat.Pl	3	m	539	amōribus	ibus	ibus
anima:Nom.Sg	1	f	182	anima	a	a
anima:Abl.Pl	1	f	182	animīs	īs	īs
anima:Dat.Sg	1	f	182	animae	ae	ae
anima:Acc.Pl	1	f	182	animās	ās	ās
anima:Gen.Sg	1	f	182	animae	ae	ae
anima:Gen.Pl	1	f	182	animārum	ārum	ārum
anima:Abl.Sg	1	f	182	animā	ā	ās
anima:Nom.Pl	1	f	182	animae	ae	a
anima:Acc.Sg	1	f	182	animam	am	am
anima:Dat.Pl	1	f	182	animīs	īs	īs
animal:Nom.Sg	3	n	307	animal		
animal:Abl.Pl	3	n	307	animālibus	ibus	ibus
animal:Dat.Sg	3	n	307	animālī	ī	ū
animal:Acc.Pl	3	n	307	animālia	ia	ū
animal:Gen.Sg	3	n	307	animālis	is	ēs
animal:Gen.Pl	3	n	307	animālium	ium	īs
animal:Abl.Sg	3	n	307	animālī	ī	
animal:Nom.Pl	3	n	307	animālia	ia	ī
animal:Acc.Sg	3	n	307	animal		
animal:Dat.Pl	3	n	307	animālibus	ibus	ibus
animus:Nom.Sg	2	m	2407	animus	us	us
animus:Abl.Pl	2	m	2407	animīs	īs	īs
animus:Dat.Sg	2	m	2407	animō	ō	ō
animus:Acc.Pl	2	m	2407	animōs	ōs	
animus:Gen.Sg	2	m	2407	animī	ī	ī
animus:Gen.Pl	2	m	2407	animōrum	ōrum	ōrum
animus:Abl.Sg	2	m	2407	animō	ō	ō
animus:Nom.Pl	2	m	2407	animī	ī	ī
animus:Acc.Sg	2	m	2407	animum	um	um
animus:Dat.Pl	2	m	2407	animīs	īs	īs
annus:Nom.Sg	2	m	650	annus	us	us
annus:Abl.Pl	2	m	650	annīs	īs	īs
annus:Dat.Sg	2	m	650	annō	ō	ō
annus:Acc.Pl	2	m	650	annōs	ōs	
annus:Gen.Sg	2	m	650	annī	ī	ī
annus:Gen.Pl	2	m	650	annōrum	ōrum	ōrum
annus:Abl.Sg	2	m	650	annō	ō	ō
annus:Nom.Pl	2	m	650	annī	ī	ī
annus:Acc.Sg	2	m	650	annum	um	um
annus:Dat.Pl	2	m	650	annīs	īs	īs
aqua:Nom.Sg	1	f	383	aqua	a	a
aqua:Abl.Pl	1	f	383	aquīs	īs	ēs
aqua:Dat.Sg	1	f	383	aquae	ae	e
aqua:Acc.Pl	1	f	383	aquās	ās	ās
aqua:Gen.Sg	1	f	383	aquae	ae	e
aqua:Gen.Pl	1	f	383	aquārum	ārum	ārum
aqua:Abl.Sg	1	f	383	aquā	ā	ās
aqua:Nom.Pl	1	f	383	aquae	ae	ae
aqua:Acc.Sg	1	f	383	aquam	am	am
aqua:Dat.Pl	1	f	383	aquīs	īs	īs
ara:Nom.Sg	1	f	199	āra	a	a
ara:Abl.Pl	1	f	199	ārīs	īs	ōrum
ara:Dat.Sg	1	f	199	ārae	ae	ae
ara:Acc.Pl	1	f	199	ārās	ās	ās
ara:Gen.Sg	1	f	199	ārae	ae	ae
ara:Gen.Pl	1	f	199	ārārum	ārum	ārum
ara:Abl.Sg	1	f	199	ārā	ā	ās
ara:Nom.Pl	1	f	199	ārae	ae	a
