Word	Declension	Gender	TotFreq	Declined	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
aedes:Abl.Sg	3	f	68	aede	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e
aedes:Nom.Pl	3	f	68	aedēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
aedes:Acc.Sg	3	f	68	aedem	em	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
aedes:Dat.Pl	3	f	68	aedibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ōs	ibus	uī	uī
aer:Nom.Sg	3	m	78	āēr																
aer:Abl.Pl	3	m	78	āeribus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	uī	uī
aer:Dat.Sg	3	m	78	āerī	ī	ī	ī	ī	ī	ī	ī	ī	ī	us	īs	īs	īs	īs	īs	īs
aer:Acc.Pl	3	m	78	āerēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
aer:Gen.Sg	3	m	78	āeris	is	īs	īs	īs	īs	īs	a	a	a	a	a	a	a	a	a	a
aer:Gen.Pl	3	m	78	āerum	um	um	um	um	um	um	um	um	um	um	um	um	um	um	um	um
aer:Abl.Sg	3	m	78	āere	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e
aer:Nom.Pl	3	m	78	āerēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēī	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum	ōrum
aer:Acc.Sg	3	m	78	āera	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a
aer:Dat.Pl	3	m	78	āeribus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	uī	uī
aes:Nom.Sg	3	n	141	aes																
aes:Abl.Pl	3	n	141	aeribus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	uī	uī
aes:Dat.Sg	3	n	141	aerī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī
aes:Acc.Pl	3	n	141	aera	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a
aes:Gen.Sg	3	n	141	aeris	is	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs	īs
aes:Gen.Pl	3	n	141	aerum	um	um	um	um	um	um	um	um	um	um	um	um	um	um	um	um
aes:Abl.Sg	3	n	141	aere	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e
aes:Nom.Pl	3	n	141	aera	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a	a
aes:Acc.Sg	3	n	141	aes																
aes:Dat.Pl	3	n	141	aeribus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	uī	uī
aestas:Nom.Sg	3	f	89	aestās																
aestas:Abl.Pl	3	f	89	aestātibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	uī	uī	uī	uī
aestas:Dat.Sg	3	f	89	aestātī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	ī	uī
aestas:Acc.Pl	3	f	89	aestātēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
aestas:Gen.Sg	3	f	89	aestātis	is	īs	īs	īs	īs	īs	a	a	a	a	a	a	a	a	a	a
aestas:Gen.Pl	3	f	89	aestātum	um	um	um	um	um	um	um	um	um	um	um	um	um	um	um	um
aestas:Abl.Sg	3	f	89	aestāte	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e	e
aestas:Nom.Pl	3	f	89	aestātēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
aestas:Acc.Sg	3	f	89	aestātem	em	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
aestas:Dat.Pl	3	f	89	aestātibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	uī	uī	uī	uī
aestus:Nom.Sg	4	m	105	aestus	us	a	a	a	a	a	a	a	a	a	a	a	a	ēs	ēs	ēs
aestus:Abl.Pl	4	m	105	aestibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ibus	ōs	ibus	uī	uī
aestus:Dat.Sg	4	m	105	aestuī	uī													ēī	īs	īs
aestus:Acc.Pl	4	m	105	aestūs	ūs	uī	uī	uī	uī	um	um	um	um	um	um	um	um	ēs	ēs	ēs
aestus:Gen.Sg	4	m	105	aestūs	ūs	ēbus	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs	ēs
